순위,곡명,아티스트,앨범
1,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
2,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
3,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),호프리스 로맨틱
4,딱 10CM만,10CM,딱 10CM만
5,보고싶었어,WSG워너비(4FIRE),WSG워너비 1집
6,Alone,지민,FACE
7,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
8,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면
9,GANADARA (Feat. 아이유),박재범,GANADARA
10,비,폴킴,비
11,불이 꺼지고,선미,[BILLION MUSIC PROJECT VOL.1]
12,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light
13,"55 (Feat. 백예린, 웬디)",코드 쿤스트 (CODE KUNST),Archive 01
14,Polaroid Love,ENHYPEN,DIMENSION : ANSWER
15,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
16,너를 생각해,주시크 (Joosiq),너를 생각해
17,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현),낭만
18,Vancouver,BIG Naughty (서동현),Lovey Dovey
19,Square (2017),백예린 (Yerin Baek),Every letter I sent you.
20,7시에 들어줘 (Feat. Peder Elias),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
21,헤픈 우연,헤이즈 (Heize),HAPPEN
22,CIRCLE (Feat. Crush),코드 쿤스트 (CODE KUNST),Remember Archive
23,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범,EVERYTHING YOU WANTED
24,"하나,둘 (Feat. 펀치 (Punch))",김승민,"하나,둘 (Feat. 펀치 (Punch)"
25,썸 (Feat. 릴보이 Of 긱스),소유 (SOYOU),썸
26,Bye bye my blue,백예린 (Yerin Baek),Bye bye my blue
27,Yesterday,박재범,Yesterday
28,아무래도 난,주시크 (Joosiq),아무래도 난
29,Boat,죠지,Boat
30,Hurt,NewJeans,NewJeans 1st EP 'New Jeans'
31,지명해줄래 (feat. Vince),다나카(TANAKA),지명해줄래 (feat. Vince)
32,HoMe boy (Feat. 이하이),코드 쿤스트 (CODE KUNST),Remember Archive
33,Impurities,LE SSERAFIM (르세라핌),ANTIFRAGILE
34,잊어버리지마 (Feat. 태연),Crush,잊어버리지마
35,미안해,양다일,inside
36,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
37,"Page 1 (Feat. 백예린, pH-1)",코드 쿤스트 (CODE KUNST),Remember Archive
38,Single,원슈타인,Single
39,Dream (Prod. by 박근태),수지 (Suzy),Dream
40,Love Is Ugly (Feat. 화사),박재범,Yesterday
41,Beautiful,Crush,도깨비 OST Part 4
42,바람기억,나얼,Principle Of My Soul
43,팔레트 (Feat. G-DRAGON),아이유,Palette
44,이불 (Feat. BIG Naughty),코드 쿤스트 (CODE KUNST),Remember Archive
45,Love War (Feat. BE‘O),YENA (최예나),Love War
46,_WORLD,세븐틴,SEVENTEEN 4th Album Repackage ‘SECTOR 17'
47,"BAD BAD (Feat. Tabber, 박재범)",코드 쿤스트 (CODE KUNST),Archive 01
48,instagram,DEAN,instagram
49,사랑이 잘 (With 오혁),아이유,사랑이 잘
50,"무제(無題) (Untitled, 2014)",G-DRAGON,권지용
51,벌써 일년,브라운 아이즈,Brown Eyes
52,D (half moon) (Feat. 개코),DEAN,130 Mood : TRBL
53,Beige coat,그리즐리 (Grizzly),Beige coat
54,그건 아마 우리의 잘못은 아닐 거야,백예린 (Yerin Baek),Our love is great
55,괜찮아도 괜찮아 (That's okay),디오 (D.O.),괜찮아도 괜찮아 (That's okay) - SM STATION
56,...사랑했잖아...,린,Can U See The Bright
57,밤이 되니까,펀치 (Punch),밤이 되니까
58,내사람,SG 워너비,The Precious History
59,와르르 ♥,Colde (콜드),Love part 1
60,내가 바보라서 그래?,KIXO (키조),내가 바보라서 그래?
61,한숨,이하이,SEOULITE
62,체념,빅마마,Like The Bible
63,꽃 길,BIGBANG (빅뱅),꽃 길
64,연,빅마마,For The People
65,"BAD BAD (Feat. Tabber, 박재범)",코드 쿤스트 (CODE KUNST),Remember Archive
66,도망가자 (Run With Me),선우정아,Serenade
67,좋아 (JOAH),박재범,JOAH
68,Tinnitus (돌멩이가 되고 싶어),투모로우바이투게더,이름의 장: TEMPTATION
69,귀로,나얼,Back To The Soul Flight
70,우주를 건너,백예린 (Yerin Baek),FRANK
71,Marry Me (꽃길만 걷자),우디 (Woody),Marry Me
72,오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN (수란),WINE
73,손을 마주 잡고,BIG Naughty (서동현),사랑의 이해 OST Part.5
74,삐삐,아이유,삐삐
75,Happy,태연 (TAEYEON),Happy
76,우리,이데아 (idea),사랑은
77,몽유 (Feat. 그냥노창),BIG Naughty (서동현),호프리스 로맨틱
78,little bit (Feat. DeVita),코드 쿤스트 (CODE KUNST),Remember Archive
79,친구라도 될 걸 그랬어,거미,Like Them
80,"Petty (Feat. CAMO, Paul Blanco)",코드 쿤스트 (CODE KUNST),Remember Archive
81,RIDE (Feat. THAMA),SOLE (쏠),RIDE
82,0310,백예린 (Yerin Baek),Every letter I sent you.
83,떠나 (Prod. PATEKO (파테코)),THAMA,Listen-Up(리슨업) EP.2
84,Graduation,NCT DREAM,Candy - Winter Special Mini Album
85,"Can I Love ? (Feat. 유라(youra), Meego)",Cosmic Boy,Can I Love ?
86,Gone,에일리(Ailee),판도라 : 조작된 낙원 OST Part 3
87,목요일 밤 (Feat. 빈지노),어반자카파,목요일 밤
88,Akita (Feat. hartts) (Prod. OBSN),BE'O (비오),Akita
89,덫,BIG Naughty (서동현),호프리스 로맨틱
90,No Make Up,Zion.T,No Make Up
91,"눈, 코, 입",태양,RISE
92,우리 다투게 돼도 이것만 기억해 줄래 눈을 맞추고 서로가 서로의 손잡아 주며 낮은 목소리와 예쁜 말투로 상처 주지 않게 노력을 하고 ●,그리즐리 (Grizzly),꽃zip2
93,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
94,3　2　1,JAEHA (재하),3　2　1
95,"55 (Feat. 백예린, 웬디)",코드 쿤스트 (CODE KUNST),Remember Archive
96,어떻게 지내,Crush,wonderlust
97,너를 위해,첸 (CHEN),달의 연인 - 보보경심 려 OST Part 1
98,Lovey Dovey (Feat. meenoi),BIG Naughty (서동현),Lovey Dovey
99,같은 시간 속의 너,나얼,브라운 아이드 소울 싱글 프로젝트 1st. 같은 시간 속의 너 By 나얼
100,정말 사랑했을까,브라운 아이드 소울,Soul Free
