순위,곡명,아티스트,앨범,앨범이미지
1,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg?e4fe0e576690ff4b3823d6d2baa4c2fe/melon/resize/282/quality/80/optimize
2,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),호프리스 로맨틱,https://cdnimg.melon.co.kr/cm2/album/images/111/91/359/11191359_20230227182139_500.jpg?2c2e78b510ff60f916f9082a26c17840/melon/resize/282/quality/80/optimize
3,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,https://cdnimg.melon.co.kr/cm2/album/images/110/62/364/11062364_20220922182518_500.jpg?a57bb5b9e4a17ceaf47edfdc088ad8ec/melon/resize/282/quality/80/optimize
4,딱 10CM만,10CM,딱 10CM만,https://cdnimg.melon.co.kr/cm2/album/images/110/63/205/11063205_20220923155512_500.jpg?6d9edc683141b57ad2e80986bfea6ecc/melon/resize/282/quality/80/optimize
5,보고싶었어,WSG워너비(4FIRE),WSG워너비 1집,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg?9f653a625ba9b4bbe1f0fbd93d0e5146/melon/resize/282/quality/80/optimize
6,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비),https://cdnimg.melon.co.kr/cm/album/images/100/74/454/10074454_500.jpg?9f3f84a18af60eba11828afcf1ffd1fd/melon/resize/282/quality/80/optimize
7,Alone,지민,FACE,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg?b7390de9da4e48e265d3f5db2e6c4c66/melon/resize/282/quality/80/optimize
8,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면,https://cdnimg.melon.co.kr/cm2/album/images/111/59/047/11159047_20230127151002_500.jpg?75772fcc9c0f35c24b3767c533fcf821/melon/resize/282/quality/80/optimize
9,비,폴킴,비,https://cdnimg.melon.co.kr/cm/album/images/026/92/501/2692501_500.jpg/melon/resize/282/quality/80/optimize
10,GANADARA (Feat. 아이유),박재범,GANADARA,https://cdnimg.melon.co.kr/cm2/album/images/108/89/981/10889981_20220311110820_500.jpg?281b24fc59e617f3be73ebea48195a9f/melon/resize/282/quality/80/optimize
11,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light,https://cdnimg.melon.co.kr/cm2/album/images/107/16/174/10716174_20210916153439_500.jpg?557e3cbb17a662e05e4d72e21555984d/melon/resize/282/quality/80/optimize
12,불이 꺼지고,선미,[BILLION MUSIC PROJECT VOL.1],https://cdnimg.melon.co.kr/cm2/album/images/112/08/096/11208096_20230322092817_500.jpg?3df5be9400e06d1e98f9e05eefacd255/melon/resize/282/quality/80/optimize
