"GENDER","GENERATION","ARTIST","SONG_NAME","ALBUM_NAME","ALBUM_IMG","YOUTUBE"
"여성",30,"에픽하이 (EPIK HIGH)","Fan","Remapping The Human Soul","https://musicmeta-phinf.pstatic.net/album/000/044/44954.jpg?type=r480Fll","https://www.youtube.com/watch?v=eINjPkO7w4M"
"여성",30,"투모로우바이투게더","9와 4분의 3 승강장에서 너를 기다려 (Run Away)","꿈의 장: MAGIC","https://musicmeta-phinf.pstatic.net/album/003/352/3352317.jpg?type=r480Fll","https://www.youtube.com/watch?v=6yWPfUz0z94"
"여성",30,"오반","어떻게 지내 (Prod. By VAN.C)","어떻게 지내","https://musicmeta-phinf.pstatic.net/album/004/477/4477123.jpg?type=r480Fll","https://www.youtube.com/watch?v=jBAdBd_hd-8"
"여성",30,"언니네 이발관","혼자 추는 춤","혼자 추는 춤","https://musicmeta-phinf.pstatic.net/album/000/605/605547.jpg?type=r480Fll","https://www.youtube.com/watch?v=Y6-TY-F2NXs"
"여성",30,"Kygo, OneRepublic","Lose Somebody","Golden Hour","https://musicmeta-phinf.pstatic.net/album/004/498/4498621.jpg?type=r480Fll","https://www.youtube.com/watch?v=xDAW5NtoLvI"
"여성",30,"더 자두","대화가 필요해","Change Yourself","https://musicmeta-phinf.pstatic.net/album/000/001/1640.jpg?type=r480Fll","https://www.youtube.com/watch?v=faPQoNUC4GQ"
"여성",30,"The Kid LAROI, Justin Bieber","STAY","STAY","https://musicmeta-phinf.pstatic.net/album/006/158/6158502.jpg?type=r480Fll","https://www.youtube.com/watch?v=kTJczUoc26U"
"여성",30,"Anne-Marie","Ciao Adios","Ciao Adios","https://musicmeta-phinf.pstatic.net/album/001/781/1781272.jpg?type=r480Fll","https://www.youtube.com/watch?v=B_uc09yShC4"
"여성",30,"릴러말즈 (Leellamarz)","불편해 (Feat. Gist)","MaRz&B","https://musicmeta-phinf.pstatic.net/album/008/233/8233535.jpg?type=r480Fll","https://www.youtube.com/watch?v=9rKfb7qZWIs"
"여성",40,"Agust D","D-Day","D-DAY","https://musicmeta-phinf.pstatic.net/album/009/422/9422556.jpg?type=r480Fll","https://www.youtube.com/watch?v=fxuR4CDuFk8"
"여성",40,"부석순(SEVENTEEN)","파이팅 해야지 (Feat. 이영지)","부석순 1st Single Album 'SECOND WIND'","https://musicmeta-phinf.pstatic.net/album/008/835/8835837.jpg?type=r480Fll","https://www.youtube.com/watch?v=mBXBOLG06Wc"
"여성",40,"NewJeans","Ditto","NewJeans 'OMG'","https://musicmeta-phinf.pstatic.net/album/008/500/8500274.jpg?type=r480Fll","https://www.youtube.com/watch?v=Km71Rr9K-Bw"
"여성",40,"Agust D","해금","D-DAY","https://musicmeta-phinf.pstatic.net/album/009/422/9422556.jpg?type=r480Fll","https://www.youtube.com/watch?v=iy9qZR_OGa0"
"여성",40,"아이유(IU)","Love poem","Love poem","https://musicmeta-phinf.pstatic.net/album/003/399/3399860.jpg?type=r480Fll","https://www.youtube.com/watch?v=OcVmaIlHZ1o"
"여성",40,"Charlie Puth","I Don't Think That I Like Her","CHARLIE","https://musicmeta-phinf.pstatic.net/album/006/958/6958691.jpg?type=r480Fll","https://www.youtube.com/watch?v=9voN0gkdlS4"
"여성",40,"영턱스클럽","정 (위험한 이별)","정","https://musicmeta-phinf.pstatic.net/album/000/026/26713.jpg?type=r480Fll","https://www.youtube.com/watch?v=2BgqorB8L20"
