순위,가수명,인기곡,앨범이미지,유튜브링크
1,NCT 도재정,Dive,https://cdnimg.melon.co.kr/cm2/artistcrop/images/032/36/175/3236175_20230411165718_500.jpg,https://www.youtube.com/watch?v=7nRiE4sLLxE
2,방탄소년단,Dynamite,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/72/375/672375_20220610104703_500.jpg,https://www.youtube.com/watch?v=gdZLi9oWNZg
3,세븐틴,HOT,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/61/436/861436_20220527114054_500.jpg,https://www.youtube.com/watch?v=gRnuFC4Ualw
4,투모로우바이투게더,Sugar Rush Ride,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/32/253/2632253_20230127105406_500.jpg,https://www.youtube.com/watch?v=P9tKTxbgdkk
5,NCT DREAM,Candy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/010/66/419/1066419_20221214160150_500.jpg,https://www.youtube.com/watch?v=zuoSn3ObMz4
6,NCT 127,Ay-Yo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/91/413/991413_20230120111933_500.jpg,https://www.youtube.com/watch?v=R9XpA_zXDDI
7,BIGBANG (빅뱅),봄여름가을겨울 (Still Life),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/98/094/198094_20220404174645_500.jpg,https://www.youtube.com/watch?v=eN5mG_yMDiM
8,멜로망스,사랑인가 봐,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/39/732/839732_20220503105326_500.jpg,https://www.youtube.com/watch?v=pTe9aJHEF_o
9,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지),https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/12/233/2112233_20230206135436_500.jpg,https://www.youtube.com/watch?v=mBXBOLG06Wc
10,잔나비,주저하는 연인들을 위해,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/72/253/772253_20220510133114_500.jpg,https://www.youtube.com/watch?v=GpQ222I1ULc
11,EXO,LOVE ME RIGHT,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/24/619/724619_20210603102557_500.jpg,https://www.youtube.com/watch?v=RuqaVryDRd0
12,몬스타엑스,Beautiful Liar,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/91/216/791216_20230109113440_500.jpg,https://www.youtube.com/watch?v=2zXg8CbymYc
13,DAY6 (데이식스),한 페이지가 될 수 있게,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/94/864/894864_20220127143019_500.jpg,https://www.youtube.com/watch?v=vnS_jn2uibs
14,RADWIMPS (래드윔프스),すずめ / Suzume (feat. Toaka(토아카/十明)),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/91/119/191119_20221028115609_500.jpg,https://www.youtube.com/watch?v=7kVu6Io4A4Y
15,비투비,그리워하다,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/47/971/647971_20220208101130_500.jpg,https://www.youtube.com/watch?v=-yU6ib_QQw0
16,엠씨더맥스 (M.C the MAX),어디에도,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/61/636/161636_20221206152142_500.jpg,https://www.youtube.com/watch?v=va5rf20Un24
17,Stray Kids (스트레이 키즈),CASE 143,https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/06/344/2006344_20220926171824_500.jpg,https://www.youtube.com/watch?v=FpnUwGA9NDE
18,LUCY,개화 (Flowering),https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/36/779/2736779_20230223134900_500.jpg,https://www.youtube.com/watch?v=WQdFA55hT80
19,포맨 (4MEN),나비무덤,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/176/100176_20210604103812_500.jpg,https://www.youtube.com/watch?v=-embUeUPc7o
20,SG 워너비,Timeless,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/08/363/108363_20210716151520_500.jpg,https://www.youtube.com/watch?v=SJk5Nks2Xvg
21,더보이즈 (THE BOYZ),ROAR,https://cdnimg.melon.co.kr/cm2/artistcrop/images/018/16/126/1816126_20230220145112_500.jpg,https://www.youtube.com/watch?v=selkk5MpGVo
