순위,가수명,인기곡,앨범이미지,유튜브링크
1,볼빨간사춘기,FRIEND THE END,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/92/022/792022_20230414141834_500.jpg,https://www.youtube.com/watch?v=haceXrrm-LU
2,아이유,봄 사랑 벚꽃 말고,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/61/143/261143_20210325180240_500.jpg,https://www.youtube.com/watch?v=ouR4nn1G9r4
3,지수 (JISOO),꽃,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/174/995174_20230331113916_500.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
4,윤하 (YOUNHA),사건의 지평선,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/03/912/203912_20220330112405_500.jpg,https://www.youtube.com/watch?v=BBdC1rl5sKY
5,태연 (TAEYEON),INVU,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/36/797/236797_20230113111110_500.jpg,https://www.youtube.com/watch?v=AbZH7XWDW_k
6,헤이즈 (Heize),빙글빙글 (Prod. R.Tee),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/51/611/751611_20230403143900_500.jpg,https://www.youtube.com/watch?v=FanfDDjFyT8
7,Aimyon,愛を伝えたいだとか / Ai Wo Tsutaetaidatoka (사랑을 전하고 싶다든가),https://cdnimg.melon.co.kr/cm2/artistcrop/images/016/25/441/1625441_20230405150156_500.jpg,https://www.youtube.com/watch?v=ltwazF77Owg
8,백예린 (Yerin Baek),Square (2017),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/98/776/698776_20221230145138_500.jpg,https://www.youtube.com/watch?v=4iFP_wd6QU8
9,송하예,너를 보는게 지친 하루에,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/22/098/722098_20211022162650_500.jpg,https://www.youtube.com/watch?v=W-4fo94U4Tc
10,송가인,당신을 만나,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/01/869/1701869_20220427134633_500.jpg,https://www.youtube.com/watch?v=nREfPpUT-xQ
11,지아,사랑하기 싫어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/27/595/227595_20210217104823_500.jpg,https://www.youtube.com/watch?v=bKfQmdCWKoQ
12,경서,나의 X에게,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/94/005/994005_20221026121614_500.jpg,https://www.youtube.com/watch?v=396_klik6v8
13,Ariana Grande,Stuck with U,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/451/597451_20201027115530_500.jpg,https://www.youtube.com/watch?v=h2jvHynuMjI
14,권진아,운이 좋았지,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/60/046/760046_20230308164854_500.jpg,https://www.youtube.com/watch?v=CLR9dytvnmM
15,케이시 (Kassy),언제나 사랑해,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/125/858125_20221129114501_500.jpg,https://www.youtube.com/watch?v=mHRqPS2pqD0
16,청하,When I Get Old,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/68/265/968265_20220711154432_500.jpg,https://www.youtube.com/watch?v=Ua3aNDJE_Cg
