순위,가수명,인기곡,앨범이미지,유튜브링크
1,NCT 도재정,Dive,https://cdnimg.melon.co.kr/cm2/artistcrop/images/032/36/175/3236175_20230411165718_500.jpg,https://www.youtube.com/watch?v=7nRiE4sLLxE
2,IVE (아이브),I AM,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/55/146/3055146_20230410142647_500.jpg,https://www.youtube.com/watch?v=6ZUIwj3FgUY
3,볼빨간사춘기,FRIEND THE END,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/92/022/792022_20230414141834_500.jpg,https://www.youtube.com/watch?v=haceXrrm-LU
4,NewJeans,Ditto,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/14/174/3114174_20230102131651_500.jpg,https://www.youtube.com/watch?v=Km71Rr9K-Bw
5,임영웅,사랑은 늘 도망가,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/94/944/994944_20221115161408_500.jpg,https://www.youtube.com/watch?v=Ue763Gp8IKM
6,방탄소년단,Dynamite,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/72/375/672375_20220610104703_500.jpg,https://www.youtube.com/watch?v=gdZLi9oWNZg
7,아이유,봄 사랑 벚꽃 말고,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/61/143/261143_20210325180240_500.jpg,https://www.youtube.com/watch?v=ouR4nn1G9r4
8,Charlie Puth,I Don't Think That I Like Her,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/38/654/838654_20230331115239_500.jpg,https://www.youtube.com/watch?v=9voN0gkdlS4
9,지수 (JISOO),꽃,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/174/995174_20230331113916_500.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
10,이기광,댄싱슈즈,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/58/181/458181_20230417152632_500.jpg,https://www.youtube.com/watch?v=igVFl3uzOYY
11,NMIXX,Love Me Like This,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/70/786/3070786_20230306132000_500.jpg,https://www.youtube.com/watch?v=EDnwWcFpObo
12,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/44/750/2744750_20230228111024_500.jpg,https://www.youtube.com/watch?v=DYrY1E4-9NI
13,세븐틴,HOT,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/61/436/861436_20220527114054_500.jpg,https://www.youtube.com/watch?v=gRnuFC4Ualw
14,투모로우바이투게더,Sugar Rush Ride,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/32/253/2632253_20230127105406_500.jpg,https://www.youtube.com/watch?v=P9tKTxbgdkk
15,BLACKPINK,Shut Down,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/169/995169_20220915145817_500.jpg,https://www.youtube.com/watch?v=POe9SOEKotk
16,NCT DREAM,Candy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/010/66/419/1066419_20221214160150_500.jpg,https://www.youtube.com/watch?v=zuoSn3ObMz4
17,STAYC(스테이씨),Teddy Bear,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/290/2899290_20230213180200_500.jpg,https://www.youtube.com/watch?v=SxHmoifp0oQ
18,LE SSERAFIM (르세라핌),ANTIFRAGILE,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/92/950/3092950_20221017104102_500.jpg,https://www.youtube.com/watch?v=pyf8cbqyfPs
19,지민,Like Crazy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/25/985/725985_20230324113918_500.jpg,https://www.youtube.com/watch?v=HALG3Ty52mY
20,(여자)아이들,Nxde,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/37/482/2137482_20221017115456_500.jpg,https://www.youtube.com/watch?v=fCO7f0SmrDc
21,10CM,그라데이션,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/68/244/468244_20220930100210_500.jpg,https://www.youtube.com/watch?v=VQZXXciZb_c
22,FIFTY FIFTY,Cupid,https://cdnimg.melon.co.kr/cm2/artistcrop/images/031/56/910/3156910_20230224150717_500.jpg,https://www.youtube.com/watch?v=Qc7_zRjH808
23,윤하 (YOUNHA),사건의 지평선,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/03/912/203912_20220330112405_500.jpg,https://www.youtube.com/watch?v=BBdC1rl5sKY
24,정동원,여백,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/49/421/2749421_20221201134335_500.jpg,https://www.youtube.com/watch?v=rlRrWB8wB1I
25,태연 (TAEYEON),INVU,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/36/797/236797_20230113111110_500.jpg,https://www.youtube.com/watch?v=AbZH7XWDW_k
26,Zior Park,CHRISTIAN,https://cdnimg.melon.co.kr/cm2/artistcrop/images/020/85/020/2085020_20221114151828_500.jpg,https://www.youtube.com/watch?v=Dqlr8EDunCM
27,Justin Bieber,STAY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/20/621/420621_20220429145301_500.jpg,https://www.youtube.com/watch?v=Ec7TN_11az8
28,NCT 127,Ay-Yo,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/91/413/991413_20230120111933_500.jpg,https://www.youtube.com/watch?v=R9XpA_zXDDI
29,영탁,찐이야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/53/762/753762_20220704142616_500.jpg,https://www.youtube.com/watch?v=dNUncvc6mcM
30,성시경,너의 모든 순간,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/03/305/3305_20210521133532_500.jpg,https://www.youtube.com/watch?v=i2aRMXZR1k0
31,SUGA,사람 Pt.2 (feat. 아이유),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/25/988/725988_20230407102939_500.jpg,https://www.youtube.com/watch?v=uVD-YgzDzyY
