순위,가수명,인기곡,앨범이미지,유튜브링크
1,Charlie Puth,I Don't Think That I Like Her,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/38/654/838654_20230331115239_500.jpg,https://www.youtube.com/watch?v=9voN0gkdlS4
2,Justin Bieber,STAY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/20/621/420621_20220429145301_500.jpg,https://www.youtube.com/watch?v=Ec7TN_11az8
3,Aimyon,愛を伝えたいだとか / Ai Wo Tsutaetaidatoka (사랑을 전하고 싶다든가),https://cdnimg.melon.co.kr/cm2/artistcrop/images/016/25/441/1625441_20230405150156_500.jpg,https://www.youtube.com/watch?v=ltwazF77Owg
4,Ed Sheeran,Eyes Closed,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/49/800/549800_20230324133523_500.jpg,https://www.youtube.com/watch?v=u6wOyMUs74I
5,RADWIMPS (래드윔프스),すずめ / Suzume (feat. Toaka(토아카/十明)),https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/91/119/191119_20221028115609_500.jpg,https://www.youtube.com/watch?v=7kVu6Io4A4Y
6,Sam Smith,Unholy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/18/042/718042_20230125143735_500.jpg,https://www.youtube.com/watch?v=Uq9gPaIzbe8
7,Ariana Grande,Stuck with U,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/451/597451_20201027115530_500.jpg,https://www.youtube.com/watch?v=h2jvHynuMjI
8,imase,NIGHT DANCER,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/60/228/3060228_20230203164411_500.jpg,https://www.youtube.com/watch?v=kagoEGKHZvU
9,Lauv,Paris in the Rain,https://cdnimg.melon.co.kr/cm2/artistcrop/images/019/56/543/1956543_20220805103616_500.jpg,https://www.youtube.com/watch?v=kOCkne-Bku4
10,Anne-Marie,Expectations,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/70/307/870307_20230309175316_500.jpg,https://www.youtube.com/watch?v=jrt4iWhofPA
11,Alan Walker,The Drum,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/43/471/943471_20220502105122_500.jpg,https://www.youtube.com/watch?v=TicGJQqrq2M
12,The Weeknd,Die For You (Explicit Ver.),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/10/093/710093_20210811145658_500.jpg,https://www.youtube.com/watch?v=Vels_X0UFHw
13,Post Malone,Chemical,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/82/778/882778_20211105164500_500.jpg,https://www.youtube.com/watch?v=IzPQ_jA00bk
14,Christopher,When I Get Old,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/92/215/792215_20210910101121_500.jpg,https://www.youtube.com/watch?v=Ua3aNDJE_Cg
15,Maroon 5,Memories,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/07/721/107721_20210608170728_500.jpg,https://www.youtube.com/watch?v=SlPhMPnQ58k
16,Yonezu Kenshi,Lemon,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/42/577/742577_20221020165701_500.jpg,https://www.youtube.com/watch?v=SX_ViT4Ra7k
17,Peder Elias,Loving You Girl (Feat. Hkeem),https://cdnimg.melon.co.kr/cm/artistcrop/images/022/95/598/2295598_500.jpg,https://www.youtube.com/watch?v=uZbB9DssRlA
18,Bruno Mars,When I Was Your Man,https://cdnimg.melon.co.kr/cm/artistcrop/images/004/95/811/495811_500.jpg,https://www.youtube.com/watch?v=ekzHIouo8Q4
19,Taylor Swift,Anti-Hero,https://cdnimg.melon.co.kr/cm2/artistcrop/images/003/25/867/325867_20221021164716_500.jpg,https://www.youtube.com/watch?v=b1kbLwvqugk
20,The Kid LAROI,STAY,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/43/730/2743730_20210712132111_500.jpg,https://www.youtube.com/watch?v=kTJczUoc26U
21,Yuuri,BETELGEUSE,https://cdnimg.melon.co.kr/cm2/artistcrop/images/028/98/998/2898998_20220127172803_500.jpg,https://www.youtube.com/watch?v=hrfnpTGUfmg
22,Imagine Dragons,Believer,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/35/412/635412_20220311152620_500.jpg,https://www.youtube.com/watch?v=7wtfhZwyrcc
23,Troye Sivan,YOUTH,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/80/919/780919_20200403161212_500.jpg,https://www.youtube.com/watch?v=XYAghEq5Lfw
24,Coldplay,My Universe,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/00/260/100260_20211015102948_500.jpg,https://www.youtube.com/watch?v=3YqPKLZF_WU
25,Shawn Mendes,There's Nothing Holdin' Me Back,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/76/533/776533_20211202110427_500.jpg,https://www.youtube.com/watch?v=vgXwWQhaLxs
26,Benson Boone,GHOST TOWN,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/71/886/2971886_20211027181004_500.jpg,https://www.youtube.com/watch?v=prYbXj3zPfs
27,Sia,Snowman,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/54/103/54103_20211124163351_500.jpg,https://www.youtube.com/watch?v=gset79KMmt0
28,Harry Styles,As It Was,https://cdnimg.melon.co.kr/cm2/artistcrop/images/016/28/764/1628764_20220408100334_500.jpg,https://www.youtube.com/watch?v=H5v3kku4y6Q
29,J. Cole,on the street (with J. Cole),https://cdnimg.melon.co.kr/cm/artistcrop/images/005/52/102/552102_500.jpg,https://www.youtube.com/watch?v=r6WbbU_lLCA
30,Billie Eilish,bad guy,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/39/008/1239008_20220722104746_500.jpg,https://www.youtube.com/watch?v=DyDfgMOUjCI
31,John K,parachute,https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/40/909/2640909_20201019154717_500.jpg,https://www.youtube.com/watch?v=wdcy-U01l3Q
