장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_R&B／Soul,1,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM),정이라고 하자,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg,https://www.youtube.com/watch?v=DYrY1E4-9NI
국내_R&B／Soul,2,BIG Naughty (서동현),사랑이라 믿었던 것들은 (Feat. 이수현),호프리스 로맨틱,https://cdnimg.melon.co.kr/cm2/album/images/111/91/359/11191359_20230227182139_500.jpg,https://www.youtube.com/watch?v=kaUuyO-D4XE
국내_R&B／Soul,3,Crush,Rush Hour (Feat. j-hope of BTS),Rush Hour,https://cdnimg.melon.co.kr/cm2/album/images/110/62/364/11062364_20220922182518_500.jpg,https://www.youtube.com/watch?v=PS0qkO5qty0
국내_R&B／Soul,4,"10CM, BIG Naughty (서동현)",딱 10CM만,딱 10CM만,https://cdnimg.melon.co.kr/cm2/album/images/110/63/205/11063205_20220923155512_500.jpg,https://www.youtube.com/watch?v=8Irb9NEZkRM
국내_R&B／Soul,5,Agust D,사람 Pt.2 (feat. 아이유),사람 Pt.2 (feat. 아이유),https://cdnimg.melon.co.kr/cm2/album/images/112/19/412/11219412_20230407161051_500.jpg,https://www.youtube.com/watch?v=uVD-YgzDzyY
국내_R&B／Soul,6,WSG워너비(4FIRE),보고싶었어,WSG워너비 1집,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg,https://www.youtube.com/watch?v=IAtzzjBKU1c
국내_R&B／Soul,7,지민,Alone,FACE,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg,https://www.youtube.com/watch?v=7q9UDPZuTi0
국내_R&B／Soul,8,BIG Naughty (서동현),친구로 지내다 보면 (Feat. 김민석 of 멜로망스),친구로 지내다 보면,https://cdnimg.melon.co.kr/cm2/album/images/111/59/047/11159047_20230127151002_500.jpg,https://www.youtube.com/watch?v=j7PZv7Ni7pk
국내_R&B／Soul,9,헤이즈 (Heize),비도 오고 그래서 (Feat. 신용재),/// (너 먹구름 비),https://cdnimg.melon.co.kr/cm/album/images/100/74/454/10074454_500.jpg,https://www.youtube.com/watch?v=afxLaQiLu-o
국내_R&B／Soul,10,박재범,GANADARA (Feat. 아이유),GANADARA,https://cdnimg.melon.co.kr/cm2/album/images/108/89/981/10889981_20220311110820_500.jpg,https://www.youtube.com/watch?v=gFb1TftvdoM
국내_R&B／Soul,11,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment),Red Moon : Beyond The Light,https://cdnimg.melon.co.kr/cm2/album/images/107/16/174/10716174_20210916153439_500.jpg,https://www.youtube.com/watch?v=tL7HKKEoW1Y
국내_R&B／Soul,12,"선미, BE'O (비오)",불이 꺼지고,[BILLION MUSIC PROJECT VOL.1],https://cdnimg.melon.co.kr/cm2/album/images/112/08/096/11208096_20230322092817_500.jpg,https://www.youtube.com/watch?v=cT1EqM4zdSo
국내_R&B／Soul,13,ENHYPEN,Polaroid Love,DIMENSION : ANSWER,https://cdnimg.melon.co.kr/cm2/album/images/108/37/317/10837317_20220110145758_500.jpg,https://www.youtube.com/watch?v=FTKSHe9cm-A
국내_R&B／Soul,14,마크툽 (MAKTUB),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,https://cdnimg.melon.co.kr/cm/album/images/102/94/603/10294603_500.jpg,https://www.youtube.com/watch?v=dmSUBdk4SY4
국내_R&B／Soul,15,BIG Naughty (서동현),Vancouver,Lovey Dovey,https://cdnimg.melon.co.kr/cm2/album/images/109/41/011/10941011_20220503153950_500.jpg,https://www.youtube.com/watch?v=jy8eGRwI9h8
