장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_댄스,1,IVE (아이브),Kitsch,I've IVE,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg,https://www.youtube.com/watch?v=UibLePSMnRw
국내_댄스,2,지수 (JISOO),꽃,ME,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
국내_댄스,3,NewJeans,Ditto,NewJeans 'OMG',https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg,https://www.youtube.com/watch?v=Km71Rr9K-Bw
국내_댄스,4,NewJeans,Hype boy,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg,https://www.youtube.com/watch?v=11cta61wi0g
국내_댄스,5,NewJeans,OMG,NewJeans 'OMG',https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg,https://www.youtube.com/watch?v=sVTy_wmn5SU
국내_댄스,6,STAYC(스테이씨),Teddy Bear,Teddy Bear,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg,https://www.youtube.com/watch?v=SxHmoifp0oQ
국내_댄스,7,NewJeans,Zero,Zero,https://cdnimg.melon.co.kr/cm2/album/images/112/15/953/11215953_20230403104617_500.jpg,https://www.youtube.com/watch?v=XIOoqJyx8E4
국내_댄스,8,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg,https://www.youtube.com/watch?v=mBXBOLG06Wc
국내_댄스,9,지민,Like Crazy,FACE,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg,https://www.youtube.com/watch?v=nOI67IDlNMQ
국내_댄스,10,NMIXX,Love Me Like This,expérgo,https://cdnimg.melon.co.kr/cm2/album/images/112/01/031/11201031_20230320162256_500.jpg,https://www.youtube.com/watch?v=EDnwWcFpObo
국내_댄스,11,NewJeans,Attention,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg,https://www.youtube.com/watch?v=js1CtxSY38I
국내_댄스,12,IVE (아이브),After LIKE,After LIKE,https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg,https://www.youtube.com/watch?v=F0B7HDiY-10
국내_댄스,13,주주 시크릿,밤이 무서워요 (Lonely Night),밤이 무서워요 (Lonely Night),https://cdnimg.melon.co.kr/cm2/album/images/112/09/910/11209910_20230323192006_500.jpg,https://www.youtube.com/watch?v=IzOjUXa-nFA
국내_댄스,14,LE SSERAFIM (르세라핌),ANTIFRAGILE,ANTIFRAGILE,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg,https://www.youtube.com/watch?v=p_XdZdg9oGc
국내_댄스,15,IVE (아이브),LOVE DIVE,LOVE DIVE,https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg,https://www.youtube.com/watch?v=Y8JFxS1HlDo
국내_댄스,16,NCT DREAM,Candy,Candy - Winter Special Mini Album,https://cdnimg.melon.co.kr/cm2/album/images/111/24/139/11124139_20221215162633_500.jpg,https://www.youtube.com/watch?v=zuoSn3ObMz4
국내_댄스,17,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom),H1-KEY 1st Mini Album [Rose Blossom],https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg,https://www.youtube.com/watch?v=vfUAckewh_8
국내_댄스,18,태양,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),https://cdnimg.melon.co.kr/cm2/album/images/111/46/937/11146937_20230112154123_500.jpg,https://www.youtube.com/watch?v=cXCBiF67jLM
국내_댄스,19,(여자)아이들,Nxde,I love,https://cdnimg.melon.co.kr/cm2/album/images/110/78/852/11078852_20221017102947_500.jpg,https://www.youtube.com/watch?v=fCO7f0SmrDc
국내_댄스,20,NMIXX,"Young, Dumb, Stupid",expérgo,https://cdnimg.melon.co.kr/cm2/album/images/112/01/031/11201031_20230320162256_500.jpg,https://www.youtube.com/watch?v=Qx8WSG5GKXc
국내_댄스,21,NewJeans,Cookie,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg,https://www.youtube.com/watch?v=VOmIplFAGeg
국내_댄스,22,방탄소년단,Dynamite,Dynamite (DayTime Version),https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg,https://www.youtube.com/watch?v=gdZLi9oWNZg
국내_댄스,23,LE SSERAFIM (르세라핌),FEARLESS,FEARLESS,https://cdnimg.melon.co.kr/cm2/album/images/109/39/458/10939458_20220502123814_500.jpg,https://www.youtube.com/watch?v=LiNxfFkymTk
국내_댄스,24,IVE (아이브),ELEVEN,ELEVEN,https://cdnimg.melon.co.kr/cm2/album/images/107/98/794/10798794_20211201113915_500.jpg,https://www.youtube.com/watch?v=--FmExEAsM8
국내_댄스,25,STAYC(스테이씨),Poppy (Korean Ver.),Teddy Bear,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg,https://www.youtube.com/watch?v=74Owk2cieDQ
국내_댄스,26,방탄소년단,Butter,Butter,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg,https://www.youtube.com/watch?v=WMweEpGlu_U
국내_댄스,27,투모로우바이투게더,Sugar Rush Ride,이름의 장: TEMPTATION,https://cdnimg.melon.co.kr/cm2/album/images/111/58/153/11158153_20230126154403_500.jpg,https://www.youtube.com/watch?v=P9tKTxbgdkk
국내_댄스,28,싸이 (PSY),That That (prod. & feat. SUGA of BTS),싸다9,https://cdnimg.melon.co.kr/cm2/album/images/109/37/474/10937474_20220428225312_500.jpg,https://www.youtube.com/watch?v=8dJyRm2jJ-U
국내_댄스,29,방탄소년단,Permission to Dance,Butter / Permission to Dance,https://cdnimg.melon.co.kr/cm2/album/images/106/48/182/10648182_20210709104950_500.jpg,https://www.youtube.com/watch?v=CuklIb9d3fI
