장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_랩／힙합,1,지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),https://cdnimg.melon.co.kr/cm2/album/images/110/45/985/11045985_20220905151107_500.jpg,https://www.youtube.com/watch?v=azaZt7eccnc
국내_랩／힙합,2,BLACKPINK,Shut Down,BORN PINK,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg,https://www.youtube.com/watch?v=POe9SOEKotk
국내_랩／힙합,3,지민,Set Me Free Pt.2,FACE,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg,https://www.youtube.com/watch?v=UaywgAqcLxI
국내_랩／힙합,4,BLACKPINK,Pink Venom,BORN PINK,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg,https://www.youtube.com/watch?v=gQlMMD8auMs
국내_랩／힙합,5,"j-hope, J. Cole",on the street (with J. Cole),on the street (with J. Cole),https://cdnimg.melon.co.kr/cm2/album/images/111/94/815/11194815_20230303100153_500.jpg,https://www.youtube.com/watch?v=r6WbbU_lLCA
국내_랩／힙합,6,방탄소년단,봄날,YOU NEVER WALK ALONE,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg,https://www.youtube.com/watch?v=xEeFrLSkMm8
국내_랩／힙합,7,이영지,NOT SORRY (Feat. pH-1) (Prod. by Slom),쇼미더머니 11 Episode 3,https://cdnimg.melon.co.kr/cm2/album/images/111/25/247/11125247_20221216121651_500.jpg,https://www.youtube.com/watch?v=YSEcAElZwF8
국내_랩／힙합,8,"로꼬, 유주 (YUJU)",우연히 봄,냄새를 보는 소녀 OST Part.2,https://cdnimg.melon.co.kr/cm/album/images/023/12/287/2312287_500.jpg,https://www.youtube.com/watch?v=AAk0ZvS5X90
국내_랩／힙합,9,BE'O (비오),LOVE me,LOVE me,https://cdnimg.melon.co.kr/cm2/album/images/109/16/904/10916904_20220412101049_500.jpg,https://www.youtube.com/watch?v=G0ofW1OOTrU
국내_랩／힙합,10,BE'O (비오),자격지심 (Feat. ZICO),FIVE SENSES,https://cdnimg.melon.co.kr/cm2/album/images/110/67/591/11067591_20220929100834_500.jpg,https://www.youtube.com/watch?v=viy213MhJeI
국내_랩／힙합,11,김승민,내 기쁨은 너가 벤틀리를 끄는 거야,PROTOTYPE RESEARCH #0063,https://cdnimg.melon.co.kr/cm2/album/images/107/43/373/10743373_20211018161315_500.jpg,https://www.youtube.com/watch?v=nhpteF75kg8
국내_랩／힙합,12,지민,Face-off,FACE,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg,https://www.youtube.com/watch?v=TLT_MqzRHfY
국내_랩／힙합,13,임영웅,A bientot,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=zLFypmn42NE
국내_랩／힙합,14,"저스디스 (JUSTHIS), R.Tee, 던말릭 (DON MALIK), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), 로스 (Los)",마이웨이 (MY WAY) (Prod. R.Tee),쇼미더머니 11 Episode 1,https://cdnimg.melon.co.kr/cm2/album/images/111/15/007/11115007_20221202105416_500.jpg,https://www.youtube.com/watch?v=_Tw_69yq1ZA
국내_랩／힙합,15,코드 쿤스트 (CODE KUNST),"Jumper (Feat. 개코, MINO)",Remember Archive,https://cdnimg.melon.co.kr/cm2/album/images/112/04/947/11204947_20230316100238_500.jpg,https://www.youtube.com/watch?v=2C3A2GrfOeM
