장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_록／메탈,1,윤하 (YOUNHA),사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg,https://www.youtube.com/watch?v=BBdC1rl5sKY
국내_록／메탈,2,DK(디셈버),심(心),심(心),https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg,https://www.youtube.com/watch?v=ZbWooNg4IMo
국내_록／메탈,3,Zior Park,CHRISTIAN,WHERE DOES SASQUATCH LIVE? PART 1,https://cdnimg.melon.co.kr/cm2/album/images/111/75/689/11175689_20230214163916_500.jpg,https://www.youtube.com/watch?v=Dqlr8EDunCM
국내_록／메탈,4,(여자)아이들,TOMBOY,I NEVER DIE,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg,https://www.youtube.com/watch?v=Jh4QFaPmdss
국내_록／메탈,5,윤하 (YOUNHA),오르트구름,YOUNHA 6th Album 'END THEORY',https://cdnimg.melon.co.kr/cm2/album/images/107/78/556/10778556_20211116105621_500.jpg,https://www.youtube.com/watch?v=cFgk2PMgPJ4
국내_록／메탈,6,버스커 버스커,벚꽃 엔딩,버스커 버스커 1집,https://cdnimg.melon.co.kr/cm/album/images/020/97/226/2097226_500.jpg,https://www.youtube.com/watch?v=tXV7dfvSefo
국내_록／메탈,7,임영웅,London Boy,Polaroid,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg,https://www.youtube.com/watch?v=TMfvkhkALbU
국내_록／메탈,8,임영웅,Polaroid,Polaroid,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg,https://www.youtube.com/watch?v=I82pbW2y_cc
국내_록／메탈,9,임영웅,무지개,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=jP2J0qnFtV4
국내_록／메탈,10,BIGBANG (빅뱅),봄여름가을겨울 (Still Life),봄여름가을겨울 (Still Life),https://cdnimg.melon.co.kr/cm2/album/images/109/08/834/10908834_20220404174407_500.jpg,https://www.youtube.com/watch?v=eN5mG_yMDiM
국내_록／메탈,11,잔나비,주저하는 연인들을 위해,전설,https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg,https://www.youtube.com/watch?v=5g4KsIizYhQ
국내_록／메탈,12,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,https://cdnimg.melon.co.kr/cm2/album/images/103/20/500/10320500_500.jpg,https://www.youtube.com/watch?v=qKXMZPH6k18
국내_록／메탈,13,아이유,Blueming,Love poem,https://cdnimg.melon.co.kr/cm2/album/images/103/46/650/10346650_500.jpg,https://www.youtube.com/watch?v=D1PvIWdJ8xo
국내_록／메탈,14,DAY6 (데이식스),한 페이지가 될 수 있게,The Book of Us : Gravity,https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg,https://www.youtube.com/watch?v=vnS_jn2uibs
