장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_인디음악,1,#안녕,해요 (2022),해요 (2022),https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg,https://www.youtube.com/watch?v=P6gV_t70KAk
국내_인디음악,2,10CM,그라데이션,5.3,https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg,https://www.youtube.com/watch?v=VQZXXciZb_c
국내_인디음악,3,김민석 (멜로망스),너와 함께,너와 함께,https://cdnimg.melon.co.kr/cm2/album/images/111/87/922/11187922_20230223094104_500.jpg,https://www.youtube.com/watch?v=97rc2GKZVTw
국내_인디음악,4,최유리,그댄 행복에 살텐데 (2022),그댄 행복에 살텐데 (2022),https://cdnimg.melon.co.kr/cm2/album/images/111/30/072/11130072_20221226144743_500.jpg,https://www.youtube.com/watch?v=mwTnWKAvFyo
국내_인디음악,5,볼빨간사춘기,"나만, 봄",사춘기집Ⅰ 꽃기운,https://cdnimg.melon.co.kr/cm/album/images/102/68/898/10268898_500.jpg,https://www.youtube.com/watch?v=AsXxuIdpkWM
국내_인디음악,6,백아,첫사랑,첫사랑,https://cdnimg.melon.co.kr/cm/album/images/102/10/149/10210149_500.jpg,https://www.youtube.com/watch?v=RROW1FvQjqA
국내_인디음악,7,볼빨간사춘기,Love story,Seoul,https://cdnimg.melon.co.kr/cm2/album/images/109/26/502/10926502_20220420071020_500.jpg,https://www.youtube.com/watch?v=E35In9bsWh4
국내_인디음악,8,잔나비,주저하는 연인들을 위해,전설,https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg,https://www.youtube.com/watch?v=5g4KsIizYhQ
국내_인디음악,9,10CM,봄이 좋냐??,3.2,https://cdnimg.melon.co.kr/cm/album/images/026/76/884/2676884_500.jpg,https://www.youtube.com/watch?v=ZDotTeH8qQI
국내_인디음악,10,순순희(기태),그대가 내 안에 박혔다(그내박),그대가 내 안에 박혔다(그내박),https://cdnimg.melon.co.kr/cm2/album/images/111/54/218/11154218_20230120135907_500.jpg,https://www.youtube.com/watch?v=RyiFowxqN-Q
국내_인디음악,11,멜로망스,선물,Moonlight,https://cdnimg.melon.co.kr/cm/album/images/100/78/176/10078176_500.jpg,https://www.youtube.com/watch?v=lnRF7__IRDY
국내_인디음악,12,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment),Red Moon : Beyond The Light,https://cdnimg.melon.co.kr/cm2/album/images/107/16/174/10716174_20210916153439_500.jpg,https://www.youtube.com/watch?v=tL7HKKEoW1Y
