장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_트로트,1,이홍기 (FT아일랜드),아모르 파티,아모르 파티,https://cdnimg.melon.co.kr/cm2/album/images/112/07/710/11207710_20230321152017_500.jpg,https://www.youtube.com/watch?v=-_bdhLPf1OU
국내_트로트,2,임영웅,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg,https://www.youtube.com/watch?v=kSzraUekkNE
국내_트로트,3,임영웅,보금자리,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=Znpnf1HUmQ4
국내_트로트,4,이찬원,풍등,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=yaeG5iPP414
국내_트로트,5,안성훈,그대 내 친구여,미스터트롯2 결승전 베스트,https://cdnimg.melon.co.kr/cm2/album/images/112/05/332/11205332_20230316152031_500.jpg,https://www.youtube.com/watch?v=_yv99sys0oc
국내_트로트,6,황영웅,백년의 약속,불타는 트롯맨 결승전 듀엣곡미션 & 미발매곡,https://cdnimg.melon.co.kr/cm2/album/images/112/07/909/11207909_20230321184914_500.jpg,https://www.youtube.com/watch?v=BfT-p48ye6M
국내_트로트,7,임영웅,별빛 같은 나의 사랑아,별빛 같은 나의 사랑아,https://cdnimg.melon.co.kr/cm2/album/images/105/75/005/10575005_20210309113840_500.jpg,https://www.youtube.com/watch?v=oQW9lY1ZAJA
국내_트로트,8,영탁,찐이야,내일은 미스터트롯 결승전 베스트,https://cdnimg.melon.co.kr/cm2/album/images/104/02/513/10402513_20200313112215_500.jpg,https://www.youtube.com/watch?v=dNUncvc6mcM
국내_트로트,9,이찬원,시절인연 (時節因緣),꼰대인턴 OST Part 2,https://cdnimg.melon.co.kr/cm2/album/images/104/36/135/10436135_20200527160726_500.jpg,https://www.youtube.com/watch?v=fV8tu-tPcJE
국내_트로트,10,박지현,깜빡이를 키고 오세요,미스터트롯2 준결승전 신곡미션,https://cdnimg.melon.co.kr/cm2/album/images/111/99/993/11199993_20230309152904_500.jpg,https://www.youtube.com/watch?v=8frigTTPge8
국내_트로트,11,영탁,니가 왜 거기서 나와 (Narr. 고은아),니가 왜 거기서 나와,https://cdnimg.melon.co.kr/cm/album/images/102/14/084/10214084_500.jpg,https://www.youtube.com/watch?v=vFWRbhxDI0I
국내_트로트,12,임영웅,어느 60대 노부부이야기,내일은 미스터트롯 트롯 에이드 베스트,https://cdnimg.melon.co.kr/cm2/album/images/103/91/899/10391899_20200221103027_500.jpg,https://www.youtube.com/watch?v=iB8o1zv4zWw
국내_트로트,13,이찬원,밥 한 번 먹자,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=vgM34wvJw8g
국내_트로트,14,안성훈,시절인연,미스터트롯2 라이벌 매치 베스트 PART1,https://cdnimg.melon.co.kr/cm2/album/images/111/89/143/11189143_20230223183522_500.jpg,https://www.youtube.com/watch?v=nuTPu-dXGcU
국내_트로트,15,황영웅,안 볼 때 없을 때,불타는 트롯맨 결승전 신곡미션,https://cdnimg.melon.co.kr/cm2/album/images/111/93/299/11193299_20230228170826_500.jpg,https://www.youtube.com/watch?v=rwNvFpI9GXg
국내_트로트,16,황영웅,인생아 고마웠다,불타는 트롯맨 디너쇼 미션 PART 2,https://cdnimg.melon.co.kr/cm2/album/images/111/68/518/11168518_20230207171721_500.jpg,https://www.youtube.com/watch?v=Rf7Og5Lh-g0
국내_트로트,17,임영웅,바램,내일은 미스터트롯 예선곡 베스트,https://cdnimg.melon.co.kr/cm2/album/images/103/77/157/10377157_20200117113740_500.jpg,https://www.youtube.com/watch?v=HscWr4H4jZI
국내_트로트,18,이찬원,건배,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=8o-3HiYn8dU
국내_트로트,19,이찬원,나와 함께 가시렵니까,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=Nw5t5QcLlAA
국내_트로트,20,장윤정,초혼,올래,https://cdnimg.melon.co.kr/cm/album/images/009/16/260/916260_500.jpg,https://www.youtube.com/watch?v=FFl0k_XTvc4
국내_트로트,21,황영웅,미운 사랑,불타는 트롯맨 예선전 PART 1,https://cdnimg.melon.co.kr/cm2/album/images/111/28/866/11128866_20221220195130_500.jpg,https://www.youtube.com/watch?v=DEUgAWWU4uc
국내_트로트,22,이찬원,오.내.언.사,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=nuHJPZuzuCE
국내_트로트,23,이찬원,바람 같은 사람,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=CcFa6WPDnFQ
국내_트로트,24,안성훈,돌릴 수 없는 세월,미스터트롯2 데스매치 베스트 PART3,https://cdnimg.melon.co.kr/cm2/album/images/111/65/334/11165334_20230202221718_500.jpg,https://www.youtube.com/watch?v=kVnUbkKAbzY
국내_트로트,25,임영웅,다시 사랑한다면 (김필 Ver.),사랑의 콜센타 PART56,https://cdnimg.melon.co.kr/cm2/album/images/106/14/238/10614238_20210525100205_500.jpg,https://www.youtube.com/watch?v=8aCRNWFY8nc
국내_트로트,26,이찬원,사나이 청춘,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=cp3gXSWTR0A
국내_트로트,27,황영웅,영원한 내 사랑,불타는 트롯맨 준결승 삼대천왕전 PART 2,https://cdnimg.melon.co.kr/cm2/album/images/111/83/714/11183714_20230222011330_500.jpg,https://www.youtube.com/watch?v=FUnv3tOl9RY
국내_트로트,28,이찬원,트위스트고고,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=ZbgmbRmqKhg
국내_트로트,29,임영웅,사랑역,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=JnsPW_qFBuU
국내_트로트,30,임영웅,사랑해요 그대를,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=XGf2PO4rHzU
국내_트로트,31,이찬원,망원동 부르스,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=xRRF-qSdPww
국내_트로트,32,박지현,떠날 수 없는 당신,미스터트롯2 1:1 데스매치 베스트 PART2,https://cdnimg.melon.co.kr/cm2/album/images/111/58/680/11158680_20230126215913_500.jpg,https://www.youtube.com/watch?v=KyrJFRzt8mY
국내_트로트,33,이찬원,좋아 좋아,ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=kmbLReuPk44
국내_트로트,34,박지현,거문고야,미스터트롯2 라이벌 매치 베스트 PART1,https://cdnimg.melon.co.kr/cm2/album/images/111/89/143/11189143_20230223183522_500.jpg,https://www.youtube.com/watch?v=GNQ_DFY1ZTY
국내_트로트,35,박지현,못난놈,미스터트롯2 예선 베스트 PART1,https://cdnimg.melon.co.kr/cm2/album/images/111/30/092/11130092_20221222191155_500.jpg,https://www.youtube.com/watch?v=7Eo3XjMt2cA
국내_트로트,36,박서진,지나야,춘몽,https://cdnimg.melon.co.kr/cm2/album/images/111/94/812/11194812_20230303095926_500.jpg,https://www.youtube.com/watch?v=j4W-lzrR6ug
국내_트로트,37,이찬원,오.내.언.사 (Guitar Ver.),ONE,https://cdnimg.melon.co.kr/cm2/album/images/111/80/361/11180361_20230217170146_500.jpg,https://www.youtube.com/watch?v=YYNdkA9RfCo
국내_트로트,38,김연자,아모르 파티,아모르 파티,https://cdnimg.melon.co.kr/cm/album/images/021/93/965/2193965_500.jpg,https://www.youtube.com/watch?v=HVwLmJCXnqg
국내_트로트,39,장윤정,목포행 완행열차,préparation(쁘레빠라씨용),https://cdnimg.melon.co.kr/cm/album/images/102/59/403/10259403_500.jpg,https://www.youtube.com/watch?v=89yRoGEnlEQ
국내_트로트,40,영탁,막걸리 한잔,내일은 미스터트롯 데스매치 PART1,https://cdnimg.melon.co.kr/cm2/album/images/103/80/994/10380994_20200130104559_500.jpg,https://www.youtube.com/watch?v=npXaoOA2yS0
국내_트로트,41,나훈아,테스형!,아홉 이야기,https://cdnimg.melon.co.kr/cm2/album/images/104/77/865/10477865_20200819145718_500.jpg,https://www.youtube.com/watch?v=8cNz9awcVqg
국내_트로트,42,이찬원,참 좋은 날,참 좋은 날,https://cdnimg.melon.co.kr/cm2/album/images/108/07/456/10807456_20211208235252_500.jpg,https://www.youtube.com/watch?v=SElEK7mwca4
국내_트로트,43,이찬원,메밀꽃 필무렵,..선물,https://cdnimg.melon.co.kr/cm2/album/images/107/33/756/10733756_20211007101424_500.jpg,https://www.youtube.com/watch?v=H8WE7ANOFHE
국내_트로트,44,황영웅,빈 지게,불타는 트롯맨 팀 데스매치 PART 2 & 1:1 라이벌전,https://cdnimg.melon.co.kr/cm2/album/images/111/44/547/11144547_20230110172520_500.jpg,https://www.youtube.com/watch?v=tiUMQ5gOG6g
국내_트로트,45,영탁,전복 먹으러 갈래,전복 먹으러 갈래,https://cdnimg.melon.co.kr/cm2/album/images/108/62/759/10862759_20220209160854_500.jpg,https://www.youtube.com/watch?v=x9gXG3zUK7g
국내_트로트,46,장윤정,사랑아,짠짜라,https://cdnimg.melon.co.kr/cm/album/images/003/02/749/302749_500.jpg,https://www.youtube.com/watch?v=nteep_0UseA
국내_트로트,47,홍진영,오늘 밤에,Lots of Love,https://cdnimg.melon.co.kr/cm/album/images/102/59/010/10259010_500.jpg,https://www.youtube.com/watch?v=NT5la2w7MPQ
국내_트로트,48,장윤정,돼지토끼,돼지토끼,https://cdnimg.melon.co.kr/cm2/album/images/105/19/994/10519994_20201118144036_500.jpg,https://www.youtube.com/watch?v=yZOGnRcTjRQ
국내_트로트,49,송가인,서울의 달,송가인 1st ALBUM '佳人',https://cdnimg.melon.co.kr/cm2/album/images/103/46/934/10346934_500.jpg,https://www.youtube.com/watch?v=-Nvg8ohbUDQ
국내_트로트,50,최수호,조선의 남자,미스터트롯2 준결승전 신곡미션,https://cdnimg.melon.co.kr/cm2/album/images/111/99/993/11199993_20230309152904_500.jpg,https://www.youtube.com/watch?v=J6Af4Bxkl0A
국내_트로트,51,영탁,한량가 (Hallyang-ga),MMM,https://cdnimg.melon.co.kr/cm2/album/images/109/95/973/10995973_20220704120924_500.jpg,https://www.youtube.com/watch?v=8LuFQj4Eis0
국내_트로트,52,영탁,누나가 딱이야,누나가 딱이야,https://cdnimg.melon.co.kr/cm/album/images/026/72/833/2672833_500.jpg,https://www.youtube.com/watch?v=MIWxCBwElcc
국내_트로트,53,정동원,여백,내일은 미스터트롯 결승전 베스트,https://cdnimg.melon.co.kr/cm2/album/images/104/02/513/10402513_20200313112215_500.jpg,https://www.youtube.com/watch?v=rlRrWB8wB1I
국내_트로트,54,김호중,고맙소,내일은 미스터트롯 결승전 베스트,https://cdnimg.melon.co.kr/cm2/album/images/104/02/513/10402513_20200313112215_500.jpg,https://www.youtube.com/watch?v=yIaD_cb40Q8
국내_트로트,55,박군,한잔해,한잔해,https://cdnimg.melon.co.kr/cm2/album/images/103/28/889/10328889_20210325105936_500.jpg,https://www.youtube.com/watch?v=3N5g9BgM1To
국내_트로트,56,임영웅,보라빛 엽서,내일은 미스터트롯 레전드 미션 베스트,https://cdnimg.melon.co.kr/cm2/album/images/103/99/605/10399605_20200306103101_500.jpg,https://www.youtube.com/watch?v=XTYwPfh-mog
국내_트로트,57,임영웅,HERO,HERO,https://cdnimg.melon.co.kr/cm2/album/images/105/13/079/10513079_20201103201136_500.jpg,https://www.youtube.com/watch?v=4jXLHKMRA-E
국내_트로트,58,임영웅,계단말고 엘리베이터,계단말고 엘리베이터,https://cdnimg.melon.co.kr/cm/album/images/101/95/495/10195495_500.jpg,https://www.youtube.com/watch?v=whK76qD2e6E
국내_트로트,59,이찬원,진또배기,내일은 미스터트롯 예선곡 베스트,https://cdnimg.melon.co.kr/cm2/album/images/103/77/157/10377157_20200117113740_500.jpg,https://www.youtube.com/watch?v=LCEyhP6y98o
국내_트로트,60,박지현,잡초,미스터트롯2 결승전 베스트,https://cdnimg.melon.co.kr/cm2/album/images/112/05/332/11205332_20230316152031_500.jpg,https://www.youtube.com/watch?v=9umBD40eH_w
국내_트로트,61,영탁,이불,이불,https://cdnimg.melon.co.kr/cm2/album/images/105/62/334/10562334_20210209154050_500.jpg,https://www.youtube.com/watch?v=9s0EBic28Pw
국내_트로트,62,조항조,고맙소,고맙소,https://cdnimg.melon.co.kr/cm/album/images/100/92/319/10092319_500.jpg,https://www.youtube.com/watch?v=_X82dSOV0TQ
국내_트로트,63,문희옥,평행선,First Single,https://cdnimg.melon.co.kr/cm/album/images/103/05/694/10305694_500.jpg,https://www.youtube.com/watch?v=bIAUt2FVZUM
국내_트로트,64,진성,안동역에서,"님의 사랑, 안동역에서",https://cdnimg.melon.co.kr/cm/album/images/021/49/029/2149029_500.jpg,https://www.youtube.com/watch?v=w5j1-8Dmew0
