장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내_포크／블루스,1,10CM,그라데이션,5.3,https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg,https://www.youtube.com/watch?v=VQZXXciZb_c
국내_포크／블루스,2,볼빨간사춘기,"나만, 봄",사춘기집Ⅰ 꽃기운,https://cdnimg.melon.co.kr/cm/album/images/102/68/898/10268898_500.jpg,https://www.youtube.com/watch?v=AsXxuIdpkWM
국내_포크／블루스,3,백아,첫사랑,첫사랑,https://cdnimg.melon.co.kr/cm/album/images/102/10/149/10210149_500.jpg,https://www.youtube.com/watch?v=RROW1FvQjqA
국내_포크／블루스,4,볼빨간사춘기,Love story,Seoul,https://cdnimg.melon.co.kr/cm2/album/images/109/26/502/10926502_20220420071020_500.jpg,https://www.youtube.com/watch?v=E35In9bsWh4
국내_포크／블루스,5,임영웅,사랑해 진짜,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=CbhiBN5wpCc
국내_포크／블루스,6,임영웅,연애편지,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=P2FcQvCbDWg
국내_포크／블루스,7,10CM,봄이 좋냐??,3.2,https://cdnimg.melon.co.kr/cm/album/images/026/76/884/2676884_500.jpg,https://www.youtube.com/watch?v=ZDotTeH8qQI
국내_포크／블루스,8,로이킴,봄봄봄,봄봄봄,https://cdnimg.melon.co.kr/cm/album/images/021/82/026/2182026_500.jpg,https://www.youtube.com/watch?v=k3-BDy55tq4
국내_포크／블루스,9,10CM,폰서트,4.0,https://cdnimg.melon.co.kr/cm/album/images/100/93/077/10093077_500.jpg,https://www.youtube.com/watch?v=61pRq2zfsHo
국내_포크／블루스,10,볼빨간사춘기,썸 탈꺼야,Red Diary Page.1,https://cdnimg.melon.co.kr/cm/album/images/101/00/191/10100191_500.jpg,https://www.youtube.com/watch?v=Je-AOvGZVso
국내_포크／블루스,11,스탠딩 에그,오래된 노래,오래된 노래,https://cdnimg.melon.co.kr/cm/album/images/021/48/596/2148596_500.jpg,https://www.youtube.com/watch?v=bW3XExLBf7A
국내_포크／블루스,12,볼빨간사춘기,나의 사춘기에게,Red Diary Page.1,https://cdnimg.melon.co.kr/cm/album/images/101/00/191/10100191_500.jpg,https://www.youtube.com/watch?v=3gMAEZCOFtE
