장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
국내종합,1,IVE (아이브),Kitsch,I've IVE,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg,https://www.youtube.com/watch?v=UibLePSMnRw
국내종합,2,지수 (JISOO),꽃,ME,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
국내종합,3,NewJeans,Ditto,NewJeans 'OMG',https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg,https://www.youtube.com/watch?v=Km71Rr9K-Bw
국내종합,4,NewJeans,Hype boy,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg,https://www.youtube.com/watch?v=11cta61wi0g
국내종합,5,NewJeans,OMG,NewJeans 'OMG',https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg,https://www.youtube.com/watch?v=sVTy_wmn5SU
국내종합,6,STAYC(스테이씨),Teddy Bear,Teddy Bear,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg,https://www.youtube.com/watch?v=SxHmoifp0oQ
국내종합,7,윤하 (YOUNHA),사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg,https://www.youtube.com/watch?v=BBdC1rl5sKY
국내종합,8,NewJeans,Zero,Zero,https://cdnimg.melon.co.kr/cm2/album/images/112/15/953/11215953_20230403104617_500.jpg,https://www.youtube.com/watch?v=XIOoqJyx8E4
국내종합,9,DK(디셈버),심(心),심(心),https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg,https://www.youtube.com/watch?v=ZbWooNg4IMo
국내종합,10,Zior Park,CHRISTIAN,WHERE DOES SASQUATCH LIVE? PART 1,https://cdnimg.melon.co.kr/cm2/album/images/111/75/689/11175689_20230214163916_500.jpg,https://www.youtube.com/watch?v=Dqlr8EDunCM
국내종합,11,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg,https://www.youtube.com/watch?v=mBXBOLG06Wc
국내종합,12,우디 (Woody),Nostalgia,Nostalgia,https://cdnimg.melon.co.kr/cm2/album/images/111/95/614/11195614_20230303182750_500.jpg,https://www.youtube.com/watch?v=FaIqFOU_uUw
국내종합,13,지민,Like Crazy,FACE,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg,https://www.youtube.com/watch?v=nOI67IDlNMQ
국내종합,14,NMIXX,Love Me Like This,expérgo,https://cdnimg.melon.co.kr/cm2/album/images/112/01/031/11201031_20230320162256_500.jpg,https://www.youtube.com/watch?v=EDnwWcFpObo
국내종합,15,NewJeans,Attention,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg,https://www.youtube.com/watch?v=js1CtxSY38I
국내종합,16,IVE (아이브),After LIKE,After LIKE,https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg,https://www.youtube.com/watch?v=F0B7HDiY-10
국내종합,17,주주 시크릿,밤이 무서워요 (Lonely Night),밤이 무서워요 (Lonely Night),https://cdnimg.melon.co.kr/cm2/album/images/112/09/910/11209910_20230323192006_500.jpg,https://www.youtube.com/watch?v=IzOjUXa-nFA
국내종합,18,지아,사랑하기 싫어,사랑하기 싫어,https://cdnimg.melon.co.kr/cm2/album/images/111/88/007/11188007_20230223114254_500.jpg,https://www.youtube.com/watch?v=bKfQmdCWKoQ
국내종합,19,LE SSERAFIM (르세라핌),ANTIFRAGILE,ANTIFRAGILE,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg,https://www.youtube.com/watch?v=p_XdZdg9oGc
국내종합,20,송하예,너를 보는게 지친 하루에,너를 보는게 지친 하루에,https://cdnimg.melon.co.kr/cm2/album/images/112/05/854/11205854_20230317102921_500.jpg,https://www.youtube.com/watch?v=W-4fo94U4Tc
국내종합,21,IVE (아이브),LOVE DIVE,LOVE DIVE,https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg,https://www.youtube.com/watch?v=Y8JFxS1HlDo
국내종합,22,멜로망스,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg,https://www.youtube.com/watch?v=McidaTgrQB0
국내종합,23,포맨 (4MEN),나비무덤,나비무덤,https://cdnimg.melon.co.kr/cm2/album/images/111/93/225/11193225_20230228162826_500.jpg,https://www.youtube.com/watch?v=-embUeUPc7o
