장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_CCM,1,손경민,"은혜 (Feat. 지선,이윤화,하니,강찬,아이빅밴드)",은혜,https://cdnimg.melon.co.kr/cm2/album/images/105/35/166/10535166_20201216172733_500.jpg,https://www.youtube.com/watch?v=pZuW2CV0mXY
그외_CCM,2,WELOVE,어둔 날 다 지나고,"Your Kingdom, Our Home",https://cdnimg.melon.co.kr/cm2/album/images/107/63/658/10763658_20211104115302_500.jpg,https://www.youtube.com/watch?v=EqDL2-OW1Z4
그외_CCM,3,WELOVE,시간을 뚫고,WELOVE UNDERGROUND,https://cdnimg.melon.co.kr/cm/album/images/102/24/437/10224437_500.jpg,https://www.youtube.com/watch?v=A0FUMbDKmLA
그외_CCM,4,마커스워십 (MARKERS WORSHIP),꽃들도 (인도 : 소진영),마커스워십 ON Vol.3,https://cdnimg.melon.co.kr/cm/album/images/101/97/449/10197449_500.jpg,https://www.youtube.com/watch?v=1UKab9UeWNA
그외_CCM,5,마커스,부르신 곳에서,2009 마커스 라이브 워십 (Stand In Awe),https://cdnimg.melon.co.kr/cm/album/images/005/36/451/536451_500.jpg,https://www.youtube.com/watch?v=5Su-FPh0MlA
그외_CCM,6,제이어스,내 모습 이대로 (Just As I Am),Born Again,https://cdnimg.melon.co.kr/cm/album/images/023/20/087/2320087_500.jpg,https://www.youtube.com/watch?v=FV5nMb93UwY
그외_CCM,7,찬미워십,원하고 바라고 기도합니다,원하고 바라고 기도합니다,https://cdnimg.melon.co.kr/cm/album/images/101/86/657/10186657_500.jpg,https://www.youtube.com/watch?v=eoDsJr7LF-0
그외_CCM,8,WELOVE,입례 (예배하는 자 되어),[입례 入禮],https://cdnimg.melon.co.kr/cm2/album/images/106/50/522/10650522_20210713133104_500.jpg,https://www.youtube.com/watch?v=6Xdy8I6aGpg
그외_CCM,9,WELOVE,공감하시네,공감,https://cdnimg.melon.co.kr/cm2/album/images/103/27/673/10327673_500.jpg,https://www.youtube.com/watch?v=4jH3MqokNMw
그외_CCM,10,염평안,요게벳의 노래 (Feat. 조찬미),IN THE BIBLE,https://cdnimg.melon.co.kr/cm/album/images/101/74/407/10174407_500.jpg,https://www.youtube.com/watch?v=knI6bsXeg2U
그외_CCM,11,짐니 (JIMNI),너는 내게 와 편히 쉬어라,너는 내게 와 편히 쉬어라,https://cdnimg.melon.co.kr/cm/album/images/101/64/374/10164374_500.jpg,https://www.youtube.com/watch?v=0ZgniLzwuaE
그외_CCM,12,마커스,그 사랑,마커스 라이브,https://cdnimg.melon.co.kr/cm/album/images/012/63/952/1263952_500.jpg,https://www.youtube.com/watch?v=5TroLBvlyp4
그외_CCM,13,김복유,"잇쉬가 잇샤에게 (With 이상혁, 이시연, 오종훈, 안혜정)",잇쉬가 잇샤에게,https://cdnimg.melon.co.kr/cm/album/images/100/98/984/10098984_500.jpg,https://www.youtube.com/watch?v=__IxH9jeRo0
