장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_J-pop,1,imase,NIGHT DANCER,NIGHT DANCER,https://cdnimg.melon.co.kr/cm2/album/images/110/31/616/11031616_20220817122214_500.jpg,https://www.youtube.com/watch?v=kagoEGKHZvU
그외_J-pop,2,RADWIMPS (래드윔프스),すずめ / Suzume (feat. Toaka(토아카/十明)),Suzume(스즈메의 문단속/すずめの戸締まり),https://cdnimg.melon.co.kr/cm2/album/images/111/00/413/11100413_20221110174311_500.jpg,https://www.youtube.com/watch?v=7kVu6Io4A4Y
그외_J-pop,3,Aimyon,愛を伝えたいだとか / Ai Wo Tsutaetaidatoka (사랑을 전하고 싶다든가),靑春のエキサイトメント / Seishunno Excitement (청춘의 Excitement) (Excitement of Youth),https://cdnimg.melon.co.kr/cm/album/images/100/96/397/10096397_500.jpg,https://www.youtube.com/watch?v=ltwazF77Owg
그외_J-pop,4,Yuuri,BETELGEUSE,BETELGEUSE,https://cdnimg.melon.co.kr/cm2/album/images/107/53/344/10753344_20211026175201_500.jpg,https://www.youtube.com/watch?v=hrfnpTGUfmg
그외_J-pop,5,Yonezu Kenshi,Lemon,Lemon,https://cdnimg.melon.co.kr/cm/album/images/101/47/927/10147927_500.jpg,https://www.youtube.com/watch?v=SX_ViT4Ra7k
그외_J-pop,6,Yonezu Kenshi,KICK BACK,KICK BACK,https://cdnimg.melon.co.kr/cm2/album/images/110/73/532/11073532_20221007163509_500.jpg,https://www.youtube.com/watch?v=M2cckDmNLMI
그외_J-pop,7,RADWIMPS (래드윔프스),カナタハルカ / KANATA HALUKA,Suzume(스즈메의 문단속/すずめの戸締まり),https://cdnimg.melon.co.kr/cm2/album/images/111/00/413/11100413_20221110174311_500.jpg,https://www.youtube.com/watch?v=g8kgCIBr53I
그외_J-pop,8,Aimyon,君はロックを聴かない / Kimi Wa Rock Wo Kikanai (너는 Rock을 듣지 않아),靑春のエキサイトメント / Seishunno Excitement (청춘의 Excitement) (Excitement of Youth),https://cdnimg.melon.co.kr/cm/album/images/100/96/397/10096397_500.jpg,https://www.youtube.com/watch?v=GNwWFq1Xtu0
그외_J-pop,9,10-FEET,第ゼロ感,Dai Zero Kan (第ゼロ感) / 제Zero감 (더 퍼스트 슬램덩크 주제곡),https://cdnimg.melon.co.kr/cm2/album/images/110/95/917/11095917_20221107113302_500.jpg,https://www.youtube.com/watch?v=EsJGbHJyXYc
그외_J-pop,10,RADWIMPS (래드윔프스),なんでもないや (movie ver.) / Nandemonaiya (movie ver.),君の名は。(너의 이름은. / your name.),https://cdnimg.melon.co.kr/cm/album/images/100/04/028/10004028_500.jpg,https://www.youtube.com/watch?v=n89SKAymNfA
그외_J-pop,11,Fujii Kaze,Shinunoga E-Wa,HELP EVER HURT NEVER,https://cdnimg.melon.co.kr/cm2/album/images/104/31/598/10431598_20200518123330_500.jpg,https://www.youtube.com/watch?v=dawrQnvwMTY
그외_J-pop,12,Yorushika,Left-Right Confusion,Left-Right Confusion,https://cdnimg.melon.co.kr/cm2/album/images/110/12/437/11012437_20220725090844_500.jpg,https://www.youtube.com/watch?v=zwY3q-eG21o
그외_J-pop,13,RADWIMPS (래드윔프스),すずめの涙 / Tears of Suzume,Suzume(스즈메의 문단속/すずめの戸締まり),https://cdnimg.melon.co.kr/cm2/album/images/111/00/413/11100413_20221110174311_500.jpg,https://www.youtube.com/watch?v=sROdrYQ7qFs
그외_J-pop,14,RADWIMPS (래드윔프스),前前前世 (movie ver.) / Zenzenzense (movie ver.),君の名は。(너의 이름은. / your name.),https://cdnimg.melon.co.kr/cm/album/images/100/04/028/10004028_500.jpg,https://www.youtube.com/watch?v=PDSkFeMVNFs
그외_J-pop,15,Aimyon,Marigold,Momentary Sixth Sense,https://cdnimg.melon.co.kr/cm/album/images/102/51/321/10251321_500.jpg,https://www.youtube.com/watch?v=tq9Y62uJUfU
그외_J-pop,16,Yuuri,Dried Flower,Dried Flower,https://cdnimg.melon.co.kr/cm2/album/images/105/09/921/10509921_20201028123745_500.jpg,https://www.youtube.com/watch?v=tR8D8XrMjM4
그외_J-pop,17,YOASOBI,夜に駆ける,"夜に駆ける (밤을 달리다, Into The Night / Yoru ni Kakeru)",https://cdnimg.melon.co.kr/cm2/album/images/104/37/023/10437023_20200528185316_500.jpg,https://www.youtube.com/watch?v=j1hft9Wjq9U
그외_J-pop,18,Honeyworks,Kawaikute gomen (Feat. Chuutan(CV:Saori Hayami)),Kawaikute Gomen (Feat. Chuutan(CV:Saori Hayami)),https://cdnimg.melon.co.kr/cm2/album/images/111/04/705/11104705_20221116231755_500.jpg,https://www.youtube.com/watch?v=jOkC2FWd2Z8
그외_J-pop,19,Yuuri,Leo,Ichi,https://cdnimg.melon.co.kr/cm2/album/images/108/32/726/10832726_20220105121205_500.jpg,https://www.youtube.com/watch?v=cPWVhrGX_b4
그외_J-pop,20,RADWIMPS (래드윔프스),すずめ / Suzume (feat. Toaka(토아카/十明)),すずめ(Suzume) (feat. Toaka(토아카/十明)),https://cdnimg.melon.co.kr/cm2/album/images/110/68/564/11068564_20220929210006_500.jpg,https://www.youtube.com/watch?v=7kVu6Io4A4Y
그외_J-pop,21,Matsubara Miki,真夜中のドア - Stay With Me / Mayonaka no Door - Stay With Me,Miki Matsubara Best Collection,https://cdnimg.melon.co.kr/cm/album/images/102/71/525/10271525_500.jpg,https://www.youtube.com/watch?v=nuU2YHtxMik
그외_J-pop,22,RADWIMPS (래드윔프스),Tamaki,Suzume(스즈메의 문단속/すずめの戸締まり),https://cdnimg.melon.co.kr/cm2/album/images/111/00/413/11100413_20221110174311_500.jpg,https://www.youtube.com/watch?v=svZfxIJ6vPo
