장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_OST,1,멜로망스,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg,https://www.youtube.com/watch?v=McidaTgrQB0
그외_OST,2,성시경,너의 모든 순간,별에서 온 그대 OST Part.7,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg,https://www.youtube.com/watch?v=i2aRMXZR1k0
그외_OST,3,임영웅,사랑은 늘 도망가,신사와 아가씨 OST Part.2,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg,https://www.youtube.com/watch?v=Ue763Gp8IKM
그외_OST,4,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg,https://www.youtube.com/watch?v=1q_t6RNuH8c
그외_OST,5,"로꼬, 유주 (YUJU)",우연히 봄,냄새를 보는 소녀 OST Part.2,https://cdnimg.melon.co.kr/cm/album/images/023/12/287/2312287_500.jpg,https://www.youtube.com/watch?v=AAk0ZvS5X90
그외_OST,6,성시경,희재,국화꽃 향기 OST,https://cdnimg.melon.co.kr/cm/album/images/000/28/985/28985_500.jpg,https://www.youtube.com/watch?v=-pPDEayEY4M
그외_OST,7,아이유,내 손을 잡아,최고의 사랑 OST Part.4,https://cdnimg.melon.co.kr/cm/album/images/012/86/252/1286252_500.jpg,https://www.youtube.com/watch?v=3iM_06QeZi8
그외_OST,8,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,https://cdnimg.melon.co.kr/cm2/album/images/103/20/500/10320500_500.jpg,https://www.youtube.com/watch?v=qKXMZPH6k18
그외_OST,9,RADWIMPS (래드윔프스),すずめ / Suzume (feat. Toaka(토아카/十明)),Suzume(스즈메의 문단속/すずめの戸締まり),https://cdnimg.melon.co.kr/cm2/album/images/111/00/413/11100413_20221110174311_500.jpg,https://www.youtube.com/watch?v=7kVu6Io4A4Y
그외_OST,10,Sondia,어른,나의 아저씨 OST Part.2,https://cdnimg.melon.co.kr/cm/album/images/101/52/984/10152984_500.jpg,https://www.youtube.com/watch?v=5a-tqIQc8RM
그외_OST,11,김호중,그중에 그대를 만나,삼남매가 용감하게 OST Part.1,https://cdnimg.melon.co.kr/cm2/album/images/110/62/828/11062828_20220923105240_500.jpg,https://www.youtube.com/watch?v=Re-na85d8l0
그외_OST,12,에일리(Ailee),첫눈처럼 너에게 가겠다,도깨비 OST Part.9,https://cdnimg.melon.co.kr/cm/album/images/100/29/181/10029181_500.jpg,https://www.youtube.com/watch?v=6rS7OUGXUik
그외_OST,13,조정석,아로하,슬기로운 의사생활 OST Part 3,https://cdnimg.melon.co.kr/cm2/album/images/104/09/054/10409054_20200326163459_500.jpg,https://www.youtube.com/watch?v=3DOkxQ3HDXE
그외_OST,14,OneRepublic,I Ain't Worried,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST),https://cdnimg.melon.co.kr/cm2/album/images/109/67/172/10967172_20220525095420_500.jpg,https://www.youtube.com/watch?v=mNEUkkoUoIA
그외_OST,15,정승환,너였다면,또 오해영 OST Part.5,https://cdnimg.melon.co.kr/cm/album/images/026/87/963/2687963_500.jpg,https://www.youtube.com/watch?v=bkEpWA-4FfU
