장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_국악,1,홍지윤,홀로 아리랑,소리꽃 3장,https://cdnimg.melon.co.kr/cm2/album/images/107/30/262/10730262_20211001154208_500.jpg,https://www.youtube.com/watch?v=n2iCmnhBi48
그외_국악,2,서도밴드 (sEODo BAND),사랑가,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.6,https://cdnimg.melon.co.kr/cm2/album/images/107/61/571/10761571_20211102191908_500.jpg,https://www.youtube.com/watch?v=Q3j805p7gVY
그외_국악,3,조선블루스,발걸음,발걸음,https://cdnimg.melon.co.kr/cm2/album/images/112/10/382/11210382_20230324150211_500.jpg,https://www.youtube.com/watch?v=rtWWB_AQERM
그외_국악,4,꽃감이,달토끼 (月兎),달토끼 (月兎),https://cdnimg.melon.co.kr/cm2/album/images/112/10/475/11210475_20230324161814_500.jpg,https://www.youtube.com/watch?v=_0tU_RT9Lxs
그외_국악,5,서도밴드 (sEODo BAND),홍연,[웹툰싱어] 홍연 (내일 x 서도밴드),https://cdnimg.melon.co.kr/cm2/album/images/111/95/147/11195147_20230303135851_500.jpg,https://www.youtube.com/watch?v=2fafMg9F3VU
그외_국악,6,양지은,아름다운 나라,소리꽃 5장,https://cdnimg.melon.co.kr/cm2/album/images/107/59/190/10759190_20211101144041_500.jpg,https://www.youtube.com/watch?v=mUES52WYKhw
그외_국악,7,박애리,쑥대머리,화무십일홍,https://cdnimg.melon.co.kr/cm/album/images/026/84/032/2684032_500.jpg,https://www.youtube.com/watch?v=0PUzcuG0JDk
그외_국악,8,쏘망 (50mang),장산범 (Feat. 시유),마희魔戲 : 요괴의 장난,https://cdnimg.melon.co.kr/cm2/album/images/105/54/598/10554598_20210127172414_500.jpg,https://www.youtube.com/watch?v=n55fmdmOCxc
그외_국악,9,장사익,봄날은 간다,따뜻한 봄날 꽃구경 (2009년 5월 12일 세종문화회관 공연실황),https://cdnimg.melon.co.kr/cm/album/images/007/19/021/719021_500.jpg,https://www.youtube.com/watch?v=JjPGjdPNIuc
그외_국악,10,고영열,이룰수없는,이룰수없는,https://cdnimg.melon.co.kr/cm2/album/images/103/99/893/10399893_20200306163004_500.jpg,https://www.youtube.com/watch?v=SlquhLXkZ3A
그외_국악,11,서도밴드 (sEODo BAND),뱃노래,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.1,https://cdnimg.melon.co.kr/cm2/album/images/107/25/675/10725675_20210928160421_500.jpg,https://www.youtube.com/watch?v=HvtoTTtq4jk
그외_국악,12,조선블루스,작야 (昨夜),작야 (昨夜),https://cdnimg.melon.co.kr/cm/album/images/101/84/960/10184960_500.jpg,https://www.youtube.com/watch?v=rdueaEDZBJI
그외_국악,13,김다현,엄마,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=W7bplzpdKUw
그외_국악,14,서도밴드 (sEODo BAND),매일 매일 기다려,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.10,https://cdnimg.melon.co.kr/cm2/album/images/108/05/906/10805906_20211207192819_500.jpg,https://www.youtube.com/watch?v=mpYq377RhjM
그외_국악,15,김태연,애심가(愛心歌 ),고개타령,https://cdnimg.melon.co.kr/cm2/album/images/111/93/187/11193187_20230228164831_500.jpg,https://www.youtube.com/watch?v=gMLXxit9Eho
그외_국악,16,장사익,찔레꽃,하늘 가는길,https://cdnimg.melon.co.kr/cm/album/images/003/66/930/366930_500.jpg,https://www.youtube.com/watch?v=tMyCMS5z0G4
그외_국악,17,송소희,아름다운 나라,송소희 얼쑤 아름다운 樂 콘서트,https://cdnimg.melon.co.kr/cm/album/images/023/21/349/2321349_500.jpg,https://www.youtube.com/watch?v=P-rDhnOIXGY
그외_국악,18,김봉곤 훈장과 청학동 국악자매,모두 다 꽃이야,김봉곤 훈장과 청학동 국악자매의 2018 자선 콘서트,https://cdnimg.melon.co.kr/cm/album/images/102/48/126/10248126_500.jpg,https://www.youtube.com/watch?v=Y95gdRRcsYg
그외_국악,19,서도밴드 (sEODo BAND),바다,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.12,https://cdnimg.melon.co.kr/cm2/album/images/108/20/186/10820186_20211221160612_500.jpg,https://www.youtube.com/watch?v=jF2DXND_aCo
그외_국악,20,박수범,적벽대전,적벽대전,https://cdnimg.melon.co.kr/cm2/album/images/112/11/060/11211060_20230327094417_500.jpg,https://www.youtube.com/watch?v=hs4YLukGl7o
그외_국악,21,"서도밴드 (sEODo BAND), 이윤아",희망의 아리랑,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.7,https://cdnimg.melon.co.kr/cm2/album/images/107/79/908/10779908_20211116180527_500.jpg,https://www.youtube.com/watch?v=9NyzAi9zUw4
그외_국악,22,양지은,너영나영,소리꽃 5장,https://cdnimg.melon.co.kr/cm2/album/images/107/59/190/10759190_20211101144041_500.jpg,https://www.youtube.com/watch?v=KNEon4KYeMk
그외_국악,23,김다현,어즈버,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=A3pvZ-sBS-Q
그외_국악,24,숙명 가야금 연주단,캐논변주곡 All For One,숙명가야금연주단 베스트컬렉션 2006 For You,https://cdnimg.melon.co.kr/cm/album/images/003/18/607/318607_500.jpg,https://www.youtube.com/watch?v=YpYy88jMzm8
그외_국악,25,장사익,님은 먼 곳에,따뜻한 봄날 꽃구경 (2009년 5월 12일 세종문화회관 공연실황),https://cdnimg.melon.co.kr/cm/album/images/007/19/021/719021_500.jpg,https://www.youtube.com/watch?v=L6uw-g_9Jxw
그외_국악,26,박다울,거문장난감,거문장난감,https://cdnimg.melon.co.kr/cm2/album/images/107/74/349/10774349_20211111190208_500.jpg,https://www.youtube.com/watch?v=ApmuCxggTFc
그외_국악,27,장사익,봄비,따뜻한 봄날 꽃구경 (2009년 5월 12일 세종문화회관 공연실황),https://cdnimg.melon.co.kr/cm/album/images/007/19/021/719021_500.jpg,https://www.youtube.com/watch?v=FKRwxJRl0S4
그외_국악,28,김다현,이젠 알겠더이다,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=jGsZQ0QS4oI
그외_국악,29,서도밴드 (sEODo BAND),바다 끝,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.11,https://cdnimg.melon.co.kr/cm2/album/images/108/12/599/10812599_20211214160944_500.jpg,https://www.youtube.com/watch?v=FLOKEj3hc6U
그외_국악,30,송소희,"사랑,계절","사랑,계절",https://cdnimg.melon.co.kr/cm/album/images/026/99/508/2699508_500.jpg,https://www.youtube.com/watch?v=ZkQWbLfDJh0
그외_국악,31,쏘망 (50mang),장산범 (Feat. 빈 엔터테인먼트),장산범,https://cdnimg.melon.co.kr/cm2/album/images/107/03/739/10703739_20210906100850_500.jpg,https://www.youtube.com/watch?v=pPOs2TIa0ic
그외_국악,32,김다현,꽃길만,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=2mQzT7o6MLQ
그외_국악,33,김태연,꽃구경,소리꽃 4장,https://cdnimg.melon.co.kr/cm2/album/images/107/35/823/10735823_20211008140453_500.jpg,https://www.youtube.com/watch?v=6Qg-o3ugLbc
그외_국악,34,김다현,탄금대 가야금 소리,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=HQeLSMQr7Oc
그외_국악,35,장사익,꽃구경,따뜻한 봄날 꽃구경 (2009년 5월 12일 세종문화회관 공연실황),https://cdnimg.melon.co.kr/cm/album/images/007/19/021/719021_500.jpg,https://www.youtube.com/watch?v=X_Dwp_vYzvE
그외_국악,36,앙상블 시나위,눈 먼 사랑 (Blind Love) (흥타령),영혼을 위한 카덴자,https://cdnimg.melon.co.kr/cm/album/images/011/38/952/1138952_500.jpg,https://www.youtube.com/watch?v=id9QnX62B9M
그외_국악,37,두번째달,이별가 (Feat. 김준수),판소리 춘향가,https://cdnimg.melon.co.kr/cm/album/images/026/80/833/2680833_500.jpg,https://www.youtube.com/watch?v=7CRu6fh6ObQ
그외_국악,38,송소희,내나라 대한,내나라 대한,https://cdnimg.melon.co.kr/cm2/album/images/106/18/357/10618357_20210602163854_500.jpg,https://www.youtube.com/watch?v=vQ06E2wQSbg
그외_국악,39,김다현,장희빈,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=OwpxlbKhEqM
그외_국악,40,장사익,동백아가씨,따뜻한 봄날 꽃구경 (2009년 5월 12일 세종문화회관 공연실황),https://cdnimg.melon.co.kr/cm/album/images/007/19/021/719021_500.jpg,https://www.youtube.com/watch?v=S11eL98okvc
그외_국악,41,김다현,공산명월,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=A2GotJNKbUg
그외_국악,42,김다현,꽃가마,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=bEL_agRyGIk
그외_국악,43,프로젝트 락,난감하네,Beautiful Days,https://cdnimg.melon.co.kr/cm/album/images/005/99/252/599252_500.jpg,https://www.youtube.com/watch?v=YVDw265N8aw
그외_국악,44,김다현,효심가,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=HBXA79ellis
그외_국악,45,김다현,내님아,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=vr3gqyyp9gg
그외_국악,46,송소희,배 띄워라,송소희 얼쑤 아름다운 樂 콘서트,https://cdnimg.melon.co.kr/cm/album/images/023/21/349/2321349_500.jpg,https://www.youtube.com/watch?v=Xs1uO5Pa5fQ
그외_국악,47,국립국악원(National Gugak Center),풍년,지하철 환승 음악,https://cdnimg.melon.co.kr/cm2/album/images/111/40/503/11140503_20230105155103_500.jpg,https://www.youtube.com/watch?v=ulDltzR-ljI
그외_국악,48,김다현,만수무강하옵소서,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=Bty-uUe7EEc
그외_국악,49,"양지은, 홍지윤, 김다현, 김태연",방아요,소리꽃,https://cdnimg.melon.co.kr/cm2/album/images/107/75/107/10775107_20211112115745_500.jpg,https://www.youtube.com/watch?v=uQyMPB2baxc
그외_국악,50,김다현,엄마생각,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=tAtLNAxfI5k
그외_국악,51,김준수,살아야지,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.9,https://cdnimg.melon.co.kr/cm2/album/images/107/98/231/10798231_20211130184044_500.jpg,https://www.youtube.com/watch?v=lB8CJTWFms8
그외_국악,52,김다현,장날이 좋다,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=OOdursbjP_w
그외_국악,53,김준수,나가거든,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.2,https://cdnimg.melon.co.kr/cm2/album/images/107/32/555/10732555_20211006094557_500.jpg,https://www.youtube.com/watch?v=Q6xtKZRuqow
그외_국악,54,"양지은, 홍지윤, 김다현, 김태연",사랑가,소리꽃 1장,https://cdnimg.melon.co.kr/cm2/album/images/107/16/458/10716458_20210917133731_500.jpg,https://www.youtube.com/watch?v=y9acTjM8KjY
그외_국악,55,,월량대표아적심 (月亮代表我的心) (첨밀밀 OST),잔잔한 감동을 더해주는 해금 & 가야금,https://cdnimg.melon.co.kr/cm/album/images/102/22/654/10222654_500.jpg,https://www.youtube.com/watch?v=9Wp3a2DnkoE
그외_국악,56,김다현,아! 하동이여,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=S9mzPie_Eak
그외_국악,57,홍지윤,홀로 아리랑,소리꽃,https://cdnimg.melon.co.kr/cm2/album/images/107/75/107/10775107_20211112115745_500.jpg,https://www.youtube.com/watch?v=n2iCmnhBi48
그외_국악,58,김란이,꽃이 피고 지듯이,조선판스타 Part.1,https://cdnimg.melon.co.kr/cm2/album/images/106/87/924/10687924_20210820184231_500.jpg,https://www.youtube.com/watch?v=DisQ3UFZxlU
그외_국악,59,AUX (억스),새타령,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.2,https://cdnimg.melon.co.kr/cm2/album/images/107/32/555/10732555_20211006094557_500.jpg,https://www.youtube.com/watch?v=ZMXl805U_gc
그외_국악,60,김영임,태평가,"민요, 회심곡",https://cdnimg.melon.co.kr/cm/album/images/011/79/757/1179757_500.jpg,https://www.youtube.com/watch?v=lOy1SAi-Tjg
그외_국악,61,송소희,구름곶 여행,구름곶 여행 : Journey to Utopia,https://cdnimg.melon.co.kr/cm2/album/images/111/10/340/11110340_20221125005600_500.jpg,https://www.youtube.com/watch?v=LrqZoxumXvE
그외_국악,62,숙명 가야금 연주단,Let It Be,Let It Be,https://cdnimg.melon.co.kr/cm/album/images/003/11/846/311846_500.jpg,https://www.youtube.com/watch?v=PPZdbcw3Tzc
그외_국악,63,하윤주,아름다운 나라 (Beautiful Country),로또싱어 8회,https://cdnimg.melon.co.kr/cm2/album/images/105/22/099/10522099_20201120171403_500.jpg,https://www.youtube.com/watch?v=s4FuRkO_eVU
그외_국악,64,김다현,무등산,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=Qu5gT6mMSc8
그외_국악,65,"양지은, 홍지윤, 김다현, 김태연",타령 모음곡,소리꽃,https://cdnimg.melon.co.kr/cm2/album/images/107/75/107/10775107_20211112115745_500.jpg,https://www.youtube.com/watch?v=X_lvdhxpFuc
그외_국악,66,서도밴드 (sEODo BAND),뱃노래,Moon : Disentangle,https://cdnimg.melon.co.kr/cm2/album/images/106/32/855/10632855_20210621114343_500.jpg,https://www.youtube.com/watch?v=HvtoTTtq4jk
그외_국악,67,장사익,목포의 눈물,자화상,https://cdnimg.melon.co.kr/cm/album/images/102/24/683/10224683_500.jpg,https://www.youtube.com/watch?v=q80BbvT0fDM
그외_국악,68,김영임,창부타령,"민요, 회심곡",https://cdnimg.melon.co.kr/cm/album/images/011/79/757/1179757_500.jpg,https://www.youtube.com/watch?v=551meh_h2Vk
그외_국악,69,송소희,진도 아리랑,송소희 얼쑤 아름다운 樂 콘서트,https://cdnimg.melon.co.kr/cm/album/images/023/21/349/2321349_500.jpg,https://www.youtube.com/watch?v=EM0y7JrGh4w
그외_국악,70,"이상, 고영열",어느 60대 노부부 이야기,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.7,https://cdnimg.melon.co.kr/cm2/album/images/107/79/908/10779908_20211116180527_500.jpg,https://www.youtube.com/watch?v=7KNK29Ymlw8
그외_국악,71,김주리,한계령,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.11,https://cdnimg.melon.co.kr/cm2/album/images/108/12/599/10812599_20211214160944_500.jpg,https://www.youtube.com/watch?v=xumqX4RblbI
그외_국악,72,리다,봄이 다시 온다면,봄,https://cdnimg.melon.co.kr/cm/album/images/102/86/700/10286700_500.jpg,https://www.youtube.com/watch?v=ORNnDrpv1ZU
그외_국악,73,김영임,홀로 아리랑,‘96 김영임의 한(恨),https://cdnimg.melon.co.kr/cm/album/images/000/08/266/8266_500.jpg,https://www.youtube.com/watch?v=yqt_Lit94C8
그외_국악,74,김다현,세 빛 섬의 달,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=fJtoStw10UI
그외_국악,75,양지은,너영나영,소리꽃,https://cdnimg.melon.co.kr/cm2/album/images/107/75/107/10775107_20211112115745_500.jpg,https://www.youtube.com/watch?v=KNEon4KYeMk
그외_국악,76,양지은,아름다운 나라,소리꽃,https://cdnimg.melon.co.kr/cm2/album/images/107/75/107/10775107_20211112115745_500.jpg,https://www.youtube.com/watch?v=mUES52WYKhw
그외_국악,77,장사익,대전블루스,따뜻한 봄날 꽃구경 (2009년 5월 12일 세종문화회관 공연실황),https://cdnimg.melon.co.kr/cm/album/images/007/19/021/719021_500.jpg,https://www.youtube.com/watch?v=-ASYUHc6k7k
그외_국악,78,김다현,농다리,열다섯,https://cdnimg.melon.co.kr/cm2/album/images/111/64/503/11164503_20230202111339_500.jpg,https://www.youtube.com/watch?v=gFyPXEIMfAE
그외_국악,79,"신동재, 최여완",잊지 말기로 해,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.8,https://cdnimg.melon.co.kr/cm2/album/images/107/89/057/10789057_20211123184744_500.jpg,https://www.youtube.com/watch?v=3EmcSYK87vg
그외_국악,80,음유사인,아무노래,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.2,https://cdnimg.melon.co.kr/cm2/album/images/107/32/555/10732555_20211006094557_500.jpg,https://www.youtube.com/watch?v=gAP98LMhs2U
그외_국악,81,두번째달,어사출두 (Feat. 김준수),판소리 춘향가,https://cdnimg.melon.co.kr/cm/album/images/026/80/833/2680833_500.jpg,https://www.youtube.com/watch?v=FLxsJa_iMp0
그외_국악,82,김다현,그냥 웃자,소리꽃,https://cdnimg.melon.co.kr/cm2/album/images/107/75/107/10775107_20211112115745_500.jpg,https://www.youtube.com/watch?v=SSquMeTg0K8
그외_국악,83,쏘망 (50mang),"어둑시니 (Feat. 달노도, 춘몽)",어둑시니,https://cdnimg.melon.co.kr/cm2/album/images/106/96/273/10696273_20210827223714_500.jpg,https://www.youtube.com/watch?v=A04zISAQay4
그외_국악,84,쏘망 (50mang),어둑시니 (Feat​.​ 시유&유니),마희魔戲 : 요괴의 장난,https://cdnimg.melon.co.kr/cm2/album/images/105/54/598/10554598_20210127172414_500.jpg,https://www.youtube.com/watch?v=aEeS-Ljbr50
그외_국악,85,해음,주저하는 연인들을 위해,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.2,https://cdnimg.melon.co.kr/cm2/album/images/107/32/555/10732555_20211006094557_500.jpg,https://www.youtube.com/watch?v=63lF7O8IzMM
그외_국악,86,김영임,회심곡,97 김영임 회심곡,https://cdnimg.melon.co.kr/cm/album/images/003/39/853/339853_500.jpg,https://www.youtube.com/watch?v=h2kw_7uYgjM
그외_국악,87,"김준수, AUX (억스)",품바,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.8,https://cdnimg.melon.co.kr/cm2/album/images/107/89/057/10789057_20211123184744_500.jpg,https://www.youtube.com/watch?v=0Sj8Sgk8AxQ
그외_국악,88,"양지은, 홍지윤, 김다현, 김태연",타령 모음곡,소리꽃 1장,https://cdnimg.melon.co.kr/cm2/album/images/107/16/458/10716458_20210917133731_500.jpg,https://www.youtube.com/watch?v=X_lvdhxpFuc
그외_국악,89,송소희,태평가,송소희 얼쑤 아름다운 樂 콘서트,https://cdnimg.melon.co.kr/cm/album/images/023/21/349/2321349_500.jpg,https://www.youtube.com/watch?v=_I8DzPZv5AE
그외_국악,90,장사익,봄날은 간다,사람이 그리워서,https://cdnimg.melon.co.kr/cm/album/images/003/35/848/335848_500.jpg,https://www.youtube.com/watch?v=JjPGjdPNIuc
그외_국악,91,이윤아,하루만,하루만,https://cdnimg.melon.co.kr/cm/album/images/026/75/021/2675021_500.jpg,https://www.youtube.com/watch?v=Y2ctjYLDIH0
그외_국악,92,최예림,고향생각,풍류대장 - 힙한 소리꾼들의 전쟁 Episode.10,https://cdnimg.melon.co.kr/cm2/album/images/108/05/906/10805906_20211207192819_500.jpg,https://www.youtube.com/watch?v=1_q3rQ7hLkg
