장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_뉴에이지,1,이루마,River Flows In You,Simplement Piano (심플먼트 피아노),https://cdnimg.melon.co.kr/cm/album/images/022/22/024/2222024_500.jpg,https://www.youtube.com/watch?v=7maJOI3QMu0
그외_뉴에이지,2,Sakamoto Ryuichi,Merry Christmas Mr. Lawrence,Three,https://cdnimg.melon.co.kr/cm/album/images/021/66/387/2166387_500.jpg,https://www.youtube.com/watch?v=1OZDaRhHHyM
그외_뉴에이지,3,Sakamoto Ryuichi,Rain,Playing The Orchestra 2013,https://cdnimg.melon.co.kr/cm/album/images/022/82/443/2282443_500.jpg,https://www.youtube.com/watch?v=PY5LQQlvWLE
그외_뉴에이지,4,이루마,Kiss The Rain,"아기와 나누는 첫 교감, 피아노 태교음반 All Music By 이루마",https://cdnimg.melon.co.kr/cm/album/images/023/08/557/2308557_500.jpg,https://www.youtube.com/watch?v=imGaOIm5HOk
그외_뉴에이지,5,이루마,Reminiscent (회상),The Best - Reminiscent 10th Anniversary,https://cdnimg.melon.co.kr/cm/album/images/020/39/606/2039606_500.jpg,https://www.youtube.com/watch?v=7Cq175HNWu0
그외_뉴에이지,6,Acoustic Cafe,Last Carnival,For Your Memories,https://cdnimg.melon.co.kr/cm2/album/images/000/33/074/33074_20210302151907_500.jpg,https://www.youtube.com/watch?v=hG1gbOjWWdI
그외_뉴에이지,7,이루마,May Be,"아기와 나누는 첫 교감, 피아노 태교음반 All Music By 이루마",https://cdnimg.melon.co.kr/cm/album/images/023/08/557/2308557_500.jpg,https://www.youtube.com/watch?v=PeU3LS_s03I
그외_뉴에이지,8,Green Diary,Happy Day,New Beginnings,https://cdnimg.melon.co.kr/cm/album/images/023/17/613/2317613_500.jpg,https://www.youtube.com/watch?v=0tj1e__cvjQ
그외_뉴에이지,9,이루마,Love Me,내 아이가 자라는 시간,https://cdnimg.melon.co.kr/cm/album/images/022/77/419/2277419_500.jpg,https://www.youtube.com/watch?v=N7p2UeB_QRM
그외_뉴에이지,10,Yuhki Kuramoto,Lake Louise,Reminiscence (Piano Solo Selection),https://cdnimg.melon.co.kr/cm/album/images/000/02/005/2005_500.jpg,https://www.youtube.com/watch?v=DIlw6_Ui884
그외_뉴에이지,11,Afternoon Walk,"그 시절, 너와 나","그 시절, 너와 나",https://cdnimg.melon.co.kr/cm/album/images/026/68/723/2668723_500.jpg,https://www.youtube.com/watch?v=HauM636IKY4
그외_뉴에이지,12,My Tree,오늘은 왠지...,오늘은 왠지...,https://cdnimg.melon.co.kr/cm/album/images/026/63/842/2663842_500.jpg,https://www.youtube.com/watch?v=fizXuFvYjhU
그외_뉴에이지,13,Joe Hisaishi,인생의 회전목마 (Merry-Go-Round) (하울의 움직이는 성 OST),FREEDOM PIANO STORIES 4,https://cdnimg.melon.co.kr/cm2/album/images/103/92/043/10392043_20200221113424_500.jpg,https://www.youtube.com/watch?v=DV-V-ftDNqQ
그외_뉴에이지,14,우리집,따뜻한 그날,따뜻한 그날,https://cdnimg.melon.co.kr/cm/album/images/026/47/163/2647163_500.jpg,https://www.youtube.com/watch?v=7BLA0FenQ3k
그외_뉴에이지,15,제이 리,Suddenly,Suddenly,https://cdnimg.melon.co.kr/cm/album/images/026/39/510/2639510_500.jpg,https://www.youtube.com/watch?v=8d9FcsAOO94
그외_뉴에이지,16,이루마,f l o w e r,f l o w e r,https://cdnimg.melon.co.kr/cm/album/images/100/62/379/10062379_500.jpg,https://www.youtube.com/watch?v=27zNxmC7D30
그외_뉴에이지,17,Bird,Blue Sea,Blue Sea,https://cdnimg.melon.co.kr/cm/album/images/022/67/144/2267144_500.jpg,https://www.youtube.com/watch?v=E8_27U-hqQ0
그외_뉴에이지,18,이루마,Indigo,From The Yellow Room,https://cdnimg.melon.co.kr/cm/album/images/000/32/969/32969_500.jpg,https://www.youtube.com/watch?v=acDyYYKxdhE
그외_뉴에이지,19,정재형,사랑하는 이들에게,Le Petit Piano,https://cdnimg.melon.co.kr/cm/album/images/008/57/554/857554_500.jpg,https://www.youtube.com/watch?v=aQLTqMO72wY
그외_뉴에이지,20,add_P,Summer (영화 '키쿠지로의 여름' OST),A Tribute To Hisaishi Joe - 히사이시 조의 音樂世界 영화 OST &  스튜디오 지브리 Collection,https://cdnimg.melon.co.kr/cm/album/images/101/65/517/10165517_500.jpg,https://www.youtube.com/watch?v=5D_0t1lHMM4
그외_뉴에이지,21,리틀로맨스,참 좋은날 당신을 만났습니다,참 좋은날 당신을 만났습니다,https://cdnimg.melon.co.kr/cm/album/images/026/45/367/2645367_500.jpg,https://www.youtube.com/watch?v=o46zOj9v64U
그외_뉴에이지,22,두번째달,얼음연못,두번째 달 1집,https://cdnimg.melon.co.kr/cm/album/images/003/00/413/300413_500.jpg,https://www.youtube.com/watch?v=bfcL8KqpgKs
그외_뉴에이지,23,러브 페이지,반갑다 봄아,반갑다 봄아,https://cdnimg.melon.co.kr/cm/album/images/026/70/701/2670701_500.jpg,https://www.youtube.com/watch?v=Z8zbM4wVcK4
그외_뉴에이지,24,Yellow Bridge,가장 조용했던 밤의 위로,가장 조용했던 밤의 위로,https://cdnimg.melon.co.kr/cm/album/images/023/33/047/2333047_500.jpg,https://www.youtube.com/watch?v=eiJ7vmUESoE
그외_뉴에이지,25,피아노자장가,자장가,굿나잇 자장자장 예쁜꿈 Vol 2,https://cdnimg.melon.co.kr/cm/album/images/026/54/740/2654740_500.jpg,https://www.youtube.com/watch?v=SV3Ph9OGVms
그외_뉴에이지,26,Healing,Refreshing,Refreshing,https://cdnimg.melon.co.kr/cm/album/images/026/39/695/2639695_500.jpg,https://www.youtube.com/watch?v=_m81zKPl8ys
그외_뉴에이지,27,러브 페이지,오늘 하루는 어땠나요,오늘 하루는 어땠나요,https://cdnimg.melon.co.kr/cm/album/images/026/81/717/2681717_500.jpg,https://www.youtube.com/watch?v=Vj2G8Y5KRm0
그외_뉴에이지,28,로맨틱브리즈,바다가 보이는 언덕,바다가 보이는 언덕,https://cdnimg.melon.co.kr/cm/album/images/026/60/092/2660092_500.jpg,https://www.youtube.com/watch?v=UtUiZcs03y4
그외_뉴에이지,29,palette studio,쇼팽 녹턴 야상곡 Chopin - Nocturne op.9 No.2,카페에서 듣기좋은피아노곡 vol.1,https://cdnimg.melon.co.kr/cm2/album/images/104/93/345/10493345_20200921110657_500.jpg,https://www.youtube.com/watch?v=nv-i3oRixfo
그외_뉴에이지,30,이루마,Chaconne,너에게 보내는 피아노,https://cdnimg.melon.co.kr/cm/album/images/022/92/594/2292594_500.jpg,https://www.youtube.com/watch?v=8QF1OWtRTVc
그외_뉴에이지,31,El,Morning Calm,Morning Calm,https://cdnimg.melon.co.kr/cm/album/images/023/27/363/2327363_500.jpg,https://www.youtube.com/watch?v=SKLEXwFZU-o
그외_뉴에이지,32,Yuhki Kuramoto,Lake Louis Ⅱ,Lake Misty Blue,https://cdnimg.melon.co.kr/cm/album/images/000/02/006/2006_500.jpg,https://www.youtube.com/watch?v=a7d63tv5WmM
그외_뉴에이지,33,Green Tea,Daily Life,Daily Life,https://cdnimg.melon.co.kr/cm/album/images/023/21/429/2321429_500.jpg,https://www.youtube.com/watch?v=t4Gcrc9lMog
그외_뉴에이지,34,멜로우 데이즈,우리 같이 걸어요,우리 같이 걸어요,https://cdnimg.melon.co.kr/cm/album/images/100/33/964/10033964_500.jpg,https://www.youtube.com/watch?v=slHUj2P8-hE
그외_뉴에이지,35,에쉬톤 (Ashtone),너의 순간들(Your Moments),Your Moments,https://cdnimg.melon.co.kr/cm/album/images/026/59/479/2659479_500.jpg,https://www.youtube.com/watch?v=7Etqp9BPtDM
그외_뉴에이지,36,감성노트,바람따라 가는 기차여행,바람따라 가는 기차여행,https://cdnimg.melon.co.kr/cm/album/images/026/55/201/2655201_500.jpg,https://www.youtube.com/watch?v=WDC8Oar6NME
그외_뉴에이지,37,Green Tea,Spring Time,Spring Time,https://cdnimg.melon.co.kr/cm/album/images/023/13/513/2313513_500.jpg,https://www.youtube.com/watch?v=f3Kpupzh0Uw
그외_뉴에이지,38,Wish Tree,너의 별이 반짝일 때,너의 별이 반짝일 때,https://cdnimg.melon.co.kr/cm/album/images/026/62/032/2662032_500.jpg,https://www.youtube.com/watch?v=C7VHWYfYY3c
그외_뉴에이지,39,Just Piano,Happy And Sad,Happy And Sad,https://cdnimg.melon.co.kr/cm/album/images/022/30/836/2230836_500.jpg,https://www.youtube.com/watch?v=QpE7606J8sc
그외_뉴에이지,40,제이 리,This Morning,Emotion Piano,https://cdnimg.melon.co.kr/cm/album/images/022/16/236/2216236_500.jpg,https://www.youtube.com/watch?v=M_UxYb9k2ic
그외_뉴에이지,41,Healing,Fresh Morning,Fresh Morning,https://cdnimg.melon.co.kr/cm/album/images/022/99/357/2299357_500.jpg,https://www.youtube.com/watch?v=-rEl4fon-Tk
그외_뉴에이지,42,My Tree,잠에서 깨어나,잠에서 깨어나,https://cdnimg.melon.co.kr/cm/album/images/026/69/705/2669705_500.jpg,https://www.youtube.com/watch?v=nSo87amZxsE
그외_뉴에이지,43,피아노 모먼트,생각이 깊어지는 밤,생각이 깊어지는 밤,https://cdnimg.melon.co.kr/cm/album/images/100/77/680/10077680_500.jpg,https://www.youtube.com/watch?v=XPtHVyE2R04
그외_뉴에이지,44,이루마,기억에 머무르다 - Stay In Memory,기억에 머무르다 - Stay In Memory,https://cdnimg.melon.co.kr/cm/album/images/021/25/020/2125020_500.jpg,https://www.youtube.com/watch?v=d2EPSJ_-prw
그외_뉴에이지,45,Morning Dream,아침이 밝아올 때,아침이 밝아올 때,https://cdnimg.melon.co.kr/cm/album/images/100/28/806/10028806_500.jpg,https://www.youtube.com/watch?v=mdneIOP7z5E
그외_뉴에이지,46,Reason,오늘 같은 날,오늘 같은 날,https://cdnimg.melon.co.kr/cm/album/images/026/83/739/2683739_500.jpg,https://www.youtube.com/watch?v=UW2O3uVqnOo
그외_뉴에이지,47,Just Piano,지난 날 꿈처럼,지난 날 꿈처럼,https://cdnimg.melon.co.kr/cm/album/images/026/69/358/2669358_500.jpg,https://www.youtube.com/watch?v=CwyAVkTrJMo
그외_뉴에이지,48,Mono Tape,이제는 안녕,이제는 안녕,https://cdnimg.melon.co.kr/cm/album/images/026/67/427/2667427_500.jpg,https://www.youtube.com/watch?v=UGB6338QtTw
