장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_월드뮤직,1,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Desce Pro Play (PA PA PA),https://cdnimg.melon.co.kr/cm2/album/images/104/51/518/10451518_20200626113039_500.jpg,https://www.youtube.com/watch?v=OEtZ4eE3bA0
그외_월드뮤직,2,"Luis Fonsi, Daddy Yankee",Despacito (Remix) (Feat. Justin Bieber),VIDA,https://cdnimg.melon.co.kr/cm/album/images/102/48/248/10248248_500.jpg,https://www.youtube.com/watch?v=72UO0v5ESUo
그외_월드뮤직,3,"Vladimir Cosma, Richard Sanderson",Reality,La boum (Bande originale du film de Claude Pinoteau),https://cdnimg.melon.co.kr/cm/album/images/043/99/104/4399104_500.jpg,https://www.youtube.com/watch?v=5zq0_x77aAE
그외_월드뮤직,4,Carla Bruni,You belong to me,Comme si de rien n'était,https://cdnimg.melon.co.kr/cm/album/images/003/92/883/392883_500.jpg,https://www.youtube.com/watch?v=pSrIcmSWZKQ
그외_월드뮤직,5,Despacito,Despacito (Feat. Darren Banje),Despacito (Feat. Darren Banje),https://cdnimg.melon.co.kr/cm/album/images/039/37/425/3937425_500.jpg,https://www.youtube.com/watch?v=Q9SvWg-Hn8A
그외_월드뮤직,6,"Chelsia Chan, Kenny Bee",One Summer Night (電影《秋霞》插曲),Qiu Xia ( Yuan Ban Dian Ying Cha Qu ),https://cdnimg.melon.co.kr/cm/album/images/026/93/450/2693450_500.jpg,https://www.youtube.com/watch?v=m2tn845eY20
그외_월드뮤직,7,Teresa Teng,Yue Liang Dai Biao Wo De Xin,BTB鄧麗君-Greatest Hits Vol. 3,https://cdnimg.melon.co.kr/cm/album/images/003/62/324/362324_500.jpg,https://www.youtube.com/watch?v=mAq6BDlK3jU
그외_월드뮤직,8,Hebe Tien,小幸運 (나의 소녀시대 OST),小幸運 (나의 소녀시대 OST),https://cdnimg.melon.co.kr/cm/album/images/026/92/723/2692723_500.jpg,https://www.youtube.com/watch?v=7Rb7I9kWN2Q
그외_월드뮤직,9,"정국, 방탄소년단",Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),FIFA World Cup Qatar 2022™ (Official Soundtrack),https://cdnimg.melon.co.kr/cm2/album/images/111/18/446/11118446_20221207164416_500.jpg,https://www.youtube.com/watch?v=hEq3vHsFYBk
그외_월드뮤직,10,Mandark,Playlist,Playlist,https://cdnimg.melon.co.kr/cm2/album/images/111/73/922/11173922_20230213135352_500.jpg,https://www.youtube.com/watch?v=gqcw4Yd0SZs
그외_월드뮤직,11,Don Omar,Danza Kuduro (Feat. Lucenzo),Meet The Orphans,https://cdnimg.melon.co.kr/cm/album/images/022/63/061/2263061_500.jpg,https://www.youtube.com/watch?v=7zp1TbLFPp8
그외_월드뮤직,12,장국영,Love Of The Past (당연정) (영웅본색 주제곡),In The Memories Of Leslie Cheung,https://cdnimg.melon.co.kr/cm/album/images/027/11/534/2711534_500.jpg,https://www.youtube.com/watch?v=ETq0rVrz-KQ
그외_월드뮤직,13,Teresa Teng,Tian Mi Mi,BTB鄧麗君-Greatest Hits Vol. 3,https://cdnimg.melon.co.kr/cm/album/images/003/62/324/362324_500.jpg,https://www.youtube.com/watch?v=0l9y1Dw1_0g
그외_월드뮤직,14,"Karol G, Shakira",TQG,MAÑANA SERÁ BONITO,https://cdnimg.melon.co.kr/cm2/album/images/111/85/876/11185876_20230222172040_500.jpg,https://www.youtube.com/watch?v=jZGpkLElSu8
그외_월드뮤직,15,Debut De Soiree,Nuit De Folie,Best Of Annees 80,https://cdnimg.melon.co.kr/cm/album/images/001/07/296/107296_500.jpg,https://www.youtube.com/watch?v=yTzyJ7kDLL4
그외_월드뮤직,16,장국영,月亮代表我的心 (월량대표아적심-저 달이 내 마음이에요),永遠的張國榮 (Leslie Cheung Forever),https://cdnimg.melon.co.kr/cm/album/images/100/15/382/10015382_500.jpg,https://www.youtube.com/watch?v=sN9vafGli18
그외_월드뮤직,17,Mr.Miss,Funny Midnight Sun,先生小姐,https://cdnimg.melon.co.kr/cm2/album/images/111/45/974/11145974_20230111170236_500.jpg,https://www.youtube.com/watch?v=ikbHUAcPCSE
그외_월드뮤직,18,"Rosalia, Rauw Alejandro",BESO,RR,https://cdnimg.melon.co.kr/cm2/album/images/112/08/666/11208666_20230322121926_500.jpg,https://www.youtube.com/watch?v=QXQQAsIhHMw
그외_월드뮤직,19,Sunset Rollercoaster 落日飛車,My Jinji,JINJI KIKKO 金桔希子,https://cdnimg.melon.co.kr/cm/album/images/101/77/313/10177313_500.jpg,https://www.youtube.com/watch?v=BrF2DQW-vps
그외_월드뮤직,20,"Luis Fonsi, Daddy Yankee",Despacito,VIDA,https://cdnimg.melon.co.kr/cm/album/images/102/48/248/10248248_500.jpg,https://www.youtube.com/watch?v=kJQP7kiw5Fk
그외_월드뮤직,21,Spice,Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),https://cdnimg.melon.co.kr/cm2/album/images/106/11/392/10611392_20210520142626_500.jpg,https://www.youtube.com/watch?v=lZizLbWxr_E
그외_월드뮤직,22,Patrick Brasca,Drinking On A Tuesday,Drinking On A Tuesday,https://cdnimg.melon.co.kr/cm2/album/images/108/11/706/10811706_20211214105916_500.jpg,https://www.youtube.com/watch?v=qulrjh2bEuY
