장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_재즈,1,임영웅,손이 참 곱던 그대,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.youtube.com/watch?v=OpZIaI-J0uk
그외_재즈,2,김호중,Love in Portofino,PANORAMA,https://cdnimg.melon.co.kr/cm2/album/images/110/14/554/11014554_20220726174229_500.jpg,https://www.youtube.com/watch?v=PxC-phj3xi4
그외_재즈,3,Sarah Kang,Summer Is for Falling in Love,Summer Is for Falling in Love,https://cdnimg.melon.co.kr/cm2/album/images/105/09/323/10509323_20201027143339_500.jpg,https://www.youtube.com/watch?v=CyyZyzbQ45Y
그외_재즈,4,선우정아,고양이 (Feat. 아이유),고양이,https://cdnimg.melon.co.kr/cm/album/images/101/23/592/10123592_500.jpg,https://www.youtube.com/watch?v=AKSpQUPbb74
그외_재즈,5,Norah Jones,Don't Know Why,Come Away With Me,https://cdnimg.melon.co.kr/cm/album/images/000/22/183/22183_500.jpg,https://www.youtube.com/watch?v=tO4dxvguQDk
그외_재즈,6,영탁,안녕 김녕 (Bye Gimnyeong),MMM,https://cdnimg.melon.co.kr/cm2/album/images/109/95/973/10995973_20220704120924_500.jpg,https://www.youtube.com/watch?v=laeelJADJHk
그외_재즈,7,Michael Buble,Home,It's Time,https://cdnimg.melon.co.kr/cm/album/images/003/00/641/300641_500.jpg,https://www.youtube.com/watch?v=lbSOLBMUvIE
그외_재즈,8,Paul,Sleeping Beauty (하트시그널 삽입곡),Sleeping Beauty,https://cdnimg.melon.co.kr/cm/album/images/026/64/524/2664524_500.jpg,https://www.youtube.com/watch?v=2ZR7aALUxFw
그외_재즈,9,Chet Baker,I Fall In Love Too Easily,My Funny Valentine,https://cdnimg.melon.co.kr/cm/album/images/000/17/422/17422_500.jpg,https://www.youtube.com/watch?v=3zrSoHgAAWo
그외_재즈,10,Ella Fitzgerald,Misty,Something To Live For,https://cdnimg.melon.co.kr/cm/album/images/020/16/210/2016210_500.jpg,https://www.youtube.com/watch?v=rPOlakkBlj8
