장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
그외_종교음악,1,영인스님,천수경,영인스님 염불 따라하기 6 (천수경/아미타경),https://cdnimg.melon.co.kr/cm/album/images/012/31/064/1231064_500.jpg,https://www.youtube.com/watch?v=YJmB7WgKTGQ
그외_종교음악,2,영인스님,반야심경,영인스님 염불 따라하기 43 (지장기도),https://cdnimg.melon.co.kr/cm/album/images/012/31/620/1231620_500.jpg,https://www.youtube.com/watch?v=bTizqvC5X9o
그외_종교음악,3,영인스님,신묘장구대다라니,영인스님 염불 따라하기 37 (신묘장구대다라니),https://cdnimg.melon.co.kr/cm/album/images/012/31/613/1231613_500.jpg,https://www.youtube.com/watch?v=HCDEsuQQQ5Q
그외_종교음악,4,범철스님,반야심경,범철스님 염불 따라하기 3 (천수경/아미타경),https://cdnimg.melon.co.kr/cm/album/images/012/31/776/1231776_500.jpg,https://www.youtube.com/watch?v=fbMKLrPcIcs
그외_종교음악,5,범철스님,천수경,염불시리즈 1 (예불 - 천수경),https://cdnimg.melon.co.kr/cm/album/images/003/02/352/302352_500.jpg,https://www.youtube.com/watch?v=32rI_3FalEE
그외_종교음악,6,영인스님,관세음보살정근,영인스님 염불 따라하기 3 (관세음보살정근),https://cdnimg.melon.co.kr/cm/album/images/012/31/061/1231061_500.jpg,https://www.youtube.com/watch?v=21L4ugJSITs
그외_종교음악,7,우학큰스님,금강경,금강경,https://cdnimg.melon.co.kr/cm/album/images/026/75/706/2675706_500.jpg,https://www.youtube.com/watch?v=z6Byn7eFRIU
그외_종교음악,8,혜봉스님,천수경,혜봉스님 불경 모음,https://cdnimg.melon.co.kr/cm/album/images/102/69/038/10269038_500.jpg,https://www.youtube.com/watch?v=hF3LiaDUvp4
그외_종교음악,9,혜봉스님,금강경,혜봉스님 불경 모음,https://cdnimg.melon.co.kr/cm/album/images/102/69/038/10269038_500.jpg,https://www.youtube.com/watch?v=RHlJUSFJj7Y
그외_종교음악,10,범철스님,광명진언,범철스님 염불따라하기 14 (광명진언),https://cdnimg.melon.co.kr/cm/album/images/012/37/168/1237168_500.jpg,https://www.youtube.com/watch?v=K22to0Qg5VE
그외_종교음악,11,영인스님,우리말천수경,영인스님 염불 따라하기 33 (한글원문 천수경),https://cdnimg.melon.co.kr/cm/album/images/012/31/608/1231608_500.jpg,https://www.youtube.com/watch?v=IBXpISCS50c
그외_종교음악,12,성바오로딸 수도회,아무것도 너를,당신 날개 펼치소서_바오로딸 수녀들의 기도노래 3 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm/album/images/102/12/345/10212345_500.jpg,https://www.youtube.com/watch?v=rH2wVZPEtqo
그외_종교음악,13,혜봉스님,반야심경,혜봉스님 불경 모음,https://cdnimg.melon.co.kr/cm/album/images/102/69/038/10269038_500.jpg,https://www.youtube.com/watch?v=A_IfcYy65rU
그외_종교음악,14,범철스님,천지팔양신주경,범철스님 염불 따라하기 4 (팔양경),https://cdnimg.melon.co.kr/cm/album/images/012/31/777/1231777_500.jpg,https://www.youtube.com/watch?v=qLY5W_iCVIY
그외_종교음악,15,영인스님,반야심경,영인스님 염불 따라하기 1 (예불/천수경),https://cdnimg.melon.co.kr/cm/album/images/012/31/058/1231058_500.jpg,https://www.youtube.com/watch?v=bTizqvC5X9o
그외_종교음악,16,영인스님,화엄경약찬게,영인스님 염불 따라하기 1 (예불/천수경),https://cdnimg.melon.co.kr/cm/album/images/012/31/058/1231058_500.jpg,https://www.youtube.com/watch?v=1ep_5ptgMUw
그외_종교음악,17,성바오로딸 수도회,꽃,당신 날개 펼치소서_바오로딸 수녀들의 기도노래 3 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm/album/images/102/12/345/10212345_500.jpg,https://www.youtube.com/watch?v=H1bZHdUt0aM
그외_종교음악,18,황소리,임마누엘,황소리 1집 - 마음 쉬는 날,https://cdnimg.melon.co.kr/cm/album/images/026/75/541/2675541_500.jpg,https://www.youtube.com/watch?v=TdayQZGRIsQ
그외_종교음악,19,범철스님,천수경,대한민국 불교 음악 기행,https://cdnimg.melon.co.kr/cm/album/images/003/17/720/317720_500.jpg,https://www.youtube.com/watch?v=RX7_bUwaRyw
그외_종교음악,20,갓등 중창단,사랑한다는 말은,골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=Gcpl5zZzmAk
그외_종교음악,21,"백남용 신부, 가톨릭합창단, 박래숙",사랑의 송가 (가톨릭성가 46번),즐겨 부르는 가톨릭 성가 1 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm2/album/images/109/47/101/10947101_20220509183331_500.jpg,https://www.youtube.com/watch?v=4m35kqdqIr8
그외_종교음악,22,갓등 중창단,"아버지 뜻대로 (Non Mea, Sed Tua)",골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=jmeQctdqa7o
그외_종교음악,23,성수스님 (성주암),반야심경,대한민국 불교 음악 기행,https://cdnimg.melon.co.kr/cm/album/images/003/17/720/317720_500.jpg,https://www.youtube.com/watch?v=BFqW6iJvtso
그외_종교음악,24,갓등 중창단,축제,골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=efCJVxN2ZhQ
그외_종교음악,25,혜봉스님,관세음보살 정근,혜봉스님 불경 모음,https://cdnimg.melon.co.kr/cm/album/images/102/69/038/10269038_500.jpg,https://www.youtube.com/watch?v=sIqWuuJRcTg
그외_종교음악,26,비구니 금강스님,광명진언 108 (북반주),오늘의 기도,https://cdnimg.melon.co.kr/cm/album/images/026/45/431/2645431_500.jpg,https://www.youtube.com/watch?v=n-cta0s9Mrw
그외_종교음악,27,영인스님,천지팔양경,영인스님 팔양경,https://cdnimg.melon.co.kr/cm/album/images/003/43/048/343048_500.jpg,https://www.youtube.com/watch?v=TIkAvWbKYyU
그외_종교음악,28,갓등 중창단,하느님 당신은 나의 모든 것,그 나라가 임하도록,https://cdnimg.melon.co.kr/cm/album/images/003/07/099/307099_500.jpg,https://www.youtube.com/watch?v=jvpiFQwGy3I
그외_종교음악,29,동담스님,천수경,천수경,https://cdnimg.melon.co.kr/cm/album/images/101/17/631/10117631_500.jpg,https://www.youtube.com/watch?v=i1FUEsN_E0U
그외_종교음악,30,혜봉스님,금강경 (우리말),혜봉스님 불경 36집,https://cdnimg.melon.co.kr/cm2/album/images/105/79/707/10579707_20210318154305_500.jpg,https://www.youtube.com/watch?v=5w0G84XJi9g
그외_종교음악,31,성바오로딸 수도회,구원자 예수 너의 사랑,하늘의 사랑을 그대에게_바오로딸 수녀들의 기도노래 2 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm/album/images/023/16/873/2316873_500.jpg,https://www.youtube.com/watch?v=z5XOlMexN1s
그외_종교음악,32,동담스님,신묘장구대다라니,천수경,https://cdnimg.melon.co.kr/cm/album/images/101/17/631/10117631_500.jpg,https://www.youtube.com/watch?v=DmhNHngIpuQ
그외_종교음악,33,혜봉스님,신묘장구대다라니 21독,혜봉스님불경 4집,https://cdnimg.melon.co.kr/cm2/album/images/103/17/097/10317097_500.jpg,https://www.youtube.com/watch?v=q_EYybN-1xQ
그외_종교음악,34,영인스님,예불문,영인스님 염불 따라하기 1 (예불/천수경),https://cdnimg.melon.co.kr/cm/album/images/012/31/058/1231058_500.jpg,https://www.youtube.com/watch?v=qXCBxTAJExA
그외_종교음악,35,갓등 중창단,내 발을 씻기신 예수,내 발을 씻기신 예수,https://cdnimg.melon.co.kr/cm/album/images/003/16/202/316202_500.jpg,https://www.youtube.com/watch?v=8TDZ831GScA
그외_종교음악,36,보현스님,천년바위,무생화,https://cdnimg.melon.co.kr/cm/album/images/021/24/533/2124533_500.jpg,https://www.youtube.com/watch?v=SiUgTC1HujY
그외_종교음악,37,안치행,힙합 반야심경,심경(心經) 1집,https://cdnimg.melon.co.kr/cm/album/images/100/81/854/10081854_500.jpg,https://www.youtube.com/watch?v=K5ahMPlVXdI
그외_종교음악,38,"백남용 신부, 가톨릭합창단, 박래숙",나의 생명 드리니 (가톨릭성가 210번),즐겨 부르는 가톨릭 성가 1 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm2/album/images/109/47/101/10947101_20220509183331_500.jpg,https://www.youtube.com/watch?v=gWskiKW7ymw
그외_종교음악,39,열일곱이다,엄마의 기도가 하늘에 닿으면,열일곱이Day 17,https://cdnimg.melon.co.kr/cm2/album/images/105/04/823/10504823_20201016152323_500.jpg,https://www.youtube.com/watch?v=7HjPVuyIvnk
그외_종교음악,40,성바오로딸 수도회,하늘의 태양은 못되더라도,당신 날개 펼치소서_바오로딸 수녀들의 기도노래 3 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm/album/images/102/12/345/10212345_500.jpg,https://www.youtube.com/watch?v=O_C2BjP9IHk
그외_종교음악,41,갓등 중창단,딜레마 (Dilemma),골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=pBArtFml3-o
그외_종교음악,42,성바오로딸 수도회,주께 가오니 (The Power Of Your Love),하늘의 사랑을 그대에게_바오로딸 수녀들의 기도노래 2 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm/album/images/023/16/873/2316873_500.jpg,https://www.youtube.com/watch?v=FugrJU2EzwI
그외_종교음악,43,영인스님,관음정근,영인스님 염불 따라하기 1 (예불/천수경),https://cdnimg.melon.co.kr/cm/album/images/012/31/058/1231058_500.jpg,https://www.youtube.com/watch?v=5jXcoSDWdH4
그외_종교음악,44,최준익 막시모,하는 일마다 잘 되리라,하는 일마다 잘 되리라,https://cdnimg.melon.co.kr/cm/album/images/013/30/753/1330753_500.jpg,https://www.youtube.com/watch?v=iF5i7wQcEYI
그외_종교음악,45,영인스님,지장경,영인스님 염불 따라하기 21 (지장경 (중)),https://cdnimg.melon.co.kr/cm/album/images/012/31/163/1231163_500.jpg,https://www.youtube.com/watch?v=nljc-w4RJ74
그외_종교음악,46,성바오로딸 수도회,비아 돌로로사 (Via Dolorosa),주님 사랑해요_바오로딸 수녀들의 기도노래 1 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm/album/images/023/16/867/2316867_500.jpg,https://www.youtube.com/watch?v=rRNl4qjhLUQ
그외_종교음악,47,갓등 중창단,우리 사랑 안에 하느님 사랑이,우리 사랑 안에 하느님 사랑이,https://cdnimg.melon.co.kr/cm/album/images/011/74/865/1174865_500.jpg,https://www.youtube.com/watch?v=-JvgpDedKcM
그외_종교음악,48,갓등 중창단,'사랑' 이 한마디만을...,골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=XC9HpNnI84A
그외_종교음악,49,혜봉스님,천지팔양신주경,혜봉스님불경 5집,https://cdnimg.melon.co.kr/cm2/album/images/103/17/099/10317099_500.jpg,https://www.youtube.com/watch?v=BxmmMkglPxA
그외_종교음악,50,혜봉스님,우리말 반야심경,혜봉스님 불경 모음,https://cdnimg.melon.co.kr/cm/album/images/102/69/038/10269038_500.jpg,https://www.youtube.com/watch?v=zwNpSh5fEx4
그외_종교음악,51,능인스님,나무아미타불 관세음보살 정근송,명상음악 불향 - 부처님의 향기 6집 (나무아미타불 관세음보살 정근송),https://cdnimg.melon.co.kr/cm/album/images/026/97/088/2697088_500.jpg,https://www.youtube.com/watch?v=90K0D7rsbT4
그외_종교음악,52,갓등 중창단,하늘의 태양은 못 되더라도,김선호(루가) 신부의 창작 생활 성가집 - 하느님 이들이,https://cdnimg.melon.co.kr/cm/album/images/003/07/101/307101_500.jpg,https://www.youtube.com/watch?v=2uYdDK_SpLM
그외_종교음악,53,영인스님,우리말반야심경,영인스님 염불 따라하기 31 (우리말금강경 (하)),https://cdnimg.melon.co.kr/cm/album/images/012/31/605/1231605_500.jpg,https://www.youtube.com/watch?v=sdwC-KQ_qDo
그외_종교음악,54,"백남용 신부, 가톨릭합창단, 박래숙",수난 기약 다다르니 (가톨릭 성가 115번),즐겨 부르는 가톨릭 성가 2 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm2/album/images/109/71/139/10971139_20220530183912_500.jpg,https://www.youtube.com/watch?v=2kh5W-c7QA4
그외_종교음악,55,갓등 중창단,임 쓰신 가시관,골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=UBFaOEGTDgM
그외_종교음악,56,갓등 중창단,로고스 찬가,골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=QF_oqUc76hk
그외_종교음악,57,천주교 인천교구 청소년사목국,주님의 기도,푸를 청(靑) 2,https://cdnimg.melon.co.kr/cm/album/images/102/33/795/10233795_500.jpg,https://www.youtube.com/watch?v=ToRxMEfx-WU
그외_종교음악,58,석소영,누군가 널 위해 기도하네,어머니,https://cdnimg.melon.co.kr/cm/album/images/012/71/453/1271453_500.jpg,https://www.youtube.com/watch?v=_oODrOGFt4Q
그외_종교음악,59,범철스님,신묘장구대다라니,범철스님 염불 따라하기 16 (신묘장구대다라니),https://cdnimg.melon.co.kr/cm/album/images/012/31/781/1231781_500.jpg,https://www.youtube.com/watch?v=INbWNXxtZA4
그외_종교음악,60,혜봉스님,우리말 천수경,혜봉스님 불경 모음,https://cdnimg.melon.co.kr/cm/album/images/102/69/038/10269038_500.jpg,https://www.youtube.com/watch?v=5w0G84XJi9g
그외_종교음악,61,"백남용 신부, 가톨릭합창단, 박래숙",주님은 나의 목자 (가톨릭성가 54번),즐겨 부르는 가톨릭 성가 1 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm2/album/images/109/47/101/10947101_20220509183331_500.jpg,https://www.youtube.com/watch?v=o3TNe4lXSqQ
그외_종교음악,62,영인스님,항마진언,염불 따라하기 52 (신중기도),https://cdnimg.melon.co.kr/cm/album/images/020/13/730/2013730_500.jpg,https://www.youtube.com/watch?v=B_JD3UtURaM
그외_종교음악,63,범철스님,화엄경약찬게,염불시리즈 1 (예불 - 천수경),https://cdnimg.melon.co.kr/cm/album/images/003/02/352/302352_500.jpg,https://www.youtube.com/watch?v=xzXDiXfuXA4
그외_종교음악,64,혜봉스님,천지팔양신주경 (우리말),혜봉스님 불경 20집,https://cdnimg.melon.co.kr/cm2/album/images/105/01/311/10501311_20201012101947_500.jpg,https://www.youtube.com/watch?v=OgMG6EZxJyQ
그외_종교음악,65,능인스님,무상,불교 명상음악 설연화의 향기 경음악 4집,https://cdnimg.melon.co.kr/cm/album/images/100/08/355/10008355_500.jpg,https://www.youtube.com/watch?v=OeOepgVbbnI
그외_종교음악,66,이원우,"주여 임하소서 (가톨릭 성가 151장, 새찬송가 338장)",Oh Holy Night,https://cdnimg.melon.co.kr/cm/album/images/102/29/877/10229877_500.jpg,https://www.youtube.com/watch?v=sQy6jeQrjM0
그외_종교음악,67,영인스님,화엄경 약찬게,영인스님 한글천수경,https://cdnimg.melon.co.kr/cm/album/images/003/43/158/343158_500.jpg,https://www.youtube.com/watch?v=1ep_5ptgMUw
그외_종교음악,68,Kenna Childs,Oceans,Gentle,https://cdnimg.melon.co.kr/cm2/album/images/109/92/948/10992948_20220628170549_500.jpg,https://www.youtube.com/watch?v=ED2sI-zbSkY
그외_종교음악,69,갓등 중창단,내 발을 씻으신 예수,골든 앨범 - 처음의 약속 (Primam Fidem),https://cdnimg.melon.co.kr/cm/album/images/011/74/863/1174863_500.jpg,https://www.youtube.com/watch?v=8TDZ831GScA
그외_종교음악,70,동담스님,반야심경,천수경,https://cdnimg.melon.co.kr/cm/album/images/101/17/631/10117631_500.jpg,https://www.youtube.com/watch?v=QVvc3r6fgWo
그외_종교음악,71,한덕훈,힘을 내라,힘을 내라,https://cdnimg.melon.co.kr/cm/album/images/022/64/653/2264653_500.jpg,https://www.youtube.com/watch?v=XTm4Wa1scmI
그외_종교음악,72,영인스님,천수경,영인스님 염불 따라하기 1 (예불/천수경),https://cdnimg.melon.co.kr/cm/album/images/012/31/058/1231058_500.jpg,https://www.youtube.com/watch?v=R9O30wgdmw8
그외_종교음악,73,덕신스님,신묘장구대다라니 (3번),천수경,https://cdnimg.melon.co.kr/cm/album/images/010/71/565/1071565_500.jpg,https://www.youtube.com/watch?v=btTVXrUceG4
그외_종교음악,74,김성훈,주님의 기도,보다 더 쉽고 편한 미사곡,https://cdnimg.melon.co.kr/cm/album/images/100/53/421/10053421_500.jpg,https://www.youtube.com/watch?v=6eCklExGHTA
그외_종교음악,75,갓등 중창단,아들아 (Fili Mi),우리 사랑 안에 하느님 사랑이,https://cdnimg.melon.co.kr/cm/album/images/011/74/865/1174865_500.jpg,https://www.youtube.com/watch?v=IL8UDRqp0wc
그외_종교음악,76,영인스님,영인스님의 관세음보살 정근,영인스님의 관세음보살 정근,https://cdnimg.melon.co.kr/cm2/album/images/108/94/515/10894515_20220320223738_500.jpg,https://www.youtube.com/watch?v=48JdDAPFgbs
그외_종교음악,77,생활성가 노래패 For,내 생애의 모든 것,생활성가 노래패 For Vol.03 'Gloria'1 - 애가(愛歌),https://cdnimg.melon.co.kr/cm/album/images/026/95/912/2695912_500.jpg,https://www.youtube.com/watch?v=nUebkMgYlPU
그외_종교음악,78,엄주환,명상의 말씀,명상의 말씀 팔상록16,https://cdnimg.melon.co.kr/cm2/album/images/103/66/253/10366253_20191218150601_500.jpg,https://www.youtube.com/watch?v=vrmlLdg_CKU
그외_종교음악,79,성바오로딸 수도회,당신 날개 펼치소서,당신 날개 펼치소서_바오로딸 수녀들의 기도노래 3 (바오로딸뮤직),https://cdnimg.melon.co.kr/cm/album/images/102/12/345/10212345_500.jpg,https://www.youtube.com/watch?v=Oq2wbZY8ue8
그외_종교음악,80,김도현,마음을 다스리는 지혜,道 명상의 말씀 1,https://cdnimg.melon.co.kr/cm2/album/images/103/93/649/10393649_20200225113934_500.jpg,https://www.youtube.com/watch?v=hCqRqIRiRQc
그외_종교음악,81,범철스님,관세음보살정근,대한민국 불교 음악 기행,https://cdnimg.melon.co.kr/cm/album/images/003/17/720/317720_500.jpg,https://www.youtube.com/watch?v=Zg61ZT10410
