장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_POP,1,Charlie Puth,I Don't Think That I Like Her,CHARLIE,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg,https://www.youtube.com/watch?v=9voN0gkdlS4
해외_POP,2,Charlie Puth,Dangerously,Nine Track Mind (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/023/36/926/2336926_500.jpg,https://www.youtube.com/watch?v=uu_3AU3-a9E
해외_POP,3,Charlie Puth,That's Hilarious,CHARLIE,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg,https://www.youtube.com/watch?v=Nq3x1AkwgpY
해외_POP,4,"Anne-Marie, 민니 ((여자)아이들), (여자)아이들",Expectations,Expectations,https://cdnimg.melon.co.kr/cm2/album/images/111/99/569/11199569_20230309101206_500.jpg,https://www.youtube.com/watch?v=jrt4iWhofPA
해외_POP,5,"The Kid LAROI, Justin Bieber",STAY,Stay,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg,https://www.youtube.com/watch?v=kTJczUoc26U
해외_POP,6,"Sam Smith, Kim Petras",Unholy,Gloria,https://cdnimg.melon.co.kr/cm2/album/images/109/34/470/10934470_20230119153132_500.jpg,https://www.youtube.com/watch?v=Uq9gPaIzbe8
해외_POP,7,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],https://cdnimg.melon.co.kr/cm2/album/images/111/06/209/11106209_20221120120732_500.jpg,https://www.youtube.com/watch?v=hEq3vHsFYBk
해외_POP,8,Justin Bieber,Off My Face,Justice (The Complete Edition),https://cdnimg.melon.co.kr/cm2/album/images/105/80/103/10580103_20211008114642_500.jpg,https://www.youtube.com/watch?v=rikm9eS6JAE
해외_POP,9,Charlie Puth,That’s Not How This Works (feat. Dan + Shay),That’s Not How This Works (feat. Dan + Shay),https://cdnimg.melon.co.kr/cm2/album/images/112/12/508/11212508_20230329095440_500.jpg,https://www.youtube.com/watch?v=Y1BTILJ1Fdc
해외_POP,10,"Charlie Puth, 정국, 방탄소년단",Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),https://cdnimg.melon.co.kr/cm2/album/images/109/89/806/10989806_20220623153505_500.jpg,https://www.youtube.com/watch?v=NcTcNuoVYso
