장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_R&B／Soul,1,Pink Sweat$,At My Worst,The Prelude,https://cdnimg.melon.co.kr/cm2/album/images/103/95/741/10395741_20200720115238_500.jpg,https://www.youtube.com/watch?v=8CEJoCr_9UI
해외_R&B／Soul,2,Giveon,HEARTBREAK ANNIVERSARY,When It's All Said And Done... Take Time,https://cdnimg.melon.co.kr/cm2/album/images/103/91/179/10391179_20210312104222_500.jpg,https://www.youtube.com/watch?v=ikNjnv_5rvQ
해외_R&B／Soul,3,Gnarls Barkley,Crazy,St. Elsewhere,https://cdnimg.melon.co.kr/cm/album/images/003/20/880/320880_500.jpg,https://www.youtube.com/watch?v=oBmmJB4V5CI
해외_R&B／Soul,4,The Weeknd,Die For You (Explicit Ver.),Starboy,https://cdnimg.melon.co.kr/cm/album/images/100/00/637/10000637_500.jpg,https://www.youtube.com/watch?v=Vels_X0UFHw
해외_R&B／Soul,5,SZA,Kill Bill,SOS,https://cdnimg.melon.co.kr/cm2/album/images/105/39/691/10539691_20221208152803_500.jpg,https://www.youtube.com/watch?v=SQnc1QibapQ
해외_R&B／Soul,6,"The Weeknd, Ariana Grande",Die For You (Remix),Die For You (Remix),https://cdnimg.melon.co.kr/cm2/album/images/111/89/767/11189767_20230224141302_500.jpg,https://www.youtube.com/watch?v=YQ-qToZUybM
해외_R&B／Soul,7,Ne-Yo,Because Of You,Because Of You,https://cdnimg.melon.co.kr/cm/album/images/003/50/011/350011_500.jpg,https://www.youtube.com/watch?v=atz_aZA3rf0
해외_R&B／Soul,8,Bruno Mars,When I Was Your Man,Unorthodox Jukebox,https://cdnimg.melon.co.kr/cm/album/images/021/69/778/2169778_500.jpg,https://www.youtube.com/watch?v=ekzHIouo8Q4
해외_R&B／Soul,9,Beyonce,Halo,Halo,https://cdnimg.melon.co.kr/cm/album/images/004/62/853/462853_500.jpg,https://www.youtube.com/watch?v=bnVUHWCynig
해외_R&B／Soul,10,Adele,Someone Like You,21,https://cdnimg.melon.co.kr/cm/album/images/011/73/053/1173053_500.jpg,https://www.youtube.com/watch?v=hLQl3WQQoQ0
해외_R&B／Soul,11,The Weeknd,Out of Time,Dawn FM,https://cdnimg.melon.co.kr/cm2/album/images/108/36/233/10836233_20220107142635_500.jpg,https://www.youtube.com/watch?v=2fDzCWNS3ig
해외_R&B／Soul,12,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,An Evening With Silk Sonic,https://cdnimg.melon.co.kr/cm2/album/images/105/74/099/10574099_20210305151501_500.jpg,https://www.youtube.com/watch?v=adLGHcj_fmA
해외_R&B／Soul,13,The Weeknd,Blinding Lights,Blinding Lights,https://cdnimg.melon.co.kr/cm2/album/images/103/58/189/10358189_500.jpg,https://www.youtube.com/watch?v=23CmbXUeZNE
해외_R&B／Soul,14,Doja Cat,Say So,Hot Pink,https://cdnimg.melon.co.kr/cm2/album/images/103/48/753/10348753_500.jpg,https://www.youtube.com/watch?v=pok8H_KF1FA
해외_R&B／Soul,15,Pink Sweat$,I Feel Good,I Feel Good,https://cdnimg.melon.co.kr/cm2/album/images/107/40/825/10740825_20211014153420_500.jpg,https://www.youtube.com/watch?v=1LBm1lTt-rQ
해외_R&B／Soul,16,Sam Smith,Stay With Me,In The Lonely Hour,https://cdnimg.melon.co.kr/cm/album/images/022/58/028/2258028_500.jpg,https://www.youtube.com/watch?v=pB-5XG-DbAA
해외_R&B／Soul,17,Mariah Carey,All I Want for Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),https://cdnimg.melon.co.kr/cm2/album/images/000/00/829/829_500.jpg,https://www.youtube.com/watch?v=aAkMkVFwAoo
해외_R&B／Soul,18,Adele,Rolling In The Deep,21,https://cdnimg.melon.co.kr/cm/album/images/011/73/053/1173053_500.jpg,https://www.youtube.com/watch?v=rYEDA3JcQqw
해외_R&B／Soul,19,"Khalid, Disclosure",Talk,Free Spirit,https://cdnimg.melon.co.kr/cm/album/images/102/48/938/10248938_500.jpg,https://www.youtube.com/watch?v=HM-OkvJgHUs
해외_R&B／Soul,20,The Weeknd,I Feel It Coming (Feat. Daft Punk) (Explicit Ver.),Starboy,https://cdnimg.melon.co.kr/cm/album/images/100/00/637/10000637_500.jpg,https://www.youtube.com/watch?v=5v1TOFULOWA
해외_R&B／Soul,21,Jeremih,oui,Late Nights: The Album,https://cdnimg.melon.co.kr/cm/album/images/026/55/470/2655470_500.jpg,https://www.youtube.com/watch?v=L9CLOw85neo
해외_R&B／Soul,22,Bruno Mars,Marry You,Doo-Wops & Hooligans (International Ver.),https://cdnimg.melon.co.kr/cm/album/images/011/75/856/1175856_500.jpg,https://www.youtube.com/watch?v=dElRVQFqj-k
해외_R&B／Soul,23,Beyonce,Love On Top,4,https://cdnimg.melon.co.kr/cm2/album/images/013/17/528/1317528_20200515143352_500.jpg,https://www.youtube.com/watch?v=Ob7vObnFUJc
해외_R&B／Soul,24,Emotional Oranges,West Coast Love,The Juice: Vol. II,https://cdnimg.melon.co.kr/cm2/album/images/103/49/562/10349562_500.jpg,https://www.youtube.com/watch?v=PaSON7HvFao
해외_R&B／Soul,25,Bill Withers,Just The Two Of Us,The Best Of Bill Withers : Lean On Me,https://cdnimg.melon.co.kr/cm/album/images/000/48/613/48613_500.jpg,https://www.youtube.com/watch?v=wpCGOmzro24
해외_R&B／Soul,26,"The Weeknd, Ariana Grande",Save Your Tears (Remix),Save Your Tears (Remix),https://cdnimg.melon.co.kr/cm2/album/images/105/97/662/10597662_20210423131743_500.jpg,https://www.youtube.com/watch?v=LIIDh-qI9oI
