장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_랩／힙합,1,"Charlie Puth, Wiz Khalifa",See You Again,분노의 질주: 더 세븐 OST,https://cdnimg.melon.co.kr/cm/album/images/023/09/376/2309376_500.jpg,https://www.youtube.com/watch?v=RgKAFK5djSk
해외_랩／힙합,2,Coi Leray,Players,Players,https://cdnimg.melon.co.kr/cm2/album/images/111/11/559/11111559_20221128110639_500.jpg,https://www.youtube.com/watch?v=MZV0CIFQbbE
해외_랩／힙합,3,Post Malone,Circles,Hollywood's Bleeding,https://cdnimg.melon.co.kr/cm2/album/images/103/26/561/10326561_500.jpg,https://www.youtube.com/watch?v=wXhTHyIgQ_U
해외_랩／힙합,4,NF,The Search,The Search,https://cdnimg.melon.co.kr/cm/album/images/102/91/860/10291860_500.jpg,https://www.youtube.com/watch?v=ziKbsRAPC-k
해외_랩／힙합,5,Post Malone,I Like You (A Happier Song) (Feat. Doja Cat),Twelve Carat Toothache (Deluxe),https://cdnimg.melon.co.kr/cm2/album/images/107/65/001/10765001_20220513014555_500.jpg,https://www.youtube.com/watch?v=7aekxC_monc
해외_랩／힙합,6,"Lil Nas X, Jack Harlow",INDUSTRY BABY,INDUSTRY BABY 2.0,https://cdnimg.melon.co.kr/cm2/album/images/106/57/960/10657960_20210721120235_500.jpg,https://www.youtube.com/watch?v=UTHLKHL_whs
해외_랩／힙합,7,Armani White,BILLIE EILISH.,GOATED.,https://cdnimg.melon.co.kr/cm2/album/images/109/79/906/10979906_20230112140515_500.jpg,https://www.youtube.com/watch?v=4vYOwhll1fs
해외_랩／힙합,8,"Post Malone, Swae Lee",Sunflower (Spider-Man: Into the Spider-Verse),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://cdnimg.melon.co.kr/cm/album/images/102/33/384/10233384_500.jpg,https://www.youtube.com/watch?v=ApXoWvfEYVU
해외_랩／힙합,9,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),https://cdnimg.melon.co.kr/cm2/album/images/110/62/750/11062750_20220923093431_500.jpg,https://www.youtube.com/watch?v=HYsz1hP0BFo
해외_랩／힙합,10,24KGoldn,Mood (Feat. Iann Dior),El Dorado,https://cdnimg.melon.co.kr/cm2/album/images/104/66/135/10466135_20210325144647_500.jpg,https://www.youtube.com/watch?v=GrAchTdepsU
해외_랩／힙합,11,DJ Khaled,"I'm The One (Feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",Grateful,https://cdnimg.melon.co.kr/cm/album/images/100/38/376/10038376_500.jpg,https://www.youtube.com/watch?v=weeI1G46q0o
해외_랩／힙합,12,Doja Cat,Boss Bitch,Birds of Prey: The Album,https://cdnimg.melon.co.kr/cm2/album/images/103/74/368/10374368_20200207111603_500.jpg,https://www.youtube.com/watch?v=RsW66teC0BQ
해외_랩／힙합,13,"1nonly, SXMPRA",Step Back!,Step Back!,https://cdnimg.melon.co.kr/cm2/album/images/110/45/471/11045471_20220905103040_500.jpg,https://www.youtube.com/watch?v=ModYrt62Vx0
해외_랩／힙합,14,Armani White,GOATED. (Feat. Denzel Curry),GOATED.,https://cdnimg.melon.co.kr/cm2/album/images/109/79/906/10979906_20230112140515_500.jpg,https://www.youtube.com/watch?v=0nCLnfKqnJg
해외_랩／힙합,15,"Metro Boomin, 21 Savage, The Weeknd",Creepin',HEROES & VILLAINS,https://cdnimg.melon.co.kr/cm2/album/images/111/15/600/11115600_20221202153629_500.jpg,https://www.youtube.com/watch?v=61ymOWwOwuk
해외_랩／힙합,16,Powfu,death bed (feat. beabadoobee),death bed (feat. beabadoobee),https://cdnimg.melon.co.kr/cm2/album/images/103/88/663/10388663_20200214170350_500.jpg,https://www.youtube.com/watch?v=jJPMnTXl63E
해외_랩／힙합,17,"Snoop Dogg, Wiz Khalifa","Young, Wild & Free (Feat. Bruno Mars)",Mac and Devin Go to High School (Music from and Inspired by the Movie),https://cdnimg.melon.co.kr/cm/album/images/020/48/568/2048568_500.jpg,https://www.youtube.com/watch?v=Wa5B22KAkEk
해외_랩／힙합,18,Post Malone,Goodbyes (Feat. Young Thug),Goodbyes,https://cdnimg.melon.co.kr/cm/album/images/103/03/747/10303747_500.jpg,https://www.youtube.com/watch?v=ba7mB8oueCY
해외_랩／힙합,19,"Puff Daddy, Faith Evans",I'll Be Missing You (feat. 112),Bad Boy's 10th Anniversary- The Hits,https://cdnimg.melon.co.kr/cm2/album/images/001/64/991/164991_20220316150255_500.jpg,https://www.youtube.com/watch?v=NKMtZm2YuBE
해외_랩／힙합,20,B.o.B,Nothin' On You (Feat. Bruno Mars),Nothin' On You (Feat. Bruno Mars),https://cdnimg.melon.co.kr/cm/album/images/008/29/156/829156_500.jpg,https://www.youtube.com/watch?v=8PTDv_szmL0
해외_랩／힙합,21,Lil Nas X,Old Town Road,Old Town Road,https://cdnimg.melon.co.kr/cm/album/images/102/64/723/10264723_500.jpg,https://www.youtube.com/watch?v=r7qovpFAGrQ
해외_랩／힙합,22,Post Malone,Better Now,beerbongs & bentleys,https://cdnimg.melon.co.kr/cm/album/images/100/96/328/10096328_500.jpg,https://www.youtube.com/watch?v=UYwF-jdcVjY
해외_랩／힙합,23,Arizona Zervas,ROXANNE,ROXANNE,https://cdnimg.melon.co.kr/cm2/album/images/103/52/538/10352538_500.jpg,https://www.youtube.com/watch?v=CaZkQ_HhyX8
해외_랩／힙합,24,Young Cocoa,Manila,Manila,https://cdnimg.melon.co.kr/cm2/album/images/103/95/853/10395853_20200228111516_500.jpg,https://www.youtube.com/watch?v=AM7rVkwiUIM
해외_랩／힙합,25,JAY-Z,Empire State Of Mind (Feat. Alicia Keys),The Blueprint 3,https://cdnimg.melon.co.kr/cm/album/images/006/60/651/660651_500.jpg,https://www.youtube.com/watch?v=vk6014HuxcE
해외_랩／힙합,26,Blxst,Chosen (Feat. Ty Dolla $ign & Tyga),No Love Lost (Deluxe),https://cdnimg.melon.co.kr/cm2/album/images/105/24/422/10524422_20201126102024_500.jpg,https://www.youtube.com/watch?v=kUhHdASVjGs
해외_랩／힙합,27,Eminem,"Lose Yourself (From ""8 Mile"" Soundtrack)",Curtain Call: The Hits (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/003/11/136/311136_500.jpg,https://www.youtube.com/watch?v=aLoDP1rUAwc
해외_랩／힙합,28,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,https://cdnimg.melon.co.kr/cm2/album/images/110/29/199/11029199_20220812131423_500.jpg,https://www.youtube.com/watch?v=j5uAR9w7LBg
해외_랩／힙합,29,Eminem,Godzilla (Feat. Juice WRLD),Music To Be Murdered By,https://cdnimg.melon.co.kr/cm2/album/images/103/77/359/10377359_20200117152719_500.jpg,https://www.youtube.com/watch?v=r_0JjYUe5jo
