장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_록／메탈,1,Imagine Dragons,Believer,Evolve,https://cdnimg.melon.co.kr/cm/album/images/100/35/055/10035055_500.jpg,https://www.youtube.com/watch?v=7wtfhZwyrcc
해외_록／메탈,2,Maroon 5,Sugar,V (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/022/79/275/2279275_500.jpg,https://www.youtube.com/watch?v=09R8_2nJtjg
해외_록／메탈,3,Adam Levine,Lost Stars,Begin Again - Music From And Inspired By The Original Motion Picture,https://cdnimg.melon.co.kr/cm/album/images/022/66/865/2266865_500.jpg,https://www.youtube.com/watch?v=cL4uhaQ58Rk
해외_록／메탈,4,Ed Sheeran,Photograph,X (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/022/62/168/2262168_500.jpg,https://www.youtube.com/watch?v=H_z63kWV-80
해외_록／메탈,5,Ed Sheeran,Thinking Out Loud,X (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/022/62/168/2262168_500.jpg,https://www.youtube.com/watch?v=lp-EO5I60KA
해외_록／메탈,6,Imagine Dragons,Thunder,Evolve,https://cdnimg.melon.co.kr/cm/album/images/100/35/055/10035055_500.jpg,https://www.youtube.com/watch?v=fKopy74weus
해외_록／메탈,7,Coldplay,Viva La Vida,Viva La Vida (Prospekt's March Edition),https://cdnimg.melon.co.kr/cm/album/images/004/49/451/449451_500.jpg,https://www.youtube.com/watch?v=dvgZkm1xWPE
해외_록／메탈,8,Jason Mraz,Lucky (Feat. Colbie Caillat),We Sing. We Dance. We Steal Things.,https://cdnimg.melon.co.kr/cm/album/images/003/79/755/379755_500.jpg,https://www.youtube.com/watch?v=acvIVA9-FMQ
해외_록／메탈,9,Maroon 5,Payphone (Feat. Wiz Khalifa),Overexposed,https://cdnimg.melon.co.kr/cm/album/images/021/30/333/2130333_500.jpg,https://www.youtube.com/watch?v=KRaWnd3LJfs
해외_록／메탈,10,Stephanie Poetri,I Love You 3000,I Love You 3000,https://cdnimg.melon.co.kr/cm/album/images/103/11/586/10311586_500.jpg,https://www.youtube.com/watch?v=PS0UUi0PCmc
해외_록／메탈,11,Imagine Dragons,Bones,Bones,https://cdnimg.melon.co.kr/cm2/album/images/108/90/037/10890037_20220311141225_500.jpg,https://www.youtube.com/watch?v=TO-_3tck2tg
해외_록／메탈,12,Panic! At The Disco,High Hopes,Pray For The Wicked,https://cdnimg.melon.co.kr/cm/album/images/101/52/534/10152534_500.jpg,https://www.youtube.com/watch?v=IPXIgEAGe4U
해외_록／메탈,13,Måneskin,Beggin',Chosen,https://cdnimg.melon.co.kr/cm2/album/images/106/45/454/10645454_20210706143636_500.jpg,https://www.youtube.com/watch?v=ip3YktPi-38
해외_록／메탈,14,Coldplay,Everglow,A Head Full of Dreams,https://cdnimg.melon.co.kr/cm/album/images/026/54/634/2654634_500.jpg,https://www.youtube.com/watch?v=tprkGpt58FA
해외_록／메탈,15,Oasis,Don't Look Back In Anger,(What's The Story) Morning Glory?,https://cdnimg.melon.co.kr/cm/album/images/000/19/993/19993_500.jpg,https://www.youtube.com/watch?v=r8OipmKFDeM
해외_록／메탈,16,Toploader,Dancing In The Moonlight,Onka's Big Moka,https://cdnimg.melon.co.kr/cm/album/images/000/25/394/25394_500.jpg,https://www.youtube.com/watch?v=0yBnIUX0QAE
해외_록／메탈,17,Coldplay,Fix You,X&Y,https://cdnimg.melon.co.kr/cm/album/images/003/02/507/302507_500.jpg,https://www.youtube.com/watch?v=Z0IZ3MjGFEo
해외_록／메탈,18,"Imagine Dragons, J.I.D, Arcane, League of Legends",Enemy (from the series Arcane League of Legends),Mercury - Acts 1 & 2,https://cdnimg.melon.co.kr/cm2/album/images/109/95/033/10995033_20220630165943_500.jpg,https://www.youtube.com/watch?v=D9G1VOjN_84
해외_록／메탈,19,OneRepublic,Counting Stars,Native (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/021/79/127/2179127_500.jpg,https://www.youtube.com/watch?v=5vilULw-9Gg
해외_록／메탈,20,Maroon 5,Lucky Strike,Overexposed,https://cdnimg.melon.co.kr/cm/album/images/021/30/333/2130333_500.jpg,https://www.youtube.com/watch?v=qyOvI57dUkw
해외_록／메탈,21,The Walters,I Love You So,I Love You So,https://cdnimg.melon.co.kr/cm2/album/images/107/55/138/10755138_20211028104442_500.jpg,https://www.youtube.com/watch?v=u9DJJa2P_Fc
해외_록／메탈,22,Crash Adams,Destination Freestyle (feat. King Vvibe),Destination Freestyle (feat. King Vvibe),https://cdnimg.melon.co.kr/cm2/album/images/111/22/317/11122317_20221214103848_500.jpg,https://www.youtube.com/watch?v=f8d9J7SOJwU
해외_록／메탈,23,Fun.,We Are Young (feat. Janelle Monáe),Some Nights,https://cdnimg.melon.co.kr/cm/album/images/020/85/686/2085686_500.jpg,https://www.youtube.com/watch?v=Sv6dMFF_yts
해외_록／메탈,24,Tom Grennan,Little Bit of Love,Little Bit of Love,https://cdnimg.melon.co.kr/cm2/album/images/105/42/390/10542390_20210105110023_500.jpg,https://www.youtube.com/watch?v=SsdkvYdSzlg
해외_록／메탈,25,5 Seconds of Summer,Youngblood,Youngblood (Deluxe),https://cdnimg.melon.co.kr/cm/album/images/101/41/981/10141981_500.jpg,https://www.youtube.com/watch?v=ZsY-C_65PPQ
해외_록／메탈,26,Imagine Dragons,Natural,Origins (Deluxe),https://cdnimg.melon.co.kr/cm/album/images/102/20/783/10220783_500.jpg,https://www.youtube.com/watch?v=0I647GU3Jsc
해외_록／메탈,27,Maroon 5,Maps,V (Asia Tour Edition),https://cdnimg.melon.co.kr/cm/album/images/023/19/547/2319547_500.jpg,https://www.youtube.com/watch?v=Y7ix6RITXM0
