장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_일렉트로니카,1,Alan Walker,The Drum,"Walkerverse, Pt. I",https://cdnimg.melon.co.kr/cm2/album/images/109/26/306/10926306_20220616175111_500.jpg,https://www.youtube.com/watch?v=TicGJQqrq2M
해외_일렉트로니카,2,Calvin Harris,"Feels (Feat. Pharrell Williams, Katy Perry, Big Sean)",Funk Wav Bounces Vol.1,https://cdnimg.melon.co.kr/cm/album/images/100/42/493/10042493_500.jpg,https://www.youtube.com/watch?v=ozv4q2ov3Mk
해외_일렉트로니카,3,The Chainsmokers,Closer (Feat. Halsey),Collage EP,https://cdnimg.melon.co.kr/cm/album/images/027/00/553/2700553_500.jpg,https://www.youtube.com/watch?v=0zGcUoRlhmw
해외_일렉트로니카,4,Alan Walker,Faded,Faded,https://cdnimg.melon.co.kr/cm/album/images/026/62/086/2662086_500.jpg,https://www.youtube.com/watch?v=60ItHLz5WEA
해외_일렉트로니카,5,Avicii,The Nights,The Days / Nights (EP),https://cdnimg.melon.co.kr/cm/album/images/022/93/035/2293035_500.jpg,https://www.youtube.com/watch?v=UtF6Jej8yb4
해외_일렉트로니카,6,"Alan Walker, Sabrina Carpenter, Farruko",On My Way (배틀그라운드 모바일 배경음악),On My Way,https://cdnimg.melon.co.kr/cm/album/images/102/63/661/10263661_500.jpg,https://www.youtube.com/watch?v=qc8vJLRbrz4
해외_일렉트로니카,7,HONNE,Day 1 ◑,Love Me / Love Me Not,https://cdnimg.melon.co.kr/cm/album/images/101/52/583/10152583_500.jpg,https://www.youtube.com/watch?v=EYeu7yi8GrA
해외_일렉트로니카,8,"The Chainsmokers, Coldplay",Something Just Like This,Memories...Do Not Open,https://cdnimg.melon.co.kr/cm/album/images/100/31/250/10031250_500.jpg,https://www.youtube.com/watch?v=FM7MFYoylVs
해외_일렉트로니카,9,Alan Walker,"All Falls Down (Feat. Noah Cyrus, Digital Farm Animals)",Different World,https://cdnimg.melon.co.kr/cm/album/images/101/06/220/10106220_500.jpg,https://www.youtube.com/watch?v=6RLLOEzdxsM
해외_일렉트로니카,10,Fly Project,Toca Toca (Radio Edit),Toca Toca,https://cdnimg.melon.co.kr/cm/album/images/022/82/132/2282132_500.jpg,https://www.youtube.com/watch?v=UhxnSankwvs
해외_일렉트로니카,11,Mike Perry,The Ocean (Feat. Shy Martin) (Radio Edit.),The Ocean (Feat. Shy Martin) (Radio Edit.),https://cdnimg.melon.co.kr/cm/album/images/026/97/734/2697734_500.jpg,https://www.youtube.com/watch?v=mGQFZxIuURE
해외_일렉트로니카,12,"Zedd, Alessia Cara",Stay,Happy Now,https://cdnimg.melon.co.kr/cm/album/images/100/41/642/10041642_500.jpg,https://www.youtube.com/watch?v=h--P8HzYZ74
해외_일렉트로니카,13,Clean Bandit,Symphony (Feat. Zara Larsson),Symphony (Feat. Zara Larsson),https://cdnimg.melon.co.kr/cm/album/images/100/46/270/10046270_500.jpg,https://www.youtube.com/watch?v=aatr_2MstrI
해외_일렉트로니카,14,Alan Walker,Alone,Alone,https://cdnimg.melon.co.kr/cm/album/images/100/20/024/10020024_500.jpg,https://www.youtube.com/watch?v=1-xGerv5FOk
해외_일렉트로니카,15,David Guetta,"Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack)",Listen,https://cdnimg.melon.co.kr/cm/album/images/022/91/958/2291958_500.jpg,https://www.youtube.com/watch?v=uO59tfQ2TbA
해외_일렉트로니카,16,LANY,Malibu Nights,Malibu Nights,https://cdnimg.melon.co.kr/cm/album/images/102/09/313/10209313_500.jpg,https://www.youtube.com/watch?v=9O2Enrc1e_M
해외_일렉트로니카,17,"Unlike Pluto, Mike Taylor",Everything Black,Everything Black,https://cdnimg.melon.co.kr/cm2/album/images/104/93/026/10493026_20200918145914_500.jpg,https://www.youtube.com/watch?v=mWKDZRJWdF4
해외_일렉트로니카,18,"Duke & Jones, Louis Theroux",Jiggle Jiggle,Jiggle Jiggle,https://cdnimg.melon.co.kr/cm2/album/images/109/54/094/10954094_20220513160256_500.jpg,https://www.youtube.com/watch?v=R8dR8HNPn6s
해외_일렉트로니카,19,Avicii,Waiting For Love,Stories,https://cdnimg.melon.co.kr/cm/album/images/026/42/652/2642652_500.jpg,https://www.youtube.com/watch?v=cHHLHGNpCSA
해외_일렉트로니카,20,숀 (SHAUN),Way Back Home (feat. Conor Maynard) [Sam Feldt Festival Mix],Birthday Club Mixes (Streaming Ver. ),https://cdnimg.melon.co.kr/cm2/album/images/104/70/870/10470870_20200803121827_500.jpg,https://www.youtube.com/watch?v=2kHPs8n526c
해외_일렉트로니카,21,Cash Cash,How to Love (feat. Sofia Reyes),"Blood, Sweat & 3 Years",https://cdnimg.melon.co.kr/cm/album/images/026/81/884/2681884_500.jpg,https://www.youtube.com/watch?v=peByeoQhjMM
해외_일렉트로니카,22,"Alan Walker, Sophie Simmons",Lovesick,Walkerverse Pt. II,https://cdnimg.melon.co.kr/cm2/album/images/110/66/067/11066067_20221130110740_500.jpg,https://www.youtube.com/watch?v=9AFqO114Xq4
해외_일렉트로니카,23,Alan Walker,The Spectre,The Spectre,https://cdnimg.melon.co.kr/cm/album/images/100/96/725/10096725_500.jpg,https://www.youtube.com/watch?v=wJnBTPUQS5A
해외_일렉트로니카,24,Jonas Blue,Rise (Feat. Jack & Jack),Rise,https://cdnimg.melon.co.kr/cm/album/images/101/69/849/10169849_500.jpg,https://www.youtube.com/watch?v=btrzs54s1Rc
해외_일렉트로니카,25,Sofi Tukker,Summer In New York,WET TENNIS,https://cdnimg.melon.co.kr/cm2/album/images/109/00/637/10900637_20220326004556_500.jpg,https://www.youtube.com/watch?v=QO-4dnOJL7Q
해외_일렉트로니카,26,Surf Mesa,ily (i love you baby) (Feat. Emilee),ily (i love you baby),https://cdnimg.melon.co.kr/cm2/album/images/103/94/222/10394222_20200226110337_500.jpg,https://www.youtube.com/watch?v=89degLrNZM8
해외_일렉트로니카,27,Cheat Codes,Hate You + Love You (Feat. AJ Mitchell),Hate You + Love You (Feat. AJ Mitchell),https://cdnimg.melon.co.kr/cm2/album/images/105/57/997/10557997_20210210123133_500.jpg,https://www.youtube.com/watch?v=z3TFLo0Ec_k
해외_일렉트로니카,28,HONNE,Warm On A Cold Night,Warm On A Cold Night (Deluxe),https://cdnimg.melon.co.kr/cm/album/images/026/77/903/2677903_500.jpg,https://www.youtube.com/watch?v=CX5f0NcqlMs
해외_일렉트로니카,29,DJ Snake,Let Me Love You (Feat. Justin Bieber),Encore,https://cdnimg.melon.co.kr/cm/album/images/026/45/246/2645246_500.jpg,https://www.youtube.com/watch?v=euCqAq6BRa4
해외_일렉트로니카,30,The Chainsmokers,Paris,Memories...Do Not Open,https://cdnimg.melon.co.kr/cm/album/images/100/31/250/10031250_500.jpg,https://www.youtube.com/watch?v=iUG8bDv76t4
해외_일렉트로니카,31,"Calvin Harris, Rihanna",This Is What You Came For,This Is What You Came For (Feat. Rihanna),https://cdnimg.melon.co.kr/cm/album/images/026/83/462/2683462_500.jpg,https://www.youtube.com/watch?v=kOkQ4T5WO9E
해외_일렉트로니카,32,David Guetta,Titanium (Feat. Sia),Titanium (feat. Sia),https://cdnimg.melon.co.kr/cm/album/images/020/08/205/2008205_500.jpg,https://www.youtube.com/watch?v=JRfuAukYTKg
해외_일렉트로니카,33,Tungevaag & Raaban,Samsara (Feat. Emila),Samsara (Feat. Emila) (Single),https://cdnimg.melon.co.kr/cm/album/images/023/05/442/2305442_500.jpg,https://www.youtube.com/watch?v=BK0Kbt0mKuQ
해외_일렉트로니카,34,"Alan Walker, Conor Maynard",Believers,Believers,https://cdnimg.melon.co.kr/cm2/album/images/106/05/741/10605741_20210511191803_500.jpg,https://www.youtube.com/watch?v=ktzIkoZwYn8
해외_일렉트로니카,35,Calvin Harris,"Slide (Feat. Frank Ocean, Migos)",Funk Wav Bounces Vol.1,https://cdnimg.melon.co.kr/cm/album/images/100/42/493/10042493_500.jpg,https://www.youtube.com/watch?v=8Ee4QjCEHHc
해외_일렉트로니카,36,"Regard, Troye Sivan, Tate McRae",You,You,https://cdnimg.melon.co.kr/cm2/album/images/105/92/595/10592595_20210414113205_500.jpg,https://www.youtube.com/watch?v=on_IPWtYdc0
해외_일렉트로니카,37,Sub Urban,Cradles,Cradles (NCS),https://cdnimg.melon.co.kr/cm/album/images/102/38/892/10238892_500.jpg,https://www.youtube.com/watch?v=KBtk5FUeJbk
해외_일렉트로니카,38,Slander,Love Is Gone (feat. Dylan Matthew),Love is Gone,https://cdnimg.melon.co.kr/cm2/album/images/103/76/933/10376933_20200116171747_500.jpg,https://www.youtube.com/watch?v=yctQRe--q6c
해외_일렉트로니카,39,"LLusion, mxmtoon",walk but in a garden,walk but in a garden,https://cdnimg.melon.co.kr/cm2/album/images/104/45/229/10445229_20200616123217_500.jpg,https://www.youtube.com/watch?v=-qmobQzlIDg
해외_일렉트로니카,40,"Zedd, Grey, Maren Morris",The Middle,Happy Now,https://cdnimg.melon.co.kr/cm/album/images/100/41/642/10041642_500.jpg,https://www.youtube.com/watch?v=M3mJkSqZbX4
해외_일렉트로니카,41,Phao,2 Phút Hơn (KAIZ Remix),2 Phút Hơn (KAIZ Remix),https://cdnimg.melon.co.kr/cm2/album/images/105/69/845/10569845_20210224165000_500.jpg,https://www.youtube.com/watch?v=yoZy2E17-50
해외_일렉트로니카,42,"The Chainsmokers, 5 Seconds of Summer",Who Do You Love,World War Joy,https://cdnimg.melon.co.kr/cm2/album/images/102/49/220/10249220_500.jpg,https://www.youtube.com/watch?v=BKMRnLC91qY
해외_일렉트로니카,43,"Marshmello, Halsey",Be Kind,Be Kind,https://cdnimg.melon.co.kr/cm2/album/images/104/24/684/10424684_20200429154745_500.jpg,https://www.youtube.com/watch?v=ePao0cTGG-o
해외_일렉트로니카,44,"Calvin Harris, Dua Lipa",One Kiss,One Kiss,https://cdnimg.melon.co.kr/cm/album/images/101/56/160/10156160_500.jpg,https://www.youtube.com/watch?v=DkeiKbqa02g
해외_일렉트로니카,45,The Chainsmokers,iPad,So Far So Good (+ Time Bomb),https://cdnimg.melon.co.kr/cm2/album/images/108/87/402/10887402_20220421151223_500.jpg,https://www.youtube.com/watch?v=5r9gh7KZyp8
해외_일렉트로니카,46,LANY,13,LANY,https://cdnimg.melon.co.kr/cm/album/images/026/56/200/2656200_500.jpg,https://www.youtube.com/watch?v=BOsTx4gnT2g
해외_일렉트로니카,47,Avicii,Wake Me Up (Radio Edit),True,https://cdnimg.melon.co.kr/cm/album/images/022/01/465/2201465_500.jpg,https://www.youtube.com/watch?v=CBsJGk6upDc
해외_일렉트로니카,48,"Martin Garrix, Troye Sivan",There For You,There For You,https://cdnimg.melon.co.kr/cm/album/images/100/65/719/10065719_500.jpg,https://www.youtube.com/watch?v=pNNMr5glICM
해외_일렉트로니카,49,"Tiesto, Sevenn",BOOM (Feat. Gucci Mane),BOOM,https://cdnimg.melon.co.kr/cm/album/images/101/32/663/10132663_500.jpg,https://www.youtube.com/watch?v=Ra4BDSCfAVo
해외_일렉트로니카,50,Dan Farber,Don't Touch,Gangsta Sh*t,https://cdnimg.melon.co.kr/cm2/album/images/108/04/796/10804796_20211207110948_500.jpg,https://www.youtube.com/watch?v=uBOk2Z7OJy0
해외_일렉트로니카,51,"Jonas Blue, HRVY",Younger,Younger,https://cdnimg.melon.co.kr/cm2/album/images/103/25/917/10325917_500.jpg,https://www.youtube.com/watch?v=HP_yymuiIIs
해외_일렉트로니카,52,Daft Punk,"Get Lucky (Feat. Pharrell Williams, Nile Rodgers)",Random Access Memories,https://cdnimg.melon.co.kr/cm/album/images/021/85/777/2185777_500.jpg,https://www.youtube.com/watch?v=5NV6Rdv1a3I
해외_일렉트로니카,53,Coldplay,Hymn For The Weekend (Seeb Remix),Hymn For The Weekend (Seeb Remix),https://cdnimg.melon.co.kr/cm/album/images/026/85/889/2685889_500.jpg,https://www.youtube.com/watch?v=k1gsZ-OsGpI
해외_일렉트로니카,54,숀 (SHAUN),Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],https://cdnimg.melon.co.kr/cm/album/images/102/35/843/10235843_500.jpg,https://www.youtube.com/watch?v=fRZB4Zd5aCE
해외_일렉트로니카,55,The Chainsmokers,Don't Let Me Down (Feat. Daya),Don't Let Me Down (Feat. Daya),https://cdnimg.melon.co.kr/cm/album/images/026/65/904/2665904_500.jpg,https://www.youtube.com/watch?v=Io0fBr1XBUA
해외_일렉트로니카,56,Pascal Letoublon,Friendships (Lost My Love) (Feat. Leony),Friendships (Lost My Love),https://cdnimg.melon.co.kr/cm2/album/images/105/17/045/10517045_20201111164031_500.jpg,https://www.youtube.com/watch?v=1g3Toj4-RMg
해외_일렉트로니카,57,Alan Walker,Darkside (Feat. Tomine Harket & Au/Ra),Darkside,https://cdnimg.melon.co.kr/cm/album/images/101/88/548/10188548_500.jpg,https://www.youtube.com/watch?v=M-P4QBt-FWw
해외_일렉트로니카,58,"Shift K3Y, Tinashe",Love Line,Love Line,https://cdnimg.melon.co.kr/cm2/album/images/105/96/419/10596419_20210421171112_500.jpg,https://www.youtube.com/watch?v=XrsgiZLFdp8
해외_일렉트로니카,59,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) (시몬스 침대 광고 삽입곡),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),https://cdnimg.melon.co.kr/cm/album/images/102/78/778/10278778_500.jpg,https://www.youtube.com/watch?v=G5iDpHsD-pY
해외_일렉트로니카,60,ayokay,Cassette,Cassette,https://cdnimg.melon.co.kr/cm/album/images/101/06/130/10106130_500.jpg,https://www.youtube.com/watch?v=qRqqDS9f0eo
해외_일렉트로니카,61,"Alan Walker, K-391, Emelie Hollow",Lily,Different World,https://cdnimg.melon.co.kr/cm/album/images/101/06/220/10106220_500.jpg,https://www.youtube.com/watch?v=7_N7t1f8Zq4
해외_일렉트로니카,62,"David Guetta, Showtek",Bad (Feat. Vassy) (Radio Edit),Bad (Feat. Vassy) (Radio Edit),https://cdnimg.melon.co.kr/cm/album/images/022/49/404/2249404_500.jpg,https://www.youtube.com/watch?v=4tFktcmLl5M
해외_일렉트로니카,63,Jonas Blue,Mama (Feat. William Singe),We Could Go Back,https://cdnimg.melon.co.kr/cm/album/images/100/10/485/10010485_500.jpg,https://www.youtube.com/watch?v=qPTfXwPf_HM
해외_일렉트로니카,64,"Sigala, Paloma Faith",Lullaby (LG Q7 광고 삽입곡),Lullaby,https://cdnimg.melon.co.kr/cm/album/images/101/41/572/10141572_500.jpg,https://www.youtube.com/watch?v=ye8l2l4LHss
해외_일렉트로니카,65,"Pnau, Troye Sivan",You Know What I Need,You Know What I Need,https://cdnimg.melon.co.kr/cm2/album/images/110/99/836/11099836_20221202133112_500.jpg,https://www.youtube.com/watch?v=Xnxnc8w5ghw
해외_일렉트로니카,66,"Alan Walker, Benjamin Ingrosso",Man On The Moon,World of Walker,https://cdnimg.melon.co.kr/cm2/album/images/107/87/529/10787529_20211123104630_500.jpg,https://www.youtube.com/watch?v=1qrhnK6FGr0
해외_일렉트로니카,67,"Jonas Blue, Julian Perretta",Perfect Melody,Perfect Melody,https://cdnimg.melon.co.kr/cm2/album/images/109/67/775/10967775_20220525134149_500.jpg,https://www.youtube.com/watch?v=kmfOCnS5MU4
해외_일렉트로니카,68,Redfoo,New Thang,New Thang,https://cdnimg.melon.co.kr/cm/album/images/023/29/696/2329696_500.jpg,https://www.youtube.com/watch?v=xGiBiHocSZM
해외_일렉트로니카,69,Aurya,Lost In The Night,Lost In The Night,https://cdnimg.melon.co.kr/cm2/album/images/106/41/928/10641928_20210701095943_500.jpg,https://www.youtube.com/watch?v=a3WamIO3HcI
해외_일렉트로니카,70,"Gryffin, Elley Duhé",Tie Me Down,Tie Me Down,https://cdnimg.melon.co.kr/cm/album/images/102/11/205/10211205_500.jpg,https://www.youtube.com/watch?v=WAJbZjBErjU
해외_일렉트로니카,71,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),Rockabye (Feat. Sean Paul & Anne-Marie),https://cdnimg.melon.co.kr/cm/album/images/100/08/022/10008022_500.jpg,https://www.youtube.com/watch?v=papuvlVeZg8
해외_일렉트로니카,72,The Chainsmokers,I Love U,So Far So Good (+ Time Bomb),https://cdnimg.melon.co.kr/cm2/album/images/108/87/402/10887402_20220421151223_500.jpg,https://www.youtube.com/watch?v=NmB9Rq1yVmo
해외_일렉트로니카,73,Alan Walker,Ritual,Ritual,https://cdnimg.melon.co.kr/cm2/album/images/111/08/915/11108915_20221130110807_500.jpg,https://www.youtube.com/watch?v=-W8UizbMJbc
해외_일렉트로니카,74,"Alan Walker, Au/Ra",Somebody Like U,"Walkerverse, Pt. I",https://cdnimg.melon.co.kr/cm2/album/images/109/26/306/10926306_20220616175111_500.jpg,https://www.youtube.com/watch?v=r6koyOHPNVI
해외_일렉트로니카,75,Pink Slip,2 U (Feat. Anthony Pavel),Pink Motel,https://cdnimg.melon.co.kr/cm/album/images/100/09/903/10009903_500.jpg,https://www.youtube.com/watch?v=aw7_JJLTvoY
해외_일렉트로니카,76,The Chainsmokers,Time Bomb,So Far So Good (+ Time Bomb),https://cdnimg.melon.co.kr/cm2/album/images/108/87/402/10887402_20220421151223_500.jpg,https://www.youtube.com/watch?v=k1K2HSnJ4qk
해외_일렉트로니카,77,"Alan Walker, UPSAHL",Shut Up,Walkerverse Pt. II,https://cdnimg.melon.co.kr/cm2/album/images/110/66/067/11066067_20221130110740_500.jpg,https://www.youtube.com/watch?v=1sESCIMpx0U
해외_일렉트로니카,78,Major Lazer,Cold Water (Feat. Justin Bieber & MØ),Cold Water (Feat. Justin Bieber & MØ),https://cdnimg.melon.co.kr/cm/album/images/026/99/737/2699737_500.jpg,https://www.youtube.com/watch?v=a59gmGkq_pw
해외_일렉트로니카,79,Jax Jones,"Instruction (Feat. Demi Lovato, Stefflon Don)",Instruction,https://cdnimg.melon.co.kr/cm/album/images/100/71/533/10071533_500.jpg,https://www.youtube.com/watch?v=MQXLpSl26q4
해외_일렉트로니카,80,Aaron Smith,Dancin (Feat. Luvli) (Krono Remix),Dancin (Krono Remix) (Feat. Luvli),https://cdnimg.melon.co.kr/cm/album/images/029/65/830/2965830_500.jpg,https://www.youtube.com/watch?v=6Nb-prB-4P0
해외_일렉트로니카,81,Clean Bandit,Solo (Feat. Demi Lovato),What Is Love? (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/101/67/445/10167445_500.jpg,https://www.youtube.com/watch?v=8JnfIa84TnU
해외_일렉트로니카,82,Avicii,Lonely Together (Feat. Rita Ora),AVICI (01),https://cdnimg.melon.co.kr/cm/album/images/100/87/129/10087129_500.jpg,https://www.youtube.com/watch?v=vQ3XgMKAgxc
해외_일렉트로니카,83,"ROOKIES, New Hope Club",Paycheck,Paycheck,https://cdnimg.melon.co.kr/cm2/album/images/103/23/305/10323305_500.jpg,https://www.youtube.com/watch?v=ZmaM7RAUwHA
해외_일렉트로니카,84,"Jonas Blue, Why Don't We",Don’t Wake Me Up,Don’t Wake Me Up,https://cdnimg.melon.co.kr/cm2/album/images/108/33/149/10833149_20220105162551_500.jpg,https://www.youtube.com/watch?v=r7u7Lp13v88
해외_일렉트로니카,85,Hugel,WTF (feat. Amber Van Day),WTF (feat. Amber Van Day),https://cdnimg.melon.co.kr/cm/album/images/102/27/820/10227820_500.jpg,https://www.youtube.com/watch?v=1CptfMEEC8g
해외_일렉트로니카,86,DJ Snake,"Taki Taki (Feat. Selena Gomez, Ozuna, Cardi B)",Carte Blanche,https://cdnimg.melon.co.kr/cm/album/images/103/10/760/10310760_500.jpg,https://www.youtube.com/watch?v=ixkoVwKQaJg
해외_일렉트로니카,87,David Guetta,Titanium (Feat. Sia),Nothing But The Beat Ultimate,https://cdnimg.melon.co.kr/cm/album/images/021/69/521/2169521_500.jpg,https://www.youtube.com/watch?v=JRfuAukYTKg
해외_일렉트로니카,88,The Chainsmokers,High,High,https://cdnimg.melon.co.kr/cm2/album/images/108/52/625/10852625_20220126191218_500.jpg,https://www.youtube.com/watch?v=jt9ruMsnePY
해외_일렉트로니카,89,"The Chainsmokers, ILLENIUM",Takeaway (feat. Lennon Stella),World War Joy,https://cdnimg.melon.co.kr/cm2/album/images/102/49/220/10249220_500.jpg,https://www.youtube.com/watch?v=lzkKzZmRZk8
해외_일렉트로니카,90,Audien,Crazy Love (Feat. Deb’s Daughter),Crazy Love,https://cdnimg.melon.co.kr/cm/album/images/027/05/189/2705189_500.jpg,https://www.youtube.com/watch?v=NgzlmUmwJJc
해외_일렉트로니카,91,Alan Walker,Sing Me To Sleep,Sing Me To Sleep,https://cdnimg.melon.co.kr/cm/album/images/026/88/634/2688634_500.jpg,https://www.youtube.com/watch?v=2i2khp_npdE
해외_일렉트로니카,92,Galantis,Satisfied (Feat. MAX),Satisfied (Feat. MAX) / Mama Look At Me Now,https://cdnimg.melon.co.kr/cm/album/images/101/84/385/10184385_500.jpg,https://www.youtube.com/watch?v=WBn8UBci5cA
해외_일렉트로니카,93,iamnotshane,Back To You,iamnotshane,https://cdnimg.melon.co.kr/cm2/album/images/103/91/690/10391690_20200220162228_500.jpg,https://www.youtube.com/watch?v=hs8gZxAedcY
해외_일렉트로니카,94,"Lost Frequencies, James Arthur",Questions,Questions,https://cdnimg.melon.co.kr/cm2/album/images/109/71/720/10971720_20220609152447_500.jpg,https://www.youtube.com/watch?v=RBW4YfwJN-E
해외_일렉트로니카,95,"SJ, Katelyn Tarver",Heaven,Heaven,https://cdnimg.melon.co.kr/cm2/album/images/103/92/040/10392040_20200221113414_500.jpg,https://www.youtube.com/watch?v=_eToYl-CUJs
해외_일렉트로니카,96,Jean Tonique,like you,like you,https://cdnimg.melon.co.kr/cm2/album/images/104/72/345/10472345_20200805153004_500.jpg,https://www.youtube.com/watch?v=MvUSOmZIIFk
해외_일렉트로니카,97,HONNE,3am,Warm On A Cold Night (Deluxe),https://cdnimg.melon.co.kr/cm/album/images/026/77/903/2677903_500.jpg,https://www.youtube.com/watch?v=PT4euYnkSx4
