장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
해외_포크／블루스／컨트리,1,"Dan + Shay, Justin Bieber","10,000 Hours",Good Things,https://cdnimg.melon.co.kr/cm2/album/images/103/35/111/10335111_20210817103453_500.jpg,https://www.youtube.com/watch?v=Y2E71oe0aSM
해외_포크／블루스／컨트리,2,Stephen Sanchez,Until I Found You,Until I Found You,https://cdnimg.melon.co.kr/cm2/album/images/106/98/778/10698778_20210831170000_500.jpg,https://www.youtube.com/watch?v=GxldQ9eX2wo
해외_포크／블루스／컨트리,3,JVKE,SECRETS,SECRETS,https://cdnimg.melon.co.kr/cm2/album/images/106/04/371/10604371_20210507182837_500.jpg,https://www.youtube.com/watch?v=py38CAaP96I
해외_포크／블루스／컨트리,4,Alexander Jean,Whiskey and Morphine,Head High,https://cdnimg.melon.co.kr/cm2/album/images/103/55/414/10355414_500.jpg,https://www.youtube.com/watch?v=ACDf9fhpuqo
해외_포크／블루스／컨트리,5,Georgia Webster,Push & Pull,Push & Pull,https://cdnimg.melon.co.kr/cm2/album/images/105/81/421/10581421_20210323121314_500.jpg,https://www.youtube.com/watch?v=e85ZL2bk0Hc
해외_포크／블루스／컨트리,6,Taylor Swift,We Are Never Ever Getting Back Together,Red,https://cdnimg.melon.co.kr/cm/album/images/056/40/611/5640611_500.jpg,https://www.youtube.com/watch?v=WA4iX5D9Z64
해외_포크／블루스／컨트리,7,M.Y.M.P,Say You Love Me,Acoustic Proposal,https://cdnimg.melon.co.kr/cm/album/images/005/98/460/598460_500.jpg,https://www.youtube.com/watch?v=CO-Wf6WQkA8
해외_포크／블루스／컨트리,8,"Norah Jones, The Peter Malick Group",New York City,New York City,https://cdnimg.melon.co.kr/cm/album/images/003/45/797/345797_500.jpg,https://www.youtube.com/watch?v=xOCQEJ1ZNrw
해외_포크／블루스／컨트리,9,Damien Rice,The Blower's Daughter,O,https://cdnimg.melon.co.kr/cm2/album/images/003/57/236/357236_20221222163100_500.jpg,https://www.youtube.com/watch?v=5YXVMCHG-Nk
해외_포크／블루스／컨트리,10,Randy Newman,"You've Got a Friend in Me (From ""Toy Story""/Soundtrack Version)",토이 스토리 OST,https://cdnimg.melon.co.kr/cm/album/images/000/27/522/27522_500.jpg,https://www.youtube.com/watch?v=0hG-2tQtdlE
해외_포크／블루스／컨트리,11,Don McLean,Vincent,The Best Of Don McLean,https://cdnimg.melon.co.kr/cm/album/images/003/05/064/305064_500.jpg,https://www.youtube.com/watch?v=oxHnRfhDmrk
해외_포크／블루스／컨트리,12,Taylor Swift,You Belong With Me,Fearless (International Ver.),https://cdnimg.melon.co.kr/cm/album/images/005/13/461/513461_500.jpg,https://www.youtube.com/watch?v=VuNIsY6JdUw
해외_포크／블루스／컨트리,13,Morgan Wallen,Last Night,3 Songs At A Time Sampler,https://cdnimg.melon.co.kr/cm2/album/images/111/62/234/11162234_20230131150337_500.jpg,https://www.youtube.com/watch?v=bUjPPBxbQrQ
해외_포크／블루스／컨트리,14,Taylor Swift,22,Red,https://cdnimg.melon.co.kr/cm/album/images/056/40/611/5640611_500.jpg,https://www.youtube.com/watch?v=AgFeZr5ptV8
해외_포크／블루스／컨트리,15,Taylor Swift,Speak Now,Speak Now,https://cdnimg.melon.co.kr/cm/album/images/010/53/758/1053758_500.jpg,https://www.youtube.com/watch?v=MUXyRvTCNuU
해외_포크／블루스／컨트리,16,Dan + Shay,Speechless,Speechless,https://cdnimg.melon.co.kr/cm/album/images/101/67/497/10167497_500.jpg,https://www.youtube.com/watch?v=1HzFC_NxFGY
해외_포크／블루스／컨트리,17,"Dan + Shay, Justin Bieber","10,000 Hours (Piano)","10,000 Hours (Piano)",https://cdnimg.melon.co.kr/cm2/album/images/103/57/507/10357507_500.jpg,https://www.youtube.com/watch?v=QonvLZIyCzY
해외_포크／블루스／컨트리,18,Passenger,Let Her Go,All the Little Lights (Deluxe Version),https://cdnimg.melon.co.kr/cm2/album/images/107/32/825/10732825_20211006115435_500.jpg,https://www.youtube.com/watch?v=RBumgq5yVrA
해외_포크／블루스／컨트리,19,John Denver,"Take Me Home, Country Road",A Songs Best Friend,https://cdnimg.melon.co.kr/cm/album/images/000/41/282/41282_500.jpg,https://www.youtube.com/watch?v=1vrEljMfXYo
해외_포크／블루스／컨트리,20,Kings Of Convenience,Rocky Trail,Rocky Trail,https://cdnimg.melon.co.kr/cm2/album/images/106/00/231/10600231_20210429134801_500.jpg,https://www.youtube.com/watch?v=pdv5n_Qgiw4
해외_포크／블루스／컨트리,21,Anson Seabra,That's Us,That's Us,https://cdnimg.melon.co.kr/cm2/album/images/105/08/527/10508527_20201026111239_500.jpg,https://www.youtube.com/watch?v=sjsZrJhIHKM
해외_포크／블루스／컨트리,22,Home Free,Sea Shanty Medley,Sea Shanty Medley,https://cdnimg.melon.co.kr/cm2/album/images/057/21/045/5721045_20211104184233_500.jpg,https://www.youtube.com/watch?v=lLGLUSzzuWU
해외_포크／블루스／컨트리,23,Taylor Swift,Back To December,Speak Now (Deluxe Package),https://cdnimg.melon.co.kr/cm/album/images/010/53/760/1053760_500.jpg,https://www.youtube.com/watch?v=QUwxKWT6m7U
해외_포크／블루스／컨트리,24,Seth Ennis,Look At You,Mabelle,https://cdnimg.melon.co.kr/cm/album/images/100/87/090/10087090_500.jpg,https://www.youtube.com/watch?v=tXi344atARY
해외_포크／블루스／컨트리,25,Angelo De Augustine,All to the Wind,Tomb,https://cdnimg.melon.co.kr/cm/album/images/102/42/129/10242129_500.jpg,https://www.youtube.com/watch?v=DuKG9IifUuQ
해외_포크／블루스／컨트리,26,Mark Diamond,Quiet,Quiet,https://cdnimg.melon.co.kr/cm2/album/images/104/80/726/10480726_20200825153100_500.jpg,https://www.youtube.com/watch?v=K3aYsBjLFcU
해외_포크／블루스／컨트리,27,Charity Vance,Two Birds,Charity Vance,https://cdnimg.melon.co.kr/cm/album/images/020/07/259/2007259_500.jpg,https://www.youtube.com/watch?v=qLCjGoUPzCw
해외_포크／블루스／컨트리,28,Bahamas,Lost In The Light,Barchords,https://cdnimg.melon.co.kr/cm/album/images/020/75/566/2075566_500.jpg,https://www.youtube.com/watch?v=jPJNt1eTVNY
해외_포크／블루스／컨트리,29,Taylor Swift,Run (Taylor's Version) (From The Vault) (Feat. Ed Sheeran),Red (Taylor's Version),https://cdnimg.melon.co.kr/cm2/album/images/107/75/243/10775243_20211112141646_500.jpg,https://www.youtube.com/watch?v=flv8AEWrRMI
해외_포크／블루스／컨트리,30,Dan + Shay,Glad You Exist,Glad You Exist,https://cdnimg.melon.co.kr/cm2/album/images/105/60/843/10560843_20210208104026_500.jpg,https://www.youtube.com/watch?v=eQzcHDAbfm8
해외_포크／블루스／컨트리,31,Ziggy Alberts,don't get caught up,don't get caught up,https://cdnimg.melon.co.kr/cm2/album/images/107/65/721/10765721_20211105183344_500.jpg,https://www.youtube.com/watch?v=lC8Z8VT2Vaw
해외_포크／블루스／컨트리,32,Kacey Musgraves,Rainbow,Golden Hour,https://cdnimg.melon.co.kr/cm/album/images/101/54/937/10154937_500.jpg,https://www.youtube.com/watch?v=6OFv566mj7s
해외_포크／블루스／컨트리,33,Buck Meek,Halo Light,Halo Light,https://cdnimg.melon.co.kr/cm/album/images/102/52/631/10252631_500.jpg,https://www.youtube.com/watch?v=BVPMoNSbtTA
해외_포크／블루스／컨트리,34,Russian Red,Fuerteventura,Fuerteventura (Special Edition),https://cdnimg.melon.co.kr/cm/album/images/020/84/787/2084787_500.jpg,https://www.youtube.com/watch?v=V5BBzI2QKR0
해외_포크／블루스／컨트리,35,Kings Of Convenience,Mrs. Cold,Declaration Of Dependence,https://cdnimg.melon.co.kr/cm/album/images/006/83/552/683552_500.jpg,https://www.youtube.com/watch?v=UBtjik6uYrY
해외_포크／블루스／컨트리,36,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),https://cdnimg.melon.co.kr/cm2/album/images/107/75/243/10775243_20211112141646_500.jpg,https://www.youtube.com/watch?v=zJFcr1KyFqE
해외_포크／블루스／컨트리,37,Charity Vance,Icing,Charity Vance,https://cdnimg.melon.co.kr/cm/album/images/020/07/259/2007259_500.jpg,https://www.youtube.com/watch?v=8GYhMOM2CK8
해외_포크／블루스／컨트리,38,Ed Sheeran,The A Team,+,https://cdnimg.melon.co.kr/cm/album/images/020/34/119/2034119_500.jpg,https://www.youtube.com/watch?v=UAWcs5H-qgQ
해외_포크／블루스／컨트리,39,Jamie Lawson,Wasn't Expecting That,Wasn't Expecting That,https://cdnimg.melon.co.kr/cm/album/images/023/28/535/2328535_500.jpg,https://www.youtube.com/watch?v=czUAlQphQbM
해외_포크／블루스／컨트리,40,Camille,Le Festin,라따뚜이 OST (Ratatouille (Original Motion Picture Soundtrack)),https://cdnimg.melon.co.kr/cm/album/images/003/54/463/354463_500.jpg,https://www.youtube.com/watch?v=gmlVG59do2E
해외_포크／블루스／컨트리,41,Sufjan Stevens,Mystery of Love,Mystery of Love,https://cdnimg.melon.co.kr/cm/album/images/101/17/830/10117830_500.jpg,https://www.youtube.com/watch?v=gVVhHjyC04k
해외_포크／블루스／컨트리,42,Wild Rivers,Speak Too Soon,Wild Rivers,https://cdnimg.melon.co.kr/cm2/album/images/103/37/859/10337859_500.jpg,https://www.youtube.com/watch?v=4npSa41cQaM
해외_포크／블루스／컨트리,43,Kings Of Convenience,Cayman Islands,Riot On An Empty Street,https://cdnimg.melon.co.kr/cm/album/images/000/34/996/34996_500.jpg,https://www.youtube.com/watch?v=c-ppARtcQfo
해외_포크／블루스／컨트리,44,Kina Grannis,Can`t Help Falling In Love (From Crazy Rich Asians) [Single Version],Can`t Help Falling In Love (From Crazy Rich Asians) [Single Version],https://cdnimg.melon.co.kr/cm2/album/images/106/08/875/10608875_20210517111422_500.jpg,https://www.youtube.com/watch?v=GR6L_C0Ii6s
해외_포크／블루스／컨트리,45,Jack Curley,Down,Tomorrow EP,https://cdnimg.melon.co.kr/cm2/album/images/103/91/913/10391913_20200504121143_500.jpg,https://www.youtube.com/watch?v=4CZ6P67Moj0
해외_포크／블루스／컨트리,46,Eric Clapton,Tears In Heaven,Unplugged,https://cdnimg.melon.co.kr/cm/album/images/000/27/046/27046_500.jpg,https://www.youtube.com/watch?v=3gWw8QSBYmI
해외_포크／블루스／컨트리,47,Tammy Wynette,Stand By Your Man (Official Audio),Stand By Your Man,https://cdnimg.melon.co.kr/cm/album/images/000/48/676/48676_500.jpg,https://www.youtube.com/watch?v=XDPChrRKRAE
해외_포크／블루스／컨트리,48,Mocca,Happy!,Happy!,https://cdnimg.melon.co.kr/cm/album/images/012/19/852/1219852_500.jpg,https://www.youtube.com/watch?v=nbRllr7blOI
해외_포크／블루스／컨트리,49,Luch Stefano,Subway Lights,Subway Lights,https://cdnimg.melon.co.kr/cm2/album/images/106/16/782/10616782_20210528160107_500.jpg,https://www.youtube.com/watch?v=khtBln1IKRc
해외_포크／블루스／컨트리,50,Gary Nock,Make It Better,The Life We Learned To Live,https://cdnimg.melon.co.kr/cm/album/images/021/70/499/2170499_500.jpg,https://www.youtube.com/watch?v=dlkrPfLy9FY
해외_포크／블루스／컨트리,51,Anson Seabra,Trying My Best,Trying My Best,https://cdnimg.melon.co.kr/cm2/album/images/105/08/535/10508535_20201026111258_500.jpg,https://www.youtube.com/watch?v=6jJD_bXymR0
해외_포크／블루스／컨트리,52,Simon & Garfunkel,Bridge Over Troubled Water,The Essential Simon & Garfunkel (Re-Brand),https://cdnimg.melon.co.kr/cm/album/images/000/33/315/33315_500.jpg,https://www.youtube.com/watch?v=4G-YQA_bsOU
해외_포크／블루스／컨트리,53,Taylor Swift,I Knew You Were Trouble.,Red,https://cdnimg.melon.co.kr/cm/album/images/056/40/611/5640611_500.jpg,https://www.youtube.com/watch?v=vNoKguSdy4Y
해외_포크／블루스／컨트리,54,The Reklaws,I Do Too,Freshman Year,https://cdnimg.melon.co.kr/cm2/album/images/103/21/517/10321517_500.jpg,https://www.youtube.com/watch?v=Nb465NS8HN8
해외_포크／블루스／컨트리,55,Anson Seabra,Hindenburg Lover,Hindenburg Lover,https://cdnimg.melon.co.kr/cm2/album/images/105/08/494/10508494_20201026103319_500.jpg,https://www.youtube.com/watch?v=NPoEqjKvIt0
해외_포크／블루스／컨트리,56,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),https://cdnimg.melon.co.kr/cm2/album/images/107/75/243/10775243_20211112141646_500.jpg,https://www.youtube.com/watch?v=BZ-rLBkUZf4
해외_포크／블루스／컨트리,57,Eric Clapton,Wonderful Tonight,The Best Of Eric Clapton 20th Century Masters The Millennium Collection,https://cdnimg.melon.co.kr/cm/album/images/003/41/658/341658_500.jpg,https://www.youtube.com/watch?v=UprwkbzUX6g
해외_포크／블루스／컨트리,58,Lewis Watson,Droplets (Feat. Gabrielle Aplin),Some Songs With Some Friends,https://cdnimg.melon.co.kr/cm/album/images/022/22/292/2222292_500.jpg,https://www.youtube.com/watch?v=FCT8Juumglw
해외_포크／블루스／컨트리,59,David Choi,Happily Ever After,Forever And Ever,https://cdnimg.melon.co.kr/cm/album/images/020/46/806/2046806_500.jpg,https://www.youtube.com/watch?v=I5DsNTh7H2c
해외_포크／블루스／컨트리,60,iron & wine,Naked As We Came,Our Endless Numbered Days (Deluxe Edition),https://cdnimg.melon.co.kr/cm/album/images/102/52/284/10252284_500.jpg,https://www.youtube.com/watch?v=Nd-A-iiPoLg
