장르,순위,아티스트,곡명,앨범,앨범이미지,유튜브링크
장르종합,1,IVE (아이브),I AM,I've IVE,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg,https://www.youtube.com/watch?v=6ZUIwj3FgUY
장르종합,2,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg,https://www.youtube.com/watch?v=UBURTj20HXI
장르종합,3,IVE (아이브),Kitsch,I've IVE,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg,https://www.youtube.com/watch?v=pG6iaOMV46I
장르종합,4,지수 (JISOO),꽃,ME,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
장르종합,5,세븐틴 (SEVENTEEN),손오공,SEVENTEEN 10th Mini Album ‘FML',https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg,https://www.youtube.com/watch?v=-GQg25oP0S4
장르종합,6,aespa,Spicy,MY WORLD - The 3rd Mini Album,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg,https://www.youtube.com/watch?v=Os_heh8vPfs
장르종합,7,NewJeans,Ditto,NewJeans 'OMG',https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg,https://www.youtube.com/watch?v=Km71Rr9K-Bw
장르종합,8,NewJeans,Hype boy,NewJeans 1st EP 'New Jeans',https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg,https://www.youtube.com/watch?v=11cta61wi0g
장르종합,9,허각,물론,물론,https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg,https://www.youtube.com/watch?v=Na3dPzWMeRM
장르종합,10,박재정,헤어지자 말해요,1집 Alone,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg,https://www.youtube.com/watch?v=dhkxb40aaK8
장르종합,11,NewJeans,OMG,NewJeans 'OMG',https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg,https://www.youtube.com/watch?v=sVTy_wmn5SU
장르종합,12,볼빨간사춘기,FRIEND THE END,사랑.zip,https://cdnimg.melon.co.kr/cm2/album/images/112/24/405/11224405_20230414143309_500.jpg,https://www.youtube.com/watch?v=haceXrrm-LU
장르종합,13,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg,https://www.youtube.com/watch?v=mBXBOLG06Wc
장르종합,14,윤하 (YOUNHA),사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg,https://www.youtube.com/watch?v=BBdC1rl5sKY
장르종합,15,STAYC(스테이씨),Teddy Bear,Teddy Bear,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg,https://www.youtube.com/watch?v=SxHmoifp0oQ
장르종합,16,임재현,Heaven(2023),시작은 첫키스 OST Part.1,https://cdnimg.melon.co.kr/cm2/album/images/112/30/265/11230265_20230424170802_500.jpg,https://www.youtube.com/watch?v=fPLXgfcyoMc
장르종합,17,던 (DAWN),빛이 나는 너에게,빛이 나는 너에게,https://cdnimg.melon.co.kr/cm2/album/images/112/22/887/11222887_20230412154617_500.jpg,https://www.youtube.com/watch?v=yyrKLHNCbq0
장르종합,18,Charlie Puth,I Don't Think That I Like Her,CHARLIE,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg,https://www.youtube.com/watch?v=9voN0gkdlS4
장르종합,19,FIFTY FIFTY,Cupid,The Beginning: Cupid,https://cdnimg.melon.co.kr/cm2/album/images/111/88/020/11188020_20230223114923_500.jpg,https://www.youtube.com/watch?v=Qc7_zRjH808
