장르,순위,아티스트,곡명,앨범,앨범이미지
발라드,1,시우민 (XIUMIN),후우 (Who?),우리의 봄 : 후우(Who?),https://cdnimg.melon.co.kr/cm2/album/images/112/19/995/11219995_20230407160455_500.jpg/melon/resize/282/quality/80/optimize,
발라드,2,주호,가장 아름다운 시간이었다,가장 아름다운 시간이었다,https://cdnimg.melon.co.kr/cm2/album/images/112/19/100/11219100_20230406150807_500.jpg/melon/resize/282/quality/80/optimize,
발라드,3,박현규 (VROMANCE),내 마음대로 되는 일 하나 없어,내 마음대로 되는 일 하나 없어,https://cdnimg.melon.co.kr/cm2/album/images/112/19/937/11219937_20230407153435_500.jpg/melon/resize/282/quality/80/optimize,
발라드,4,클린코튼,잠들고 싶은 그대들과,잠들고 싶은 그대들과,https://cdnimg.melon.co.kr/cm2/album/images/112/19/678/11219678_20230407114222_500.jpg/melon/resize/282/quality/80/optimize,
발라드,5,줄쟁이와북쟁이,개미,개미,https://cdnimg.melon.co.kr/cm2/album/images/112/20/021/11220021_20230407163334_500.jpg/melon/resize/282/quality/80/optimize,
발라드,6,오소린,봄날의 카페 (With 전태민),봄날의 카페,https://cdnimg.melon.co.kr/cm2/album/images/112/19/939/11219939_20230407153456_500.jpg/melon/resize/282/quality/80/optimize,
발라드,7,박주영,널 사랑하고 있어,널 사랑하고 있어,https://cdnimg.melon.co.kr/cm2/album/images/112/19/856/11219856_20230407144219_500.jpg/melon/resize/282/quality/80/optimize,
발라드,8,슨슨생,다미 (부제: 모든 것이 잘 될거야),다미,https://cdnimg.melon.co.kr/cm2/album/images/112/19/691/11219691_20230407115428_500.jpg/melon/resize/282/quality/80/optimize,
발라드,9,최수빈,월요일을 내어준다는 건,월요일을 내어준다는 건,https://cdnimg.melon.co.kr/cm2/album/images/112/19/655/11219655_20230407110840_500.jpg/melon/resize/282/quality/80/optimize,
발라드,10,유태,그때가 그리운 걸까,그때가 그리운 걸까,https://cdnimg.melon.co.kr/cm2/album/images/112/19/646/11219646_20230407110441_500.jpg/melon/resize/282/quality/80/optimize,
발라드,11,임단우,봄이 왔나봐,봄이 왔나봐,https://cdnimg.melon.co.kr/cm2/album/images/112/19/626/11219626_20230407104221_500.jpg/melon/resize/282/quality/80/optimize,
발라드,12,늘봄 (NL VOM),"세상이 온통 너였던 그때 내 마음 (Feat. 프리멜로, 귤(GYUL), 정영윤)",세상이 온통 너였던 그때 내 마음,https://cdnimg.melon.co.kr/cm2/album/images/112/19/625/11219625_20230407104014_500.jpg/melon/resize/282/quality/80/optimize,
발라드,13,소각소각,어쩌다 우린,누군가의 플레이리스트 #14,https://cdnimg.melon.co.kr/cm2/album/images/112/19/686/11219686_20230407114644_500.jpg/melon/resize/282/quality/80/optimize,
발라드,14,제이세라,슬픔이 없는 아이처럼,슬픔이 없는 아이처럼,https://cdnimg.melon.co.kr/cm2/album/images/112/19/618/11219618_20230407103547_500.jpg/melon/resize/282/quality/80/optimize,
발라드,15,우은미 (Woo Eun Mi),아직은 그대가 없이는,아직은 그대가 없이는,https://cdnimg.melon.co.kr/cm2/album/images/112/19/664/11219664_20230407111447_500.jpg/melon/resize/282/quality/80/optimize,
발라드,16,양현준(Hj),이별따위,Have to,https://cdnimg.melon.co.kr/cm2/album/images/112/20/020/11220020_20230407163220_500.jpg/melon/resize/282/quality/80/optimize,
발라드,17,이대한,같은 걸음,같은 걸음,https://cdnimg.melon.co.kr/cm2/album/images/112/19/908/11219908_20230407152258_500.jpg/melon/resize/282/quality/80/optimize,
발라드,18,이준희,회상,회상,https://cdnimg.melon.co.kr/cm2/album/images/112/19/679/11219679_20230407114337_500.jpg/melon/resize/282/quality/80/optimize,
발라드,19,머문 (MEOMUN),또,또,https://cdnimg.melon.co.kr/cm2/album/images/112/19/617/11219617_20230407103450_500.jpg/melon/resize/282/quality/80/optimize,
발라드,20,홍진영,술 한잔 해요,별의 자리 vol.1,https://cdnimg.melon.co.kr/cm2/album/images/112/18/754/11218754_20230406103915_500.jpg/melon/resize/282/quality/80/optimize,
발라드,21,주예인,내 이름을 불러줘,내 이름을 불러줘,https://cdnimg.melon.co.kr/cm2/album/images/112/19/150/11219150_20230406153553_500.jpg/melon/resize/282/quality/80/optimize,
발라드,22,차서원,Beautiful day,비의도적 연애담 OST Part.5,https://cdnimg.melon.co.kr/cm2/album/images/112/19/085/11219085_20230406150444_500.jpg/melon/resize/282/quality/80/optimize,
발라드,23,꼬마견,난 내가,난 내가,https://cdnimg.melon.co.kr/cm2/album/images/112/19/597/11219597_20230407103239_500.jpg/melon/resize/282/quality/80/optimize,
발라드,24,아카츠키 (문경빈),나의 바다,나의 바다,https://cdnimg.melon.co.kr/cm2/album/images/112/19/397/11219397_20230406183412_500.jpg/melon/resize/282/quality/80/optimize,
발라드,25,송상용,우리 다시,우리 다시,https://cdnimg.melon.co.kr/cm2/album/images/112/19/354/11219354_20230406172721_500.jpg/melon/resize/282/quality/80/optimize,
발라드,26,박준효,나의 모든 것 중 가장 소중한 너,나의 모든 것 중 가장 소중한 너,https://cdnimg.melon.co.kr/cm2/album/images/112/19/349/11219349_20230406172302_500.jpg/melon/resize/282/quality/80/optimize,
발라드,27,김원준,프리지아,프리지아,https://cdnimg.melon.co.kr/cm2/album/images/112/19/303/11219303_20230406164007_500.jpg/melon/resize/282/quality/80/optimize,
발라드,28,박호경,다른 사랑할 수 없게 돼,다른 사랑할 수 없게 돼,https://cdnimg.melon.co.kr/cm2/album/images/112/19/231/11219231_20230406160721_500.jpg/melon/resize/282/quality/80/optimize,
발라드,29,서유진,살포시,살포시,https://cdnimg.melon.co.kr/cm2/album/images/112/19/187/11219187_20230406155638_500.jpg/melon/resize/282/quality/80/optimize,
발라드,30,강하,바스락,바스락,https://cdnimg.melon.co.kr/cm2/album/images/112/19/172/11219172_20230406155314_500.jpg/melon/resize/282/quality/80/optimize,
발라드,31,김명,고마워,고마워,https://cdnimg.melon.co.kr/cm2/album/images/112/19/167/11219167_20230406155055_500.jpg/melon/resize/282/quality/80/optimize,
발라드,32,정남도,Alone,Alone,https://cdnimg.melon.co.kr/cm2/album/images/112/19/158/11219158_20230406154147_500.jpg/melon/resize/282/quality/80/optimize,
발라드,33,조건희,너를 위한 노래 (A Song for you),너를 위한 노래 (A Song for you),https://cdnimg.melon.co.kr/cm2/album/images/112/19/154/11219154_20230406154028_500.jpg/melon/resize/282/quality/80/optimize,
발라드,34,리연 (LI YEON),I wish,I wish,https://cdnimg.melon.co.kr/cm2/album/images/112/19/153/11219153_20230406154006_500.jpg/melon/resize/282/quality/80/optimize,
발라드,35,김개미,사라질까,사라질까,https://cdnimg.melon.co.kr/cm2/album/images/112/19/142/11219142_20230406152802_500.jpg/melon/resize/282/quality/80/optimize,
발라드,36,김미소,너란 별,너란 별,https://cdnimg.melon.co.kr/cm2/album/images/112/19/095/11219095_20230406150631_500.jpg/melon/resize/282/quality/80/optimize,
발라드,37,권성찬,너란 세 글자,서랍 속 쪽지,https://cdnimg.melon.co.kr/cm2/album/images/112/17/348/11217348_20230404144758_500.jpg/melon/resize/282/quality/80/optimize,
발라드,38,#안녕,가질 수 없는 너,가질 수 없는 너,https://cdnimg.melon.co.kr/cm2/album/images/112/18/682/11218682_20230405175243_500.jpg/melon/resize/282/quality/80/optimize,
발라드,39,유성은,별빛,딜리버리맨 OST Part 6,https://cdnimg.melon.co.kr/cm2/album/images/112/18/619/11218619_20230405172315_500.jpg/melon/resize/282/quality/80/optimize,
발라드,40,범승혁,벚꽃이 날리는 여의도에서,벚꽃이 날리는 여의도에서,https://cdnimg.melon.co.kr/cm2/album/images/112/18/383/11218383_20230405154627_500.jpg/melon/resize/282/quality/80/optimize,
발라드,41,유오,사랑이 있어서 달릴 수 있었다,Restart,https://cdnimg.melon.co.kr/cm2/album/images/112/18/247/11218247_20230405145825_500.jpg/melon/resize/282/quality/80/optimize,
발라드,42,이채아,나의 사랑 너에게 (Feat. 후아유),기다리던 계절,https://cdnimg.melon.co.kr/cm2/album/images/112/17/838/11217838_20230405104846_500.jpg/melon/resize/282/quality/80/optimize,
발라드,43,박주효,사랑해요,너의 목소리가 보여 10 Part 2,https://cdnimg.melon.co.kr/cm2/album/images/112/17/857/11217857_20230405110332_500.jpg/melon/resize/282/quality/80/optimize,
발라드,44,조문근,너의 손길이 그리워,카페 앵커리지 OST Part.4,https://cdnimg.melon.co.kr/cm2/album/images/112/18/253/11218253_20230405145921_500.jpg/melon/resize/282/quality/80/optimize,
발라드,45,한경일,봄날의 기억,봄날의 기억,https://cdnimg.melon.co.kr/cm2/album/images/112/18/159/11218159_20230405141142_500.jpg/melon/resize/282/quality/80/optimize,
발라드,46,다무 (Damu),그리움만,요조신사 마초숙녀 OST Part.23,https://cdnimg.melon.co.kr/cm2/album/images/112/18/177/11218177_20230405142302_500.jpg/melon/resize/282/quality/80/optimize,
발라드,47,김하루,달의 노래,달의 노래,https://cdnimg.melon.co.kr/cm2/album/images/112/18/155/11218155_20230405140923_500.jpg/melon/resize/282/quality/80/optimize,
발라드,48,Gantulga Tulgaa,Zastav,Zastav,https://cdnimg.melon.co.kr/cm2/album/images/112/19/155/11219155_20230406154041_500.jpg/melon/resize/282/quality/80/optimize,
발라드,49,유탁,그대의 위로가 되길,그대의 위로가 되길,https://cdnimg.melon.co.kr/cm2/album/images/112/18/768/11218768_20230406104307_500.jpg/melon/resize/282/quality/80/optimize,
발라드,50,한태정,봄바람,봄바람,https://cdnimg.melon.co.kr/cm2/album/images/112/18/626/11218626_20230405172421_500.jpg/melon/resize/282/quality/80/optimize,
댄스,1,베이비시스터,5 Leaf Clover,5 Leaf Clover,https://cdnimg.melon.co.kr/cm2/album/images/112/19/643/11219643_20230407110021_500.jpg/melon/resize/282/quality/80/optimize,
댄스,2,Ziodina (지오디나),Yellowjackets,Yellowjackets,https://cdnimg.melon.co.kr/cm2/album/images/112/19/640/11219640_20230407105920_500.jpg/melon/resize/282/quality/80/optimize,
댄스,3,LAS (라스),봄노래 (feat. 미연 ((여자)아이들)),봄노래 (feat. 미연 ((여자)아이들)),https://cdnimg.melon.co.kr/cm2/album/images/112/19/862/11219862_20230407144632_500.jpg/melon/resize/282/quality/80/optimize,
댄스,4,윤산,8:50pm,8:50pm,https://cdnimg.melon.co.kr/cm2/album/images/112/19/211/11219211_20230406160259_500.jpg/melon/resize/282/quality/80/optimize,
댄스,5,크로스오버 (Krssover),Lost In Time,Lost In Time,https://cdnimg.melon.co.kr/cm2/album/images/112/19/644/11219644_20230407110132_500.jpg/melon/resize/282/quality/80/optimize,
댄스,6,올빼미(Owlpemy),Gonzaga,Gonzaga,https://cdnimg.melon.co.kr/cm2/album/images/112/19/642/11219642_20230407110005_500.jpg/melon/resize/282/quality/80/optimize,
댄스,7,Bato999,Succession,Succession,https://cdnimg.melon.co.kr/cm2/album/images/112/19/641/11219641_20230407110004_500.jpg/melon/resize/282/quality/80/optimize,
댄스,8,CASTLER,지구 멸망의 날,지구 멸망의 날,https://cdnimg.melon.co.kr/cm2/album/images/112/19/415/11219415_20230407094415_500.jpg/melon/resize/282/quality/80/optimize,
댄스,9,Musist,삶 (Feat. 김윤재),삶,https://cdnimg.melon.co.kr/cm2/album/images/112/19/634/11219634_20230407105406_500.jpg/melon/resize/282/quality/80/optimize,
댄스,10,양재동 사람들,실루엣 [Vocal by 담이],실루엣,https://cdnimg.melon.co.kr/cm2/album/images/112/19/255/11219255_20230406162044_500.jpg/melon/resize/282/quality/80/optimize,
댄스,11,AMOS (아모스),Sakuragi Hanamichi,Sakuragi Hanamichi,https://cdnimg.melon.co.kr/cm2/album/images/112/19/065/11219065_20230406141540_500.jpg/melon/resize/282/quality/80/optimize,
댄스,12,Aseppana (아셉파나),Reminder,Reminder,https://cdnimg.melon.co.kr/cm2/album/images/112/19/064/11219064_20230406140051_500.jpg/melon/resize/282/quality/80/optimize,
댄스,13,라보 (RABO),Happy,Happy,https://cdnimg.melon.co.kr/cm2/album/images/112/19/063/11219063_20230406135947_500.jpg/melon/resize/282/quality/80/optimize,
댄스,14,RETRO MAMA,Fantastic Kingdom,Fantastic Kingdom,https://cdnimg.melon.co.kr/cm2/album/images/112/17/354/11217354_20230404145134_500.jpg/melon/resize/282/quality/80/optimize,
댄스,15,꾹꾹이,Switch,BOYS PLANET - ARTIST BATTLE,https://cdnimg.melon.co.kr/cm2/album/images/112/17/923/11217923_20230405112917_500.jpg/melon/resize/282/quality/80/optimize,
댄스,16,마카마카 (Maka' Maka),너를 위해 (Go! Go!),Go! Go!,https://cdnimg.melon.co.kr/cm2/album/images/112/18/131/11218131_20230405135512_500.jpg/melon/resize/282/quality/80/optimize,
댄스,17,아기천사,"P.S I LOVE YOU (Vocal by 이재성 , RAP by SAMMSOSA)",P.S I LOVE YOU,https://cdnimg.melon.co.kr/cm2/album/images/112/17/920/11217920_20230405112735_500.jpg/melon/resize/282/quality/80/optimize,
댄스,18,Apink (에이핑크),D N D,SELF,https://cdnimg.melon.co.kr/cm2/album/images/112/17/418/11217418_20230406105215_500.jpg/melon/resize/282/quality/80/optimize,
댄스,19,헤이즈 (Heize),빙글빙글 (Prod. R.Tee),빙글빙글,https://cdnimg.melon.co.kr/cm2/album/images/112/16/103/11216103_20230403134236_500.jpg/melon/resize/282/quality/80/optimize,
댄스,20,김우석,Dawn,Blank Page,https://cdnimg.melon.co.kr/cm2/album/images/112/15/441/11215441_20230331164857_500.jpg/melon/resize/282/quality/80/optimize,
댄스,21,NewJeans,Zero,Zero,https://cdnimg.melon.co.kr/cm2/album/images/112/15/953/11215953_20230403104617_500.jpg/melon/resize/282/quality/80/optimize,
댄스,22,지윤,너와 나,너와 나,https://cdnimg.melon.co.kr/cm2/album/images/112/15/480/11215480_20230331174557_500.jpg/melon/resize/282/quality/80/optimize,
댄스,23,달고나형제,추억의 롤라장,추억의 롤라장,https://cdnimg.melon.co.kr/cm2/album/images/112/14/812/11214812_20230331113054_500.jpg/melon/resize/282/quality/80/optimize,
댄스,24,예린 (YERIN),I Feel You,<웹툰싱어> I Feel You (이두나! x 예린),https://cdnimg.melon.co.kr/cm2/album/images/112/15/370/11215370_20230331162735_500.jpg/melon/resize/282/quality/80/optimize,
댄스,25,FANTASY BOYS,FANTASY,FANTASY,https://cdnimg.melon.co.kr/cm2/album/images/112/14/448/11214448_20230330171403_500.jpg/melon/resize/282/quality/80/optimize,
댄스,26,지수 (JISOO),꽃,ME,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg/melon/resize/282/quality/80/optimize,
댄스,27,단,Traffic Accident,비의도적 연애담 OST Part.3,https://cdnimg.melon.co.kr/cm2/album/images/112/14/094/11214094_20230330120343_500.jpg/melon/resize/282/quality/80/optimize,
댄스,28,딜라잇 (Delight),Neverland,Neverland,https://cdnimg.melon.co.kr/cm2/album/images/112/14/455/11214455_20230330172215_500.jpg/melon/resize/282/quality/80/optimize,
댄스,29,스트라비,"다시, 그 봄","다시, 그 봄",https://cdnimg.melon.co.kr/cm2/album/images/112/13/993/11213993_20230330114329_500.jpg/melon/resize/282/quality/80/optimize,
댄스,30,라이오네시스G,My Pretty (예쁘네 오늘),My Pretty (예쁘네 오늘),https://cdnimg.melon.co.kr/cm2/album/images/112/11/717/11211717_20230327170451_500.jpg/melon/resize/282/quality/80/optimize,
댄스,31,xikers(싸이커스),도깨비집 (TRICKY HOUSE),HOUSE OF TRICKY : Doorbell Ringing,https://cdnimg.melon.co.kr/cm2/album/images/112/13/315/11213315_20230329154556_500.jpg/melon/resize/282/quality/80/optimize,
댄스,32,Padi (페디),"LEMON (Feat. SOLE, MINO)",LEMON,https://cdnimg.melon.co.kr/cm2/album/images/112/12/209/11212209_20230328144600_500.jpg/melon/resize/282/quality/80/optimize,
댄스,33,양준일,Beautiful ClubMix,Beautiful ClubMix,https://cdnimg.melon.co.kr/cm2/album/images/112/13/654/11213654_20230329190312_500.jpg/melon/resize/282/quality/80/optimize,
댄스,34,신비아파트,"Got You (Sung By Kep1er (케플러) 김채현, 김다연, 서영은)",신비아파트 시즌5 OST - 고스트볼 제로,https://cdnimg.melon.co.kr/cm2/album/images/112/12/191/11212191_20230328142434_500.jpg/melon/resize/282/quality/80/optimize,
댄스,35,시호 (SIHO),Clover,Clover,https://cdnimg.melon.co.kr/cm2/album/images/112/13/353/11213353_20230329160446_500.jpg/melon/resize/282/quality/80/optimize,
댄스,36,초코파이브,스트레스 팍팍,스트레스 팍팍 / 시러시러,https://cdnimg.melon.co.kr/cm2/album/images/112/13/312/11213312_20230329154256_500.jpg/melon/resize/282/quality/80/optimize,
댄스,37,pluton,Too late (Feat. ROSESIA),Too late,https://cdnimg.melon.co.kr/cm2/album/images/112/12/510/11212510_20230329095501_500.jpg/melon/resize/282/quality/80/optimize,
댄스,38,마마무+,GGBB,"ACT 1, SCENE 1",https://cdnimg.melon.co.kr/cm2/album/images/112/07/271/11207271_20230330155400_500.jpg/melon/resize/282/quality/80/optimize,
댄스,39,첫사랑(CSR),빛을 따라서 (Shining Bright),DELIGHT,https://cdnimg.melon.co.kr/cm2/album/images/112/12/288/11212288_20230328152948_500.jpg/melon/resize/282/quality/80/optimize,
댄스,40,BADS,Running Out of Love (feat. AleXa),Running Out of Love (feat. AleXa),https://cdnimg.melon.co.kr/cm2/album/images/112/12/269/11212269_20230328151044_500.jpg/melon/resize/282/quality/80/optimize,
댄스,41,레트로시티,좋아한다 말해도 될까(레비트 솔로),좋아한다 말해도 될까(레비트 솔로),https://cdnimg.melon.co.kr/cm2/album/images/112/12/173/11212173_20230328140323_500.jpg/melon/resize/282/quality/80/optimize,
댄스,42,HAYOON,사랑 안 해,사랑 안 해,https://cdnimg.melon.co.kr/cm2/album/images/112/12/542/11212542_20230329100944_500.jpg/melon/resize/282/quality/80/optimize,
댄스,43,1253 (일이오삼),고! 대전,다수의 멜로디3,https://cdnimg.melon.co.kr/cm2/album/images/112/12/310/11212310_20230328161928_500.jpg/melon/resize/282/quality/80/optimize,
댄스,44,아리,EYES ON ME,EYES ON ME,https://cdnimg.melon.co.kr/cm2/album/images/112/12/272/11212272_20230328151406_500.jpg/melon/resize/282/quality/80/optimize,
댄스,45,ToRo,아이 좋아 어떡해 (feat. 가니아),아이 좋아 어떡해,https://cdnimg.melon.co.kr/cm2/album/images/112/12/239/11212239_20230328145905_500.jpg/melon/resize/282/quality/80/optimize,
댄스,46,뱀뱀 (BamBam),Sour & Sweet,Sour & Sweet,https://cdnimg.melon.co.kr/cm2/album/images/112/11/601/11211601_20230327154440_500.jpg/melon/resize/282/quality/80/optimize,
