성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
남성,10,볼빨간사춘기,FRIEND THE END,사랑.zip,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F486%2F9486305.jpg%3Ftype%3Dr204Fll%26v%3D20230413181022&type=os121_121,https://www.youtube.com/watch?v=haceXrrm-LU
남성,10,우디 (Woody),Nostalgia,Nostalgia,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F224%2F9224177.jpg%3Ftype%3Dr204Fll%26v%3D20230307100221&type=os121_121,https://www.youtube.com/watch?v=FaIqFOU_uUw
남성,10,BIG Naughty (서동현),사랑이라 믿었던 것들은 (Feat. 이수현),호프리스 로맨틱,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F198%2F9198464.jpg%3Ftype%3Dr204Fll%26v%3D20230309174659&type=os121_121,https://www.youtube.com/watch?v=kaUuyO-D4XE
남성,10,볼빨간사춘기,사랑이 이별이 돼 가는 모습이,사랑.zip,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F486%2F9486305.jpg%3Ftype%3Dr204Fll%26v%3D20230413181022&type=os121_121,https://www.youtube.com/watch?v=DzkJ6-0PpRs
남성,10,송하예,너를 보는게 지친 하루에,너를 보는게 지친 하루에,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F310%2F9310506.jpg%3Ftype%3Dr204Fll%26v%3D20230316163319&type=os121_121,https://www.youtube.com/watch?v=W-4fo94U4Tc
남성,10,Charlie Puth,That's Not How This Works (Feat. Dan + Shay),That's Not How This Works (Feat. Dan + Shay),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F366%2F9366570.jpg%3Ftype%3Dr204Fll%26v%3D20230403113340&type=os121_121,https://www.youtube.com/watch?v=PAKFzFqJa58
남성,10,#안녕,가질 수 없는 너,가질 수 없는 너,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F420%2F9420900.jpg%3Ftype%3Dr204Fll%26v%3D20230406104539&type=os121_121,https://www.youtube.com/watch?v=M53DVF42a2k
남성,10,페노메코(PENOMECO),RINDAMAN (Feat. ZICO),[ Rorschach ] Part 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F493%2F9493030.jpg%3Ftype%3Dr204Fll%26v%3D20230419182530&type=os121_121,https://www.youtube.com/watch?v=-LrCa7Mvh5A
남성,10,주호,가장 아름다운 시간이었다,가장 아름다운 시간이었다,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F420%2F9420871.jpg%3Ftype%3Dr204Fll%26v%3D20230406123031&type=os121_121,https://www.youtube.com/watch?v=OgACaU1cr4Q
남성,10,DK(디셈버),심(心),심(心),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2Ffdb282ee%2F8fe1%2F4709%2F8992%2F1e9771be94aa%2F9045225.jpg%3Ftype%3Dr204Fll%26v%3D20230217165854&type=os121_121,https://www.youtube.com/watch?v=ZbWooNg4IMo
남성,10,임한별,사랑하지 않아서 그랬어,사랑하지 않아서 그랬어,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F399%2F9399613.jpg%3Ftype%3Dr204Fll%26v%3D20230406165433&type=os121_121,https://www.youtube.com/watch?v=ve7vLxUVFpE
남성,10,한동근,다시 사랑한다면,다시 사랑한다면,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F420%2F9420890.jpg%3Ftype%3Dr204Fll%26v%3D20230406103818&type=os121_121,https://www.youtube.com/watch?v=ATS7hqEDysY
남성,10,YOASOBI,アイドル,アイドル,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F425%2F9425775.jpg%3Ftype%3Dr204Fll%26v%3D20230417104720&type=os121_121,https://www.youtube.com/watch?v=ZRtdQ81jPUQ
남성,10,박재정,헤어지자 말해요,1집 Alone,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F494%2F9494325.jpg%3Ftype%3Dr204Fll%26v%3D20230419175019&type=os121_121,https://www.youtube.com/watch?v=SrQzxD8UFdM
남성,20,박재정,헤어지자 말해요,1집 Alone,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F494%2F9494325.jpg%3Ftype%3Dr204Fll%26v%3D20230419175019&type=os121_121,https://www.youtube.com/watch?v=SrQzxD8UFdM
남성,20,볼빨간사춘기,FRIEND THE END,사랑.zip,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F486%2F9486305.jpg%3Ftype%3Dr204Fll%26v%3D20230413181022&type=os121_121,https://www.youtube.com/watch?v=haceXrrm-LU
남성,20,윤딴딴,내가 야! 하면 넌 예! (feat. 경서),내가 야! 하면 넌 예!,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F423%2F9423004.jpg%3Ftype%3Dr204Fll%26v%3D20230407160341&type=os121_121,https://www.youtube.com/watch?v=QobRhpTWA28
남성,20,다나카(TANAKA),와스레나이 (Prod By D-Hack),와스레나이 (Prod By D-Hack),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F0446667c%2F3946%2F490a%2Fa82e%2Fbfbbe27928f2%2F8347150.jpg%3Ftype%3Dr204Fll%26v%3D20221121092954&type=os121_121,https://www.youtube.com/watch?v=czhncDO2QMo
남성,20,#안녕,가질 수 없는 너,가질 수 없는 너,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F420%2F9420900.jpg%3Ftype%3Dr204Fll%26v%3D20230406104539&type=os121_121,https://www.youtube.com/watch?v=M53DVF42a2k
남성,20,페노메코(PENOMECO),RINDAMAN (Feat. ZICO),[ Rorschach ] Part 1,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F493%2F9493030.jpg%3Ftype%3Dr204Fll%26v%3D20230419182530&type=os121_121,https://www.youtube.com/watch?v=-LrCa7Mvh5A
