성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
남성,10,한로로,비틀비틀 짝짜꿍,비틀비틀 짝짜꿍,https://musicmeta-phinf.pstatic.net/album/007/997/7997850.jpg,https://www.youtube.com/watch?v=XBiMV9kVhwQ
남성,10,김뜻돌,삐뽀삐뽀,꿈에서 걸려온 전화,https://musicmeta-phinf.pstatic.net/album/004/964/4964809.jpg,https://www.youtube.com/watch?v=UAHP1VgljnE
남성,10,박소은,말리부오렌지,재활용,https://musicmeta-phinf.pstatic.net/album/007/618/7618036.jpg,https://www.youtube.com/watch?v=Y_mtDIfkWUk
남성,10,박소은,우리는 같은 음악을 듣고,우리는 같은 음악을 듣고,https://musicmeta-phinf.pstatic.net/album/006/294/6294404.jpg,https://www.youtube.com/watch?v=cZPjhueR6W4
남성,10,박소은,아무래도 난 더러운 사랑만 하나봐,bright #9,https://musicmeta-phinf.pstatic.net/album/004/910/4910032.jpg,https://www.youtube.com/watch?v=hq8TFSv5X-U
남성,10,모트(Motte),논알콜,소중함에 대하여,https://musicmeta-phinf.pstatic.net/album/005/906/5906544.jpg,https://www.youtube.com/watch?v=jktncyHxEpE
남성,10,모트(Motte),대화,대화,https://musicmeta-phinf.pstatic.net/album/007/301/7301721.jpg,https://www.youtube.com/watch?v=TTZPDZ3aLjQ
남성,10,quinn_(쿠인),진혼곡 (鎭魂曲),진혼곡 (鎭魂曲),https://musicmeta-phinf.pstatic.net/album/006/450/6450513.jpg,https://www.youtube.com/watch?v=rAgB09mB40c
남성,10,윤지영,토모토모,Blue bird,https://musicmeta-phinf.pstatic.net/album/005/054/5054876.jpg,https://www.youtube.com/watch?v=tJWPA5SKvNQ
남성,10,위수(WISUE),교토,지나간 여름을 안타까워마,https://musicmeta-phinf.pstatic.net/album/006/253/6253387.jpg,https://www.youtube.com/watch?v=P-E3l-A62bc
남성,10,다섯(Dasutt),점심시간,점심시간,https://musicmeta-phinf.pstatic.net/album/002/420/2420814.jpg,https://www.youtube.com/watch?v=EsvyU6uG8HE
남성,10,수연이,love u too much !,love u too much !,https://musicmeta-phinf.pstatic.net/album/006/267/6267715.jpg,https://www.youtube.com/watch?v=sNJ6CzRce6Q
남성,10,ADORA,Trouble? TRAVEL!,Trouble? TRAVEL!,https://musicmeta-phinf.pstatic.net/album/007/578/7578766.jpg,https://www.youtube.com/watch?v=YcczNgghdwc
남성,10,신지훈,시가 될 이야기,시가 될 이야기,https://musicmeta-phinf.pstatic.net/album/005/238/5238006.jpg,https://www.youtube.com/watch?v=YPSXmPQl77o
남성,10,신지훈,별이 안은 바다,별이 안은 바다,https://musicmeta-phinf.pstatic.net/album/001/777/1777975.jpg,https://www.youtube.com/watch?v=pLLcj5yN4pc
남성,10,이예린,love song,love song,https://musicmeta-phinf.pstatic.net/album/005/845/5845479.jpg,https://www.youtube.com/watch?v=7RrtKtp8VrU
남성,10,이고도,Mouse,Mouse,https://musicmeta-phinf.pstatic.net/album/005/197/5197805.jpg,https://www.youtube.com/watch?v=fLWuMf3ggHc
남성,10,크르르,무슨 관계,무슨 관계,https://musicmeta-phinf.pstatic.net/album/006/719/6719483.jpg,https://www.youtube.com/watch?v=Jfx14Lr4wic
남성,10,clo,젊음,젊음,https://musicmeta-phinf.pstatic.net/album/007/312/7312964.jpg,https://www.youtube.com/watch?v=V96lg9hTW2w
남성,10,clo,적당히,적당히,https://musicmeta-phinf.pstatic.net/album/006/012/6012972.jpg,https://www.youtube.com/watch?v=G2YNwNX0YNI
남성,10,n@di(나디),편지,편지,https://musicmeta-phinf.pstatic.net/album/006/951/6951965.jpg,https://www.youtube.com/watch?v=SfzPdG3hN7Y
남성,10,신인류,꽃말,우리에게 여름은 짧다,https://musicmeta-phinf.pstatic.net/album/003/135/3135694.jpg,https://www.youtube.com/watch?v=QKm99bWL3TQ
남성,10,이강승,우리가 맞다는 대답을 할 거예요,In other words it's all made by Kyeongsuk,https://musicmeta-phinf.pstatic.net/album/003/251/3251816.jpg,https://www.youtube.com/watch?v=1sQx4tYOmvE
남성,10,onthedal,Homework,Homework,https://musicmeta-phinf.pstatic.net/album/005/225/5225726.jpg,https://www.youtube.com/watch?v=lCBZ80lrkco
남성,10,김현창,살아내기,마침내 우리가 화원이 되기를,https://musicmeta-phinf.pstatic.net/album/007/736/7736970.jpg,https://www.youtube.com/watch?v=w6_v-M52dys
남성,10,김현창,목마른 파랑,내 파랑은 항상 검정에 무너져왔어요,https://musicmeta-phinf.pstatic.net/album/004/938/4938115.jpg,https://www.youtube.com/watch?v=rFuBGaspjdc
남성,10,민수,민수는 혼란스럽다,민수는 혼란스럽다,https://musicmeta-phinf.pstatic.net/album/002/900/2900515.jpg,https://www.youtube.com/watch?v=ed0CcFcBBMI
남성,10,민수,Perfect Time,NOW NOW,https://musicmeta-phinf.pstatic.net/album/008/415/8415101.jpg,https://www.youtube.com/watch?v=vBV2ahEcaxQ
남성,10,백아,영화,bright #9,https://musicmeta-phinf.pstatic.net/album/004/910/4910032.jpg,https://www.youtube.com/watch?v=Px47q2V0LAQ
남성,10,dosii(도시),starstarstar,dosii,https://musicmeta-phinf.pstatic.net/album/002/883/2883502.jpg,https://www.youtube.com/watch?v=io2NoFwNXV4
남성,10,Mingginyu(밍기뉴),Meaningless,Meaningless,https://musicmeta-phinf.pstatic.net/album/008/756/8756169.jpg,https://www.youtube.com/watch?v=KyumakMu3Ec
남성,10,찬주,춤,춤,https://musicmeta-phinf.pstatic.net/album/007/515/7515149.jpg,https://www.youtube.com/watch?v=-mx0EZ39frE
남성,10,SURL (설),Dry Flower,I Know,https://musicmeta-phinf.pstatic.net/album/003/344/3344100.jpg,https://www.youtube.com/watch?v=gnm7VTl96MM
남성,10,예빛,신기루,신기루,https://musicmeta-phinf.pstatic.net/album/008/106/8106091.jpg,https://www.youtube.com/watch?v=fs98ZITYVLo
남성,10,나상현씨밴드,SITCOM,SITCOM,https://musicmeta-phinf.pstatic.net/album/007/511/7511208.jpg,https://www.youtube.com/watch?v=hUkW7DomDTs
남성,10,2단지,춘몽,춘몽,https://musicmeta-phinf.pstatic.net/album/006/390/6390572.jpg,https://www.youtube.com/watch?v=QiNVOr9Kd94
남성,10,안예은,Proust (프루스트),Proust,https://musicmeta-phinf.pstatic.net/album/005/188/5188450.jpg,https://www.youtube.com/watch?v=3JBd9l6bc08
