성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,10,IVE(아이브),I AM,I've IVE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F334%2F9334427.jpg,https://www.youtube.com/watch?v=6ZUIwj3FgUY
여성,10,STAYC(스테이씨),ASAP,STAYDOM,https://musicmeta-phinf.pstatic.net/album/005/539/5539302.jpg,https://www.youtube.com/watch?v=NsY-9MCOIAQ
여성,10,방탄소년단,Butter,Butter,https://musicmeta-phinf.pstatic.net/album/005/902/5902422.jpg,https://www.youtube.com/watch?v=WMweEpGlu_U
여성,10,세븐틴 (SEVENTEEN),Ready to love,SEVENTEEN 8th Mini Album 'Your Choice',https://musicmeta-phinf.pstatic.net/album/006/031/6031784.jpg,https://www.youtube.com/watch?v=yCvSR4lSqTg
여성,10,TWICE(트와이스),What is Love?,What is Love?,https://musicmeta-phinf.pstatic.net/album/002/443/2443616.jpg,https://www.youtube.com/watch?v=i0p1bmr0EmE
여성,10,마마무(Mamamoo),HIP,reality in BLACK,https://musicmeta-phinf.pstatic.net/album/003/419/3419510.jpg,https://www.youtube.com/watch?v=KhTeiaCezwM
여성,10,Red Velvet (레드벨벳),Psycho,'The ReVe Festival' Finale,https://musicmeta-phinf.pstatic.net/album/003/948/3948913.jpg,https://www.youtube.com/watch?v=uR8Mrt1IpXg
여성,10,aespa,Next Level,Next Level,https://musicmeta-phinf.pstatic.net/album/005/872/5872148.jpg,https://www.youtube.com/watch?v=4TWR90KJl84
여성,10,NCT DREAM,맛 (Hot Sauce),맛 (Hot Sauce) - The 1st Album,https://musicmeta-phinf.pstatic.net/album/005/802/5802115.jpg,https://www.youtube.com/watch?v=PkKnp4SdE-w
여성,10,아이유(IU),라일락,IU 5th Album 'LILAC',https://musicmeta-phinf.pstatic.net/album/005/211/5211473.jpg,https://www.youtube.com/watch?v=v7bnOxV4jAc
여성,10,Say Yes!,Say My Name,BOYS PLANET - ARTIST BATTLE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F416%2F9416056.jpg,https://www.youtube.com/watch?v=jkemczUyhW4
여성,10,세븐틴 (SEVENTEEN),먼지,SEVENTEEN 10th Mini Album 'FML',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F554%2F9554326.jpg,https://www.youtube.com/watch?v=QaILH-kvbR4
여성,10,WOODZ,심연,OO-LI,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F113%2F9113175.jpg,https://www.youtube.com/watch?v=V-eu0NmPHXQ
여성,10,이채연,KNOCK,Over The Moon,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F449%2F9449661.jpg,https://www.youtube.com/watch?v=OM3rrr4Jzg4
여성,10,세븐틴 (SEVENTEEN),F*ck My Life,SEVENTEEN 10th Mini Album 'FML',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F554%2F9554326.jpg,https://www.youtube.com/watch?v=SB03Cbc50i8
여성,10,세븐틴 (SEVENTEEN),손오공,SEVENTEEN 10th Mini Album 'FML',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F554%2F9554326.jpg,https://www.youtube.com/watch?v=-GQg25oP0S4
여성,10,던(DAWN),빛이 나는 너에게,빛이 나는 너에게,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F481%2F9481315.jpg,https://www.youtube.com/watch?v=yyrKLHNCbq0
여성,10,FIFTY FIFTY,Cupid,The Beginning: Cupid,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F178%2F9178590.jpg,https://www.youtube.com/watch?v=Qc7_zRjH808
여성,10,NCT 도재정,Perfume,Perfume - The 1st Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F491%2F9491534.jpg,https://www.youtube.com/watch?v=7nRiE4sLLxE
여성,10,tripleS(트리플에스),Rising,ASSEMBLE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F3ee17777%2F96a7%2F4eef%2Fa48d%2Fad74e1daec74%2F8949443.jpg,https://www.youtube.com/watch?v=3TQd2ahq6oU
여성,10,BOYS PLANET,Jelly Pop,BOYS PLANET - FINAL TOP9 BATTLE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F499%2F9499685.jpg,https://www.youtube.com/watch?v=FoRAxERsLfc
여성,10,볼빨간사춘기,FRIEND THE END,사랑.zip,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F486%2F9486305.jpg,https://www.youtube.com/watch?v=haceXrrm-LU
여성,10,WOODZ,Journey,OO-LI,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F113%2F9113175.jpg,https://www.youtube.com/watch?v=IGIhtI9TRwY
여성,10,YOASOBI,アイドル,アイドル,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F425%2F9425775.jpg,https://www.youtube.com/watch?v=ZRtdQ81jPUQ
여성,10,지수 (JISOO),꽃,ME,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F399%2F9399447.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
여성,10,NMIXX,Love Me Like This,expergo,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F286%2F9286430.jpg,https://www.youtube.com/watch?v=EDnwWcFpObo
여성,10,브레이브걸스(Brave Girls),치맛바람 (Chi Mat Ba Ram),Summer Queen,https://musicmeta-phinf.pstatic.net/album/006/029/6029544.jpg,https://www.youtube.com/watch?v=e70PkoJhQYM
여성,10,BLACKPINK,How You Like That,How You Like That,https://musicmeta-phinf.pstatic.net/album/004/613/4613637.jpg,https://www.youtube.com/watch?v=ioNng23DkIM
여성,10,NCT 도재정,Kiss,Perfume - The 1st Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F491%2F9491534.jpg,https://www.youtube.com/watch?v=g0TMZ8I9LD0
여성,10,NCT 127,Sticker,Sticker - The 3rd Album,https://musicmeta-phinf.pstatic.net/album/006/436/6436468.jpg,https://www.youtube.com/watch?v=1oYWnbTSang
여성,10,이하이,Brave Enough,청춘기록 (tvN 월화드라마) OST - Part 7,https://musicmeta-phinf.pstatic.net/album/005/010/5010005.jpg,https://www.youtube.com/watch?v=HOoP3OEtrxg
여성,10,마마무(Mamamoo),AYA,TRAVEL,https://musicmeta-phinf.pstatic.net/album/005/064/5064545.jpg,https://www.youtube.com/watch?v=UoI9riNffEU
여성,10,ITZY(있지),달라달라,IT'z Different,https://musicmeta-phinf.pstatic.net/album/002/841/2841538.jpg,https://www.youtube.com/watch?v=pNfTK39k55U
여성,10,투모로우바이투게더,0X1=LOVESONG (I Know I Love You) feat. Seori,혼돈의 장: FREEZE,https://musicmeta-phinf.pstatic.net/album/005/911/5911060.jpg,https://www.youtube.com/watch?v=d5bbqKYu51w
여성,10,Red Velvet (레드벨벳),Queendom,Queendom - The 6th Mini Album,https://musicmeta-phinf.pstatic.net/album/006/303/6303210.jpg,https://www.youtube.com/watch?v=c9RzZpV460k
여성,10,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,https://musicmeta-phinf.pstatic.net/album/003/199/3199865.jpg,https://www.youtube.com/watch?v=m3DZsBw5bnE
여성,10,전소미,DUMB DUMB,DUMB DUMB,https://musicmeta-phinf.pstatic.net/album/006/254/6254892.jpg,https://www.youtube.com/watch?v=tg2uF3R_Ozo
여성,10,DAY6(데이식스),예뻤어,Every DAY6 February,https://musicmeta-phinf.pstatic.net/album/001/779/1779662.jpg,https://www.youtube.com/watch?v=BS7tz2rAOSA
여성,10,브레이브걸스(Brave Girls),롤린 (Rollin'),Rollin',https://musicmeta-phinf.pstatic.net/album/001/821/1821057.jpg,https://www.youtube.com/watch?v=-Axm4IYHVYk
여성,10,"The Kid LAROI, Justin Bieber",STAY,STAY,https://musicmeta-phinf.pstatic.net/album/006/158/6158502.jpg,https://www.youtube.com/watch?v=Ec7TN_11az8
여성,10,현아,I'm Not Cool,I'm Not Cool,https://musicmeta-phinf.pstatic.net/album/005/213/5213231.jpg,https://www.youtube.com/watch?v=_yXEnhyOTQo
여성,10,IZ*ONE(아이즈원),Panorama,One-reeler / Act IV,https://musicmeta-phinf.pstatic.net/album/005/147/5147124.jpg,https://www.youtube.com/watch?v=G8GaQdW2wHc
여성,10,방탄소년단,Permission to Dance,Butter / Permission to Dance,https://musicmeta-phinf.pstatic.net/album/006/162/6162038.jpg,https://www.youtube.com/watch?v=CuklIb9d3fI
여성,10,(여자)아이들,화(火花),I burn,https://musicmeta-phinf.pstatic.net/album/005/190/5190622.jpg,https://www.youtube.com/watch?v=z3szNvgQxHo
여성,10,로제 (ROSE),Gone,R,https://musicmeta-phinf.pstatic.net/album/005/338/5338058.jpg,https://www.youtube.com/watch?v=0Yn8-0nUiLk
