성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,10,IVE(아이브),I AM,I've IVE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F334%2F9334427.jpg%3Ftype%3Dr204Fll%26v%3D20230413095719&type=os121_121,https://www.youtube.com/watch?v=6ZUIwj3FgUY
여성,10,NCT 도재정,Perfume,Perfume - The 1st Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F491%2F9491534.jpg%3Ftype%3Dr204Fll%26v%3D20230417191501&type=os121_121,https://www.youtube.com/watch?v=7nRiE4sLLxE
여성,10,FIFTY FIFTY,Cupid,The Beginning: Cupid,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F178%2F9178590.jpg%3Ftype%3Dr204Fll%26v%3D20230224104027&type=os121_121,https://www.youtube.com/watch?v=Qc7_zRjH808
여성,10,Say Yes!,Say My Name,BOYS PLANET - ARTIST BATTLE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F416%2F9416056.jpg%3Ftype%3Dr204Fll%26v%3D20230405105926&type=os121_121,https://www.youtube.com/watch?v=jkemczUyhW4
여성,10,지수 (JISOO),꽃,ME,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F399%2F9399447.jpg%3Ftype%3Dr204Fll%26v%3D20230331125833&type=os121_121,https://www.youtube.com/watch?v=YudHcBIxlYw
여성,10,NMIXX,Love Me Like This,expérgo,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F286%2F9286430.jpg%3Ftype%3Dr204Fll%26v%3D20230321104010&type=os121_121,https://www.youtube.com/watch?v=EDnwWcFpObo
여성,10,던(DAWN),빛이 나는 너에게,빛이 나는 너에게,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F481%2F9481315.jpg%3Ftype%3Dr204Fll%26v%3D20230412154053&type=os121_121,https://www.youtube.com/watch?v=yyrKLHNCbq0
여성,10,볼빨간사춘기,FRIEND THE END,사랑.zip,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F486%2F9486305.jpg%3Ftype%3Dr204Fll%26v%3D20230413181022&type=os121_121,https://www.youtube.com/watch?v=haceXrrm-LU
여성,10,NCT 도재정,Kiss,Perfume - The 1st Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F491%2F9491534.jpg%3Ftype%3Dr204Fll%26v%3D20230417191501&type=os121_121,https://www.youtube.com/watch?v=g0TMZ8I9LD0
여성,10,tripleS(트리플에스),Rising,ASSEMBLE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F3ee17777%2F96a7%2F4eef%2Fa48d%2Fad74e1daec74%2F8949443.jpg%3Ftype%3Dr204Fll%26v%3D20230214115648&type=os121_121,https://www.youtube.com/watch?v=3TQd2ahq6oU
