성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,10,방탄소년단,Butter,Butter,https://musicmeta-phinf.pstatic.net/album/005/902/5902422.jpg,https://www.youtube.com/watch?v=WMweEpGlu_U
여성,10,STAYC(스테이씨),ASAP,STAYDOM,https://musicmeta-phinf.pstatic.net/album/005/539/5539302.jpg,https://www.youtube.com/watch?v=NsY-9MCOIAQ
여성,10,브레이브걸스(Brave Girls),치맛바람 (Chi Mat Ba Ram),Summer Queen,https://musicmeta-phinf.pstatic.net/album/006/029/6029544.jpg,https://www.youtube.com/watch?v=e70PkoJhQYM
여성,10,aespa,Next Level,Next Level,https://musicmeta-phinf.pstatic.net/album/005/872/5872148.jpg,https://www.youtube.com/watch?v=4TWR90KJl84
여성,10,BLACKPINK,How You Like That,How You Like That,https://musicmeta-phinf.pstatic.net/album/004/613/4613637.jpg,https://www.youtube.com/watch?v=ioNng23DkIM
여성,10,NCT 127,Sticker,Sticker - The 3rd Album,https://musicmeta-phinf.pstatic.net/album/006/436/6436468.jpg,https://www.youtube.com/watch?v=1oYWnbTSang
여성,10,아이유(IU),Celebrity,IU 5th Album 'LILAC',https://musicmeta-phinf.pstatic.net/album/005/211/5211473.jpg,https://www.youtube.com/watch?v=0-q1KafFCLU
여성,10,오마이걸(OH MY GIRL),Dolphin,NONSTOP,https://musicmeta-phinf.pstatic.net/album/004/535/4535336.jpg,https://www.youtube.com/watch?v=oaRTMjLdiDw
여성,10,ITZY(있지),마.피.아. In the morning,GUESS WHO,https://musicmeta-phinf.pstatic.net/album/005/740/5740377.jpg,https://www.youtube.com/watch?v=_ysomCGaZLw
여성,10,TWICE(트와이스),Alcohol-Free,Taste of Love,https://musicmeta-phinf.pstatic.net/album/005/993/5993240.jpg,https://www.youtube.com/watch?v=XA2YEHn-A8Q
여성,10,방탄소년단,Dynamite,Dynamite (DayTime Version),https://musicmeta-phinf.pstatic.net/album/004/820/4820425.jpg,https://www.youtube.com/watch?v=gdZLi9oWNZg
