아티스트,곡명,앨범명,앨범이미지,유튜브링크
Mina Okabe,Talk To Me,Spinning Around,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/308/83652308_1679559927896_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=d1XzyS7RXXA
Sam Smith & Calvin Harris & Jessie Reyez,I'm Not Here To Make Friends,Gloria,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/476/290/83476290_1674633383536_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hYjHhqLSiN4
Daft Punk,Fragments of Time (Feat. Todd Edwards),The Writing of Fragments of Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/646/888/83646888_1679452255345_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_ScM9pKlCfo
Fly By Midnight,Dance,Fictional Illustrations,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/648/061/83648061_1679539198430_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qwwPxU8dQYA
Christian French,lonely,lonely,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/625/016/83625016_1678746031914_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7WtaUkMRQV8
Ellie Goulding,Midnight Dreams,Midnight Dreams,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/638/83681638_1680135137185_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gJF6OJmBYTo
salem ilese,PainHub,PainHub,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/846/83681846_1680137466694_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CnM_bBzir0A
lozeak,Drag Me To Hell,Gut Feeling,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/674/882/83674882_1680028229410_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=z5177EiI52U
aespa,Hold On Tight,Hold On Tight,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/669/267/83669267_1679944873408_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fvtzZFhrKLE
King Isis,in my ways,scales (Explicit),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/431/620/83431620_1678685440809_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1wY7pbMR3Z4
MAY-A,Your Funeral,Your Funeral,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/645/343/83645343_1679370657755_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=E0Wgc_hoUQ4
6LACK,Since I Have A Lover,Since I Have A Lover,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/318/83652318_1679559930344_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pVgmYNA8J1k
Erik Frank,Love Letter,Love Letter,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/667/048/83667048_1679969101226_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vn9QO40bU_I
Kofi & Nonso Amadi,I'm Yours,Just to Piss You Off,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/463/301/83463301_1674356751570_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-BljxtJSUCI
Fly By Midnight,In The Night,Fictional Illustrations,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/648/061/83648061_1679539198430_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pDMfK1qYpCI
0WAVE,time,balaclava,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/520/847/83520847_1675994901543_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FlvNrQI6S7o
SAAY,CIRCLE (Feat. Tish Hyman),CIRCLE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/971/030/80971030_1501207084717_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ybDMTVpuefU
Aiboy (0WAVE),Unknown Number,Hype Boy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/606/617/83606617_1678846088290_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YEFmHggV4vE
MBA (Most Badass Asian),I Know (Feat. EK & BOLA) (Prod. by Neal),TRIP,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/312/964/81312964_1574233216135_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=M8d1r-f-OAE
TRADE L,I BE LIKE (Feat. SOLE),UNSTEADY,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/622/156/83622156_1679020846780_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tRbgeiAnMZo
