아티스트,곡명,앨범명,앨범이미지,유튜브링크
Kenshi Yonezu,LADY,LADY,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/623/022/83623022_1678686027705_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DdF-u3fe5pg
Furui Riho,Purpose,Green Light,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/560/294/82560294_1646641288355_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oXYzYQvHUSw
Fujii Kaze,ガ一デン,LOVE ALL SERVE ALL,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/598/693/82598693_1647822326513_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=53rIic2lvKc
Mitsume,Esper,Ghosts,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/185/359/81185359_1555309100109_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=chuSB4d50lI
Aimer,chikyugi,Walpurgis,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/997/982/81997982_1618456236745_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NmC5M8RylVY
YOASOBI,"もう少しだけ (조금만 더, Mousukoshidake)","もう少しだけ (조금만 더, Mousukoshidake)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/025/732/82025732_1620001826880_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4UD0eyaSdQE
Yuika,Prologue,Prologue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/584/745/83584745_1677463835495_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=V3ie_Nbj3d8
Yuuri,City without heroes,Ni,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/631/860/83631860_1678967135590_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=K7k016fqO0M
chilldspot,line,around dusk,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/599/243/82599243_1648532405399_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NkLaXSkVJ9g
milet & Aimer & Lilas Ikuta,Omokage (produced by Vaundy),Omokage (produced by Vaundy),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/426/772/82426772_1638740433429_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Z2Z9V-4DMGw
Penthouse (펜트하우스),単焦点 (Single focus),Balcony,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/645/667/83645667_1679391260647_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TuAT5wCPo4c
Roomies,Must Be Love,Must Be Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/555/644/83555644_1676606429280_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Nr6HjqtGuNE
indigo la End,Haruha Tokete,Haruha Tokete,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/600/607/82600607_1647918027455_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FFYtACyofV4
Aimyon,On a Cherry Blossom Night,Till I Know What Love Is (I'm Never Gonna Die) / On a Cherry Blossom Night,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/905/359/81905359_1622082034840_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zcrkIJweyDM
LUCKY TAPES (럭키테이프스),MOOD,22,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/097/935/81097935_1535419353951_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qnP3Sd01TzU
