아티스트,곡명,앨범명,앨범이미지,유튜브링크
Norah Jones,Everybody Needs A Best Friend,Ted : Original Motion Picture Soundtrack,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/568/244/80568244_1433138748647_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=veHpPG-Wcy8
Paul Englishby,Miss Pettigrew Lives For A Day,미스페티그루의 어느 특별한 하루 (Miss Pettigrew Lives For A Day),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/068/681/301/68681301_1464076046742_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=65xHZR2-fh8
Renee Zellweger,For Once In My Life,영화 주디(Judy) OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/272/357/81272357_1569479403769_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=u2HpaDZYSWc
Ryan Gosling & Emma Stone,A Lovely Night,La La Land (영화 '라라랜드' OST),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/902/796/80902796_1570684838411_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=trrH4sVZ0dQ
Dave Grusin & Michelle Pfeiffer,Makin' Whoopee (Feat. Michelle Pfeiffer) (From 'Fabulous Baker Boys' Soundtrack),The Fabulous Baker Boys (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/640/454/80640454_1439959531238_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gAlQUJQPzvY
Sting,Angel Eyes,Leaving Las Vegas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/237/522/81237522_1565575141316_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0vVDF3B_7Es
Poncho Sanchez,Watermelon Man (Feat. Mongo Santamaria),Legend (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/727/097/80727097_1565686760051_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0vUlD6yqiEA
The Rosenberg Trio,Minor Swing (Bande Originale Du Film 'Django'),Django (Bande Originale Du Film),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/938/675/80938675_1496036790333_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-WKf3rUwayI
Dianne Reeves,Pretend,"Good Night, And Good Luck.","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/762/517/42762517_1413871170673_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yi8Uqa7sgCE
Billie Holiday & Teddy Wilson ＆ His Orchestra,Easy Living,영화 '캐롤' OST (Carol OST),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/755/938/80755938_1453865393271_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GeC8q5gJpMo
Dinah Washington,What A Difference A Day Made,중경삼림 (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/822/321/80822321_1590455706321_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OmBxVfQTuvI
