아티스트,곡명,앨범명,앨범이미지,유튜브링크
Kelly Clarkson,mine,mine / me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/725/891/83725891_1681248981218_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=W07I5wmHxcA
Post Malone,Chemical,Chemical,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/731/871/83731871_1681359054882_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ysZYQa8NO2Y
Benson Boone,What Was,What Was,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/726/013/83726013_1681251648800_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LRBBzbFQ7mw
King Krule,Seaforth,Seaforth,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/698/151/83698151_1680552628784_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yfrbeCFQ65w
Lewis Capaldi,Wish You The Best,Wish You The Best,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/892/83727892_1681287041898_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QZLxVvLyKTo
Aidan Bissett,Out Of My League,Out Of My League,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/728/002/83728002_1681289146312_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HZ_4Ea0E5mQ
New Hope Club,Just Don't Know It Yet,Just Don't Know It Yet,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/732/83727732_1681283432179_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5iFxSr_luOg
Bazzi,Eyes,Eyes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/726/774/83726774_1681266954749_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=daDR_wZsbto
SZA,Kill Bill (Feat. Doja Cat),Kill Bill,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/733/878/83733878_1681492532113_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZFjIMowsudA
PREP,One Day at a Time,One Day at a Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/693/099/83693099_1680366945090_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DjHaL5egC18
Lauren Spencer Smith & GAYLE & Em Beihold,Fantasy,Fantasy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/932/83727932_1681287950663_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UlvZlZSIQXA
Sam Smith,Love Me More,Gloria (Special Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/720/025/83720025_1681094739959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IhcH1HmVdsg
NF,HOPE,HOPE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/704/379/83704379_1680655313458_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tsmPCi7NKrg
David Guetta & Anne-Marie & Coi Leray,Baby Don't Hurt Me,Baby Don't Hurt Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/698/771/83698771_1680567636885_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vIhAJ3iUpsU
Jonas Brothers,Waffle House,Waffle House,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/706/811/83706811_1680691545820_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jCD8RHFye80
Noah Cyrus & Vance Joy,Everybody Needs Someone,Everybody Needs Someone,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/699/176/83699176_1680574677061_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NUBs0i1W1SI
Ashnikko,WEEDKILLER,WEEDKILLER,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/701/238/83701238_1680596170250_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Vclojv7-uBI
BoyWithUke,Out Of Reach,Out Of Reach,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/706/717/83706717_1680689129707_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ne5tDZ8ePmU
JP Saxe,I Don't Miss You,I Don't Miss You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/631/231/83631231_1678945238928_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HROrHLrC61k
Mahalia,Terms and Conditions,Terms and Conditions,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/695/813/83695813_1680461128477_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EuVcfJLxmcI
John Newman,Hold On To My Love,Hold On To My Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/706/383/83706383_1680676830645_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4bN-cUL0C0c
Khalid,Softest Touch,Softest Touch,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/631/230/83631230_1678945238080_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aGMM_OuYHkM
Charlie Puth,That's Not How This Works (Feat. Dan ＋ Shay),That's Not How This Works,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/674/087/83674087_1680016534948_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PAKFzFqJa58
Maisie Peters,Lost The Breakup,Lost The Breakup,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/674/077/83674077_1680006928245_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DwoovvtYf08
The Smashing Pumpkins,Empires,ATUM - Act I & II,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/486/731/83486731_1674941755001_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gORLEfD7McA
Stacey Ryan,Bad For Me,Bad For Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/675/83681675_1680135633205_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VdWAxX1i3G0
Bebe Rexha,Call on Me,Call on Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/674/086/83674086_1680016531959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JBEtLM7Bs6M
