아티스트,곡명,앨범명,앨범이미지,유튜브링크
El DeBarge,My Heart Belongs To You,In The Storm,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/541/876/80541876_1431416975299_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mEPjm0ZVN6s
Lucas Estrada & Madism & Adam Woods,What You Do To Me,What You Do To Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/230/83684230_1680690143708_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7EQ2IzKV500
Sigala & MNEK,Radio,Radio,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/300/189/83300189_1670876155627_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=orLQZk-znEU
Dimitri Vegas & Steve Aoki & Chapter & Verse,Friends,Friends,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/595/677/83595677_1677742865108_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_nMubt_5Q1g
yaeji,Submerge FM,With A Hammer,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/454/83684454_1680192748584_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CTQUjWNKUGQ
Imanbek & Crazy Donkey & Brando,Fake (Feat. Paradigm),Fake,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/281/645/83281645_1673452578038_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=20kxu4nCOkw
Becky Hill & Galantis,Run,Run,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/550/155/82550155_1645582536959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Wx3gRx0Fyzk
Jonas Blue & Louisa Johnson,Always Be There,Always Be There,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/939/847/82939847_1661935241219_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vPM7HSX3BlU
Tiesto,Lay Low,Lay Low,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/405/823/83405823_1673043386956_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EfWmWlW2PvM
GIAGIOSI & Rocco,Where Is My Heart,Where Is My Heart,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/400/830/83400830_1673483376055_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lTYsKVvFv_g
ACRAZE & Galantis,Believe (Galantis Remix) (Feat. Goodboys),Believe (Galantis Remix),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/398/019/83398019_1672805182241_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oWu1iRkRgPA
Leandro Lopiano,Revolution,Revolution,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/412/626/83412626_1673198743117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2FqTN6CGvY0
Avicii,Sweet Dreams (Avicii Swede Radio Mix),Sweet Dreams,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/412/283/83412283_1673485140181_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Jy3iuXsUZxI
Skrillex & PinkPantheress & Trippie Redd,Way Back,Way Back,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/395/399/83395399_1673400745002_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ikIcl2q3oP8
David Jackson,Can't Stop Thinking About You,Can't Stop Thinking About You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/418/224/83418224_1673312804906_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=U8c39HlfYoA
Jerome & Hedara,Blow Ur Mind,Blow Ur Mind,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/400/776/83400776_1673482503810_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SF38uEM21V0
Pascal Letoublon & ILIRA,Time After Time,Time After Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/396/999/83396999_1672794968824_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Plm-Opu3ZV8
Craig David & Galantis,DNA,DNA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/867/006/82867006_1659331832985_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sbihOmJP7xU
Sigala & David Guetta & Sam Ryder,Living Without You,Living Without You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/903/695/82903695_1660838741150_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1F2SRlSbwK4
Alice Sara Ott,"Chopin : Waltz No. 1 In E-Flat, Op. 18 - 'Grande Valse Brillante'",Chopin : Waltzes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/193/848/81193848_1556241173076_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=96cFI9qOR5o
Rafal Blechacz,"Chopin : Barcarolle in F-Sharp Major, Op. 60",Chopin,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/592/025/83592025_1677654666494_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=alaLgb0zABs
Yuja Wang,Tilson Thomas : You Come Here Often?,Tilson Thomas : You Come Here Often?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/420/229/83420229_1673401554347_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HbIn805S-uI
Alice Sara Ott,"Chopin : Waltz No.2 In A Flat, Op.34 No.1 - 'Valse Brillante'",Chopin : Waltzes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/193/848/81193848_1556241173076_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fGPE_xIpx7Q
Yuja Wang & Louisville Orchestra & Teddy Abrams,Abrams : Piano Concerto - I. Overture. Swing,The American Project,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/610/192/83610192_1678248928395_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zwxkWJ5g5NI
조성진,"Brahms : Variations and Fugue on a Theme by Handel, Op. 24 - Aria",The Handel Project : Handel-Suites & Brahms-Variations,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/501/928/83501928_1675220727380_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JNdA-SpRV10
조성진,"Brahms : Variations and Fugue on a Theme by Handel, Op. 24 - Var. 1",The Handel Project : Handel-Suites & Brahms-Variations,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/501/928/83501928_1675220727380_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZYI6Dw99x2U
조성진,"Brahms : Variations and Fugue on a Theme by Handel, Op. 24 - Var. 4 (Risoluto)",The Handel Project : Handel-Suites & Brahms-Variations,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/501/928/83501928_1675220727380_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cUPGicUuPow
백건우,"엔리케 그라나도스 : 고예스카스, Op. 11 1. 사랑의 속삭임 (Los Requiebros)",그라나도스-고예스카스,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/991/456/82991456_1663502738834_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2sFp2DQwwak
Rafal Blechacz,"Chopin : Piano Sonata No. 3 in B Minor, Op. 58 - II. Scherzo. Molto vivace - Trio",Chopin,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/592/025/83592025_1677654666494_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ApHQYPIRLXQ
Vikingur Olafsson,Rameau : 라모 : Les Sauvages (야만인들),드뷔시 - 라모 (Debussy - Rameau),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/401/827/81401827_1585203205164_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2mrKMO3EOgk
