아티스트,곡명,앨범명,앨범이미지,유튜브링크
Chihiro Yamazaki,Tombo In 7/4,GOOD ONE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/463/156/80463156_1410951951310_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JZnyviGekYg
Marcos Ariel & Tigres Da Lapa,Tico Tico No Fuba,Marcos Ariel & Tigres Da Lapa,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/260/118/80260118_1308536460502_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SpaCcqWmDVs
Spyro Gyra,Para Ti Latino,Fast Forward,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/920/774/81920774_1614270933537_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uoV3voC6zfw
Michel Camilo,Blue Bossa,Michel Camilo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/034/464/108/34464108_1413437620221_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4JkhVVXz_IM
Marco Pereira,Cristal,Essence,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/014/293/82014293_1619290545638_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PxhijCNXanA
Pan Brazil,Samba for Carmen,With Deise Andrade,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/037/293/82037293_1620470443608_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IFdLe_zO3OI
David Benoit,Watermelon Man,"Right Here, Right Now","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/019/951/15019951_1406255769783_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DIsLZeJ0ZMI
Eddie Palmieri,Palmas,Palmas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/489/216/80489216_1425450488232_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Z-QtRSfT05E
Michel Camilo,On Fire,What's Up?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/380/676/80380676_1661807777347_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QJ2nSV1d3TA
Los Indios Tabajaras,Maria Elena,Maria Elena,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/965/375/80965375_1513045640307_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_rQheOglFos
Trio Toykeat,Girl From Ipanema ,High Standards,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/019/890/710/19890710_1409133000818_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=X5bu-x9UKGE
Chick Corea & Return To Forever,Spain,Light As A Feather,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/895/749/81895749_1613097326765_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sEhQTjgoTdU
Caetano Veloso,Samba Em Paz,A Night In Brazil,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/144/453/80144453_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_HvGYNQu_5Q
Machito,Kenya (2000 Digital Remaster),Kenya,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/484/541/80484541_1424666562274_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y8ImfCWiXNc
Cal Tjader,Soul Sauce,Soul Sauce,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/184/233/81184233_1554860303752_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NZPJI2xGwkM
El DeBarge,My Heart Belongs To You,In The Storm,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/541/876/80541876_1431416975299_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mEPjm0ZVN6s
Lucas Estrada & Madism & Adam Woods,What You Do To Me,What You Do To Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/230/83684230_1680690143708_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7EQ2IzKV500
Sigala & MNEK,Radio,Radio,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/300/189/83300189_1670876155627_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=orLQZk-znEU
Dimitri Vegas & Steve Aoki & Chapter & Verse,Friends,Friends,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/595/677/83595677_1677742865108_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_nMubt_5Q1g
yaeji,Submerge FM,With A Hammer,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/454/83684454_1680192748584_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CTQUjWNKUGQ
Imanbek & Crazy Donkey & Brando,Fake (Feat. Paradigm),Fake,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/281/645/83281645_1673452578038_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=20kxu4nCOkw
Becky Hill & Galantis,Run,Run,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/550/155/82550155_1645582536959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Wx3gRx0Fyzk
Jonas Blue & Louisa Johnson,Always Be There,Always Be There,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/939/847/82939847_1661935241219_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vPM7HSX3BlU
Tiesto,Lay Low,Lay Low,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/405/823/83405823_1673043386956_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EfWmWlW2PvM
GIAGIOSI & Rocco,Where Is My Heart,Where Is My Heart,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/400/830/83400830_1673483376055_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lTYsKVvFv_g
ACRAZE & Galantis,Believe (Galantis Remix) (Feat. Goodboys),Believe (Galantis Remix),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/398/019/83398019_1672805182241_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oWu1iRkRgPA
Leandro Lopiano,Revolution,Revolution,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/412/626/83412626_1673198743117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2FqTN6CGvY0
Avicii,Sweet Dreams (Avicii Swede Radio Mix),Sweet Dreams,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/412/283/83412283_1673485140181_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Jy3iuXsUZxI
Skrillex & PinkPantheress & Trippie Redd,Way Back,Way Back,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/395/399/83395399_1673400745002_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ikIcl2q3oP8
David Jackson,Can't Stop Thinking About You,Can't Stop Thinking About You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/418/224/83418224_1673312804906_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-cWqXFZ186Y
Jerome & Hedara,Blow Ur Mind,Blow Ur Mind,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/400/776/83400776_1673482503810_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SF38uEM21V0
Pascal Letoublon & ILIRA,Time After Time,Time After Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/396/999/83396999_1672794968824_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Plm-Opu3ZV8
Craig David & Galantis,DNA,DNA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/867/006/82867006_1659331832985_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sbihOmJP7xU
