아티스트,곡명,앨범명,앨범이미지,유튜브링크
Sundae (선데),어떡해,어떡해,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/069/560/81069560_1527815420376_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Db45g4RlSYY
열두달 (12DAL),일초하루,일초하루,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/091/816/81091816_1533628637873_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=k0ppSu7rsUA
초콜릿벤치 (Chocolate Bench),Big Picture,"Sweet Moments, Chocolate Bench","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/051/711/81051711_1523263197625_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dMzOHnZrsG0
선비 (SunBee),두구두구두구 (DuguDuguDugu),두구두구두구 (DuguDuguDugu),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/087/478/81087478_1532483639894_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qhz50CuqzyA
리썬,파타야 (PATTAYA),파타야 (PATTAYA),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/088/771/81088771_1532585601545_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JQKSEohzb0E
Nujmah,BLACK COFFEE,BLACK COFFEE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/088/539/81088539_1532584725285_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GFDy_dUFD8E
슬로디 (Slou.D),나란 노래,나란 노래,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/080/027/81080027_1530261884794_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=W2o1m5aE758
원혁,UR LOVE,UR LOVE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/085/656/81085656_1531901848625_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CMR4ZFmh9GY
리차드파커스 (RICHARD PARKERS),Be Your,Be Your,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/413/584/80413584_1395825803140_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GpmgoNb4T3M
Jade,Completely Yours (Feat. Seungmin),Completely Yours,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/978/506/80978506_1503281666036_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YzlWetbL9IA
코델 (Codel),Beautiful Thing,Beautiful Thing,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/086/946/81086946_1532399834690_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8zJWmG8SVN4
오빠야문열어딸기사왔어,살랑살랑,살랑살랑,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/042/052/81042052_1520998113812_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Dyve9tROHzU
레거시 (Legacy),Like a Coffee,With your Heart,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/663/014/81663014_1603158034657_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NQkK_rikXKk
바른생활,Beautiful day,꿈의 세레나데,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/072/783/81072783_1528943159384_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QVIb8GV2aak
배인혁,좋아요 꾹 (DM x),좋아요 꾹 (DM x),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/041/686/81041686_1520576306009_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CrPCwQocSbw
담소네공방,그네,사랑오운 아띠,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/062/213/81062213_1525827947244_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=25-ScefZlW0
서교동의 밤,눈치 (Feat. 다원 & Lazier),눈치,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/976/379/80976379_1502265503712_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KTwBziNNeN8
Kate Bollinger,J'aime les filles,J'aime les filles,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/309/828/83309828_1673259225959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ekmw3o0QOXg
Lauren Juzang,Yeehoo!,Yeehoo!,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/133/666/83133666_1667558355672_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D8Z-GcDA6FU
Angelo De Augustine,Time,Tomb,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/148/971/81148971_1547451383125_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UqfMCJJ91NQ
Healing Potpourri,Think About Us,Blanket of Calm,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/471/170/81471170_1591872573306_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kHk-viXDhkA
Joey Dosik,Inside Voice,Inside Voice,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/097/024/81097024_1535107194308_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jllqzVubR2I
Starchild & The New Romantic,Boys Choir,Language,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/036/697/81036697_1519298110512_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1ZjtIw9A9lQ
Durand Jones & The Indications,Court Of Love (Feat. Aaron Frazer),American Love Call,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/166/919/81166919_1551682798616_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MHu11yPdatg
Bobby Oroza,Falling in Love,This Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/196/461/81196461_1556790673828_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=237EcBb3bxs
Linae,Stuck In The Rain,Stuck In The Rain,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/202/050/81202050_1557453461153_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YIcGEPU1Aas
JAKOB,All Your Love,All Your Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/135/085/81135085_1544145808901_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OY6SVSyFZYY
Barrie,Saturated,Happy to Be Here,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/200/322/81200322_1556878951287_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9zEWID7bKv0
Monophonics,Chances,It's Only Us,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/381/628/81381628_1584002202511_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Sxdok53KT2Y
Kelly Finnigan,Catch Me I'm Falling,The Tales People Tell,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/193/597/81193597_1556244718091_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0LTgqkucqbI
Kevin Krauter,Keep Falling In Love,Toss Up,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/077/494/81077494_1530087111455_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ig4_55lcE9E
Harlem Meat Company,I'm Not Gonna Be Anybody's Fool,Eccentric Soul : The Cash Label,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/937/947/80937947_1491876072983_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dmd39vmZNcc
Ben Pirani,Art School Girl,How Do I Talk To My Brother?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/105/950/81105950_1537492633356_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2N4vMo4ONeI
Pattie Ward,(Girls) You Have To Wait For Love,Eccentric Soul : The Path Label,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/154/132/81154132_1548841435715_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BzLijtxCKp8
Holy Hive,Ice Dreaming (Feat. Mary Lattimore),Harping,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/209/670/81209670_1558607962305_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fk-TZ90tAUQ
Peter Ivers,Take Your Chances With Me,Becoming Peter Ivers,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/299/324/81299324_1573121450756_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=de_JBZhG66g
SHINee (샤이니),방백 (Aside),SHINee The 3rd Album Chapter 1. 'Dream Girl - The Misconceptions Of You',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/343/653/80343653_1361238933063_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=edhlwtzKoqw
정승환,"친구, 그 오랜시간",다섯 마디,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/062/090/82062090_1622005853767_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CPKYzhkurC8
헤일,어떨 것 같아,어떨 것 같아,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/136/136/81136136_1544503844762_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yvfQMGb4mBs
아이유 (IU),(Bonus Track) Voice Mail (Korean Ver.),Modern Times - Epilogue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/388/410/80388410_1387504181560_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PBgv9Ey-Hb8
BIG Naughty (서동현),친구로 지내다 보면 (Feat. 김민석 of 멜로망스),친구로 지내다 보면,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/480/635/83480635_1674804368592_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=j7PZv7Ni7pk
규현 (KYUHYUN),사랑이 숨긴 말들 (One confession),The 1st Mini Album '광화문에서 (At Gwanghwamun)',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/476/538/80476538_1415780235463_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6tmaCp7Bw_8
토이 (Toy),좋은 사람 (Feat. 김형중),Fermata,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/539/15025539_1466564684206_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2VQc6OLy_EY
성시경,좋을텐데,Melodie D’ Amour,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/026/753/15026753_1608539029913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=80AiXsxVHak
더 넛츠 (The Nuts),사랑의 바보,The NuTs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/028/718/15028718_1405478682629_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bJxcFpSVZQY
SUPER JUNIOR (슈퍼주니어),앤젤라 (Angela),"The 3rd Album '쏘리 쏘리(SORRY, SORRY)'","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/075/594/966/75594966_1323227790522_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IDVW_8AIgsU
러블리즈,"절대, 비밀",러블리즈 7th Mini Album ［Unforgettable］,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/556/768/81556768_1598945650444_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xdVCxKWsMJw
결 (KYUL),가끔 연락하던 애,가끔 연락하던 애,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/597/113/81597113_1600733657952_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ali6HQtxIbg
박원,내 차례,또한번 엔딩 OST Part.1 (웹드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/361/542/81361542_1581669242364_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NHGFOyOOQ0M
멜로망스 (MeloMance),욕심,욕심,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/058/680/81058680_1524729006042_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2N1Y9RxAsxg
심규선 (Lucia),담담하게,꽃그늘,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/350/344/80350344_1366179449908_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zcyC8e0r_Sg
초승 (CHOSNG),마음 앞에서,마음 앞에서,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/720/317/82720317_1654145913971_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=S__YQPxw2Qk
온유 (ONEW),어떤 사이 (Sign),VOICE - The 1st Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/134/018/81134018_1543993885700_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tMDdbZ5Hl-Q
김민석 (멜로망스),취중고백,취중고백,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/443/459/82443459_1639718817315_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VMQl78z1DiY
iKON,BEST FRIEND,Return,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/019/709/81019709_1516862241098_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uSYofBvlhf4
DAY6 (데이식스),오늘은 내게,SUNRISE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/953/173/80953173_1496800598972_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=v13D8TCmvBQ
Ariana Grande & The Weeknd,Die For You (Remix),Starboy (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/624/603/83624603_1678738272353_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YQ-qToZUybM
Stephen Sanchez,Until I Found You,Until I Found You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/225/303/82225303_1630286427891_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GxldQ9eX2wo
