아티스트,곡명,앨범명,앨범이미지,유튜브링크
Radiohead,Everything In Its Right Place,KID A MNESIA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/893/174/82893174_1660188946281_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=onRk0sjSgFU
Spoon,I Turn My Camera On,Gimme Fiction (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/757/447/80757447_1665481536586_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OUpP02enWgU
Interpol,Evil,Antics (The Special Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/500/953/80500953_1665629898063_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dkpgz3uQ58U
Delays,Wanderlust,Faded Seaside Glamour,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/056/655/302/56655302_1678239929212_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=12iKTYOe6hA
Pavement,Harness Your Hopes (B-Side),Brighten The Corners : Nicene Creedence Ed.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/140/632/81140632_1545385859107_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w2Ww_O3ceKU
Radiohead,15 Step,In Rainbows,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/055/249/424/55249424_1462359286171_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mrzhjIYYB6E
Yo La Tengo,You Can Have It All,And Then Nothing Turned Itself Inside-Out,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/684/228/80684228_1665631251971_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yV_BIjhVsIw
St. Vincent,The Strangers,Actor,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/512/637/80512637_1430727831423_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hda35uTBw5k
Interpol,Rest My Chemistry,Our Love To Admire,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/050/934/850/50934850_1665631624218_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2uOyfqVuonQ
Spoon,The Underdog,Ga Ga Ga Ga Ga (2017 Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/994/962/80994962_1681963533461_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=p50JG49loH8
Vampire Weekend,A-Punk,Vampire Weekend,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/059/620/011/59620011_1408514138801_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_XC2mqcMMGQ
The Libertines,Time for Heroes (2022 Remaster),Up the Bracket (2022 Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/164/391/83164391_1668057680437_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=K41R7BaLwf8
Radiohead,"There, There",Hail To The Thief,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/045/310/15045310_1459849213464_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7AQSLozK7aA
The National,About Today (2021 Remaster),Cherry Tree (2021 Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/126/428/83126428_1667182369786_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=N-nq3SmUkvw
Interpol,Untitled,Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/501/040/80501040_1423042212997_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xqYFU1_SiBo
BLACKPINK,Pink Venom,BORN PINK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/188/82912188_1663300532914_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gQlMMD8auMs
BLACKPINK,Lovesick Girls,THE ALBUM,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/607/481/81607481_1630575142564_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dyRsYk0LyA8
지수 (JISOO),꽃,ME,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/687/323/83687323_1680228994484_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YudHcBIxlYw
