아티스트,곡명,앨범명,앨범이미지,유튜브링크
Chihiro Yamazaki,Tombo In 7/4,GOOD ONE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/463/156/80463156_1410951951310_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JZnyviGekYg
Marcos Ariel & Tigres Da Lapa,Tico Tico No Fuba,Marcos Ariel & Tigres Da Lapa,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/260/118/80260118_1308536460502_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SpaCcqWmDVs
Spyro Gyra,Para Ti Latino,Fast Forward,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/920/774/81920774_1614270933537_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uoV3voC6zfw
Michel Camilo,Blue Bossa,Michel Camilo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/034/464/108/34464108_1413437620221_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4JkhVVXz_IM
Marco Pereira,Cristal,Essence,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/014/293/82014293_1619290545638_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=g8BkIuD2dzA
Pan Brazil,Samba for Carmen,With Deise Andrade,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/037/293/82037293_1620470443608_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IFdLe_zO3OI
David Benoit,Watermelon Man,"Right Here, Right Now","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/019/951/15019951_1406255769783_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DIsLZeJ0ZMI
Eddie Palmieri,Palmas,Palmas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/489/216/80489216_1425450488232_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Z-QtRSfT05E
Michel Camilo,On Fire,What's Up?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/380/676/80380676_1661807777347_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QJ2nSV1d3TA
Los Indios Tabajaras,Maria Elena,Maria Elena,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/965/375/80965375_1513045640307_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_rQheOglFos
Trio Toykeat,Girl From Ipanema ,High Standards,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/019/890/710/19890710_1409133000818_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=X5bu-x9UKGE
Chick Corea & Return To Forever,Spain,Light As A Feather,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/895/749/81895749_1613097326765_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hspvnz2SjCw
Caetano Veloso,Samba Em Paz,A Night In Brazil,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/144/453/80144453_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_HvGYNQu_5Q
Machito,Kenya (2000 Digital Remaster),Kenya,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/484/541/80484541_1424666562274_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y8ImfCWiXNc
Cal Tjader,Soul Sauce,Soul Sauce,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/184/233/81184233_1554860303752_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NZPJI2xGwkM
YELLA (옐라),urs! (Feat. kani),urs!,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/724/626/83724626_1681452320478_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qfYSZrwfDs4
잔나비,초록을거머쥔우리는,잔나비 소곡집 ll : 초록을거머쥔우리는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/681/900/82681900_1652152551190_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tKt0yuPcqKk
야자수,Yaho!,Yaho!,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/737/391/83737391_1681694437774_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QKi3H6PKxKE
준서 (JUNSEO),아야진 바다 (AYAJIN OCEAN),아야진 바다 (AYAJIN OCEAN),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/726/671/83726671_1681440813893_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Mcs5WtVEbQQ
아난,먼지,상처의 기록,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/577/909/83577909_1678069855126_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GRiZckJlt34
엘리펀트 쥬스 (Elephant Juice),구스다운필로우,구스다운필로우,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/568/198/83568198_1677118745645_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1mc_zrxxsuQ
오윤 & 뎁트,24 Hours (Feat. 로키드 & 프리든),사랑의 윤곽,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/731/638/83731638_1681461160070_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yd8MlJFY52I
혜원,모란이 피고 지는 내 마음을 어쩌겠어요,모란이 피고 지는 내 마음을 어쩌겠어요,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/723/386/83723386_1681278453237_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JsfTuDkzc6s
볼빨간사춘기,사랑이 이별이 돼 가는 모습이,사랑.zip,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/573/83732573_1681437757420_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DzkJ6-0PpRs
숨비,사랑하는 너에게,사랑하는 너에게,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/726/829/83726829_1681451530528_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HRPcwSCDwEI
밤수성,나의 조각들로 별을 그리다,나의 조각들로 별을 그리다,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/441/024/83441024_1673856034437_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wpVEAr0-bIA
수수 (soosoo),사랑? (maybe it's love),Love Step,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/730/928/83730928_1681367217797_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YGqcp4X3PLI
미성,봄날소녀,봄날소녀 (A Girl In Spring),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/696/120/83696120_1680658254740_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=eIpttLpzMzc
2842,온도,3.8 mile,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/221/83684221_1680245369079_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cSPV4IFAhx8
LONY99,좋아질거야,좋아질거야,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/577/512/83577512_1677461449483_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9Wivi5g6HNI
The Trammps,Disco Inferno,Disco Inferno,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/051/447/15051447_1355374707258_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=u5lSeYd_riw
Sister Sledge,He's the Greatest Dancer (Remaster),We Are Family (Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/541/435/80541435_1651722327821_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NDN5PD00CpQ
Cheryl Lynn,Got To Be Real ,Cheryl Lynn,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/021/200/021/21200021_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fI569nw0YUQ
