아티스트,곡명,앨범명,앨범이미지,유튜브링크
Journey,Separate Ways (Worlds Apart),Frontiers,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/767/512/80767512_1650237342537_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LatorN4P9aA
Falco,Rock Me Amadeus,Rock Me Amadeus (EP),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/441/884/81441884_1656710194669_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cVikZ8Oe_XA
The Beach Boys,California Dreamin',Made In California,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/369/199/80369199_1555666323223_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6YAcOPPRpVY
The Insurgency,Psycho Killer,A Tribute to The Talking Heads,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/580/412/82580412_1646971826627_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EPTLzEa006g
Dead Or Alive,You Spin Me Round (Like a Record),Youthquake,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/053/982/15053982_1615452326275_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PGNiXGX2nLU
Extreme,Play With Me,Best Of Extreme,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/967/671/79967671_1408511362694_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nDWjWfLU2kQ
Kiss,Detroit Rock City,"Smashes, Thrashes And Hits","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/277/483/81277483_1570419321344_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fTqLf1A-Q-4
The Cramps,I Was A Teenage Werewolf (1989 Digital Remaster),Songs The Lord Taught Us,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/742/848/80742848_1453610255381_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CIz4lA3Cv1Q
Musical Youth,Pass The Dutchie,Anthology,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/139/768/81139768_1545125080024_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EsyUa63NM1E
The Surfaris,Wipe Out,Twist & Surf,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/992/189/81992189_1618198534806_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=p13yZAjhU0M
Starpoint,Object of My Desire,Restless,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/557/751/80557751_1667493629668_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=T9l9ewaz9Gk
Ricky Nelson,Travelin' Man (Remastered),Rick Is 21,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/351/647/81351647_1580362972245_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YUv2xzvxLT8
Baltimora,Tarzan Boy,Tarzan Boy : The World Of Baltimora,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/240/065/81240065_1565768629734_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_r0n9Dv6XnY
