아티스트,곡명,앨범명,앨범이미지,유튜브링크
Colde (콜드),와르르 ♥,Love part 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/217/550/81217550_1559286050640_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=H52OZEXtEnQ
백예린 (Yerin Baek),물고기,물고기,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/705/571/82705571_1653353141390_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DNf6mIZz6Zo
#안녕,해요 (2022),해요 (2022),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/727/185/82727185_1654248208229_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P6gV_t70KAk
다비치,나의 첫사랑,Season Note,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/689/476/82689476_1652678222501_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uUSLZBIUdNY
SOLE (쏠),RIDE (Feat. THAMA),RIDE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/999/634/80999634_1509670888087_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PsIMSIh_snM
최유리,그댄 행복에 살텐데 (2022),그댄 행복에 살텐데 (2022),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/340/958/83340958_1672044272174_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mwTnWKAvFyo
ITZY (있지),WANNABE,IT'z ME,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/382/519/81382519_1583735274558_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Vp9I_m6znMM
백예린 (Yerin Baek),Square (2017),Every letter I sent you.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/329/064/81329064_1575961779895_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4iFP_wd6QU8
권진아,Lonely Night,슬기로운 의사생활 OST Part 1 (tvN 목요드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/345/684/81345684_1584066899851_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tmnRhGO2o3g
주호,내가 아니라도,내가 아니라도,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/602/752/82602752_1648117827255_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lAq9l8o6UXU
ITZY (있지),달라달라,IT'z Different,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/158/739/81158739_1549951243247_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pNfTK39k55U
aespa,Next Level,Next Level,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/049/997/82049997_1621238537359_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4TWR90KJl84
라붐 (LABOUM),상상더하기,Fresh Adventure,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/807/178/80807178_1459844940100_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=m0o7fbNKhpM
Red Velvet (레드벨벳),빨간 맛 (Red Flavor),The Red Summer - Summer Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/964/658/80964658_1499421855077_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WyiIGEHQP8o
프로미스나인,WE GO,9 WAY TICKET,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/050/020/82050020_1621237651183_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=t8KtQ8-nImI
GOT the beat,Step Back,Step Back,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/464/673/82464673_1641190741746_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uBY1AoiF5Vo
드림캐쳐,날아올라 (Fly High),Prequel,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/970/759/80970759_1501140311569_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=39yeTdIuKJU
브레이브걸스 (Brave girls),롤린 (Rollin'),Rollin',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/927/790/80927790_1614654739083_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-Axm4IYHVYk
마마무(Mamamoo),넌 is 뭔들,Melting,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/793/723/80793723_1456409426734_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QbhmTM1cRro
다비치,팡파레,Season Note,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/689/476/82689476_1652678222501_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BtPHw6YLMN0
싸이 (Psy),That That (Prod. & Feat. SUGA of BTS),싸다9,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/662/688/82662688_1651196114166_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8dJyRm2jJ-U
PRODUCE 101,PICK ME,PRODUCE 101 - PICK ME,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/765/910/80765910_1450336740266_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=M3rg-rh6MPo
헤이즈 (Heize),처음처럼 (Feat. 개리),HAPPEN,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/051/546/82051546_1621497965521_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=J8BtPw9nSjs
