아티스트,곡명,앨범명,앨범이미지,유튜브링크
2단지,지평,지평,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/373/291/83373291_1672708263823_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NROBs0Lmb0o
해파,마음,죽은 척하기,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/761/393/82761393_1655456134099_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JQAPCEgyeRI
박진휘,어른이 될게 (Feat. 김민성),어른이 될게,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/271/071/83271071_1670485152627_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6eF1C0_fpWU
김현창,어린맘,Demo songs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/401/498/83401498_1673315872096_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GFb9uG_veco
PPCX (피터팬컴플렉스),산책의 간격 (Feat. leeSA),1999,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/084/199/81084199_1531476298395_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DAEd-aMjPDU
n@di (나디),J,J,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/267/114/83267114_1670377903570_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=b6Jpk1EF9sA
정우,양,양｜종말,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/453/199/82453199_1640328125934_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=C9hqwSZWE7M
이준형,감기,UTOPIA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/974/128/82974128_1663135106404_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UTi7mWAxSII
예람,노래를 부르면,우리는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/366/129/82366129_1635913083239_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ff99AMzDsA4
Woshi,그대 슬픈 밤하늘에,기록,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/781/159/82781159_1656311325433_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AMu93H_P5E8
안희수,무채색이 돼버린 우리는,무채색이 돼버린 우리는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/338/840/83338840_1672041600639_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JGJHXJnDBls
