아티스트,곡명,앨범명,앨범이미지,유튜브링크
정동환 (멜로망스),Flowering,정동환 피아노 소품집 'White',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/105/198/82105198_1624516195032_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UXUmrdNM85k
이루마,non è la fine,non è la fine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/786/83727786_1681284627527_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zWG5nDxDcT4
Nakamura Yuriko,Whispering Eyes,Dear Green Field - Yuriko Nakamura Solo Best (Repackage),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/223/100/80223100_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xMKogNpKxXI
mellow button,같은 시간 속에 우리는,같은 시간 속에 우리는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/208/83684208_1680242621447_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aRShOHXDRRc
윤한 (Yoonhan),Portrait,Portrait,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/625/843/83625843_1678763848438_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MmjmZxKrdRk
Alexis Ffrench,One Look (Solo Piano Ver.),Viva Vida Amor (Solo Piano Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/994/055/82994055_1666210539675_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LPYKADW3Y4Y
Chloe Flower,Flower Through Concrete,Flower Through Concrete,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/552/618/81552618_1598492220891_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hl-K8ONCknI
이루마,Sunset Bird (Piano Septet Ver.),The Rewritten Memories,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/965/594/81965594_1616655026122_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gI0r7WZSkLY
July Moon (주아),힘들때 들어요,힘들 때 듣는 노래,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/696/412/83696412_1680513085560_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qt8EpUdJJJo
임연주,The Blooming Flowers,The Blooming Flowers,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/683/887/83683887_1680166529364_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kuNqh_4kIGg
정동환 (멜로망스),그 밤,정동환 피아노 소품집 'White',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/105/198/82105198_1624516195032_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_7silpseFR8
Nakamura Yuriko,Lament,미소의 행로 (The Place To Return),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/062/008/613/62008613_1409018090097_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JK_ZP9VPjZ8
