아티스트,곡명,앨범명,앨범이미지,유튜브링크
공부 BGM,공부하며 듣기 좋은 연주곡,공부하며 듣기 좋은 연주곡,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/202/251/81202251_1557392557543_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Q-iEfzaikBI
백색소음 명상,"백색소음 (독서, 도서관 소리)","명상 백색소음 ASMR, 마음의 안정으로 건강과 편안한 휴식을 주는 심신안정 화이트노이즈 2","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/146/011/81146011_1546998490396_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=x1Volfx6fU0
공부 ASMR,집중력 향상 연주곡 (백색소음),"공부가 잘되는 피아노 연주곡 베스트 (공부, 시험, 집중, 암기, ASMR, 편안한, 뉴에이지) 5","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/119/481/81119481_1540952639787_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6exkD3MM-x0
공부 ASMR,공부 (백색소음),"공부가 잘되는 피아노 연주곡 베스트 (공부, 시험, 집중, 암기, ASMR, 편안한, 뉴에이지) 26","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/151/164/81151164_1548035774894_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OKjcchoQVRo
릴렉싱 모드 (Relaxing Mode),열공에 좋은 동기부여 음악,공부할때 좋은 잔잔한 음악 모음집 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/452/592/82452592_1640313687146_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WnH1amxo7N0
백색소음 명상,공부 잘 되는 도서관 백색소음 (집중 소리),"ASMR 모음집, 행복세포를 깨워주고 몸과 마음의 에너지 재충전을 위한 건강한 백색소음 모음집","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/159/803/81159803_1550166988315_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bTJP8RfaCJQ
공부 ASMR,방해되지 않는 피아노 연주곡 (백색소음),"공부가 잘되는 피아노 연주곡 베스트 (공부, 시험, 집중, 암기, ASMR, 편안한, 뉴에이지) 3","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/118/396/81118396_1540520190186_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kygIFx4PMMY
슬로우래빗,공부 (Get Focused),공부할때 듣는 음악 (Your Study Mate),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/207/803/81207803_1557971897830_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PVu6_iHDlFs
아쿠아마린 (AquaMarine),집중이 잘 되는 음악 (Focusing Music for Concentration),공부할때 듣기 좋은 피아노 연주곡,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/427/616/81427616_1588517171597_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Gjf_fYx5KJA
아쿠아마린 (AquaMarine),공부 (Study),공부할때 듣는 음악,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/369/412/81369412_1582766184353_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mARsElg0L1w
집중력음악,집중,공부,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/164/222/81164222_1550813322117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Q-iEfzaikBI
백색소음 공부,"공부할 때 듣기 좋은 백색소음 1 (빗소리, ASMR, 백색소음, 화이트노이즈, 집중, 공부, 시험)","공부할 때 듣기 좋은 백색소음 1 (ASMR, 백색소음, 화이트노이즈, 시험, 시험기간, 중간고사, 기말고사, 공부, 집중, 집중력)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/212/853/81212853_1558935782597_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bAyyZeAaii4
빗소리와 피아노,"수능을 위한 공부잘되는 명상음악 (집중, 수학능력시험, 긴장해소)","비소리 피아노자장가ASMR 테라피 모음집, 깊은잠과 수면을 위한 잔잔한 화이트노이즈 백색소음 명상 숙면 클래식자장가 모음집","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/182/474/81182474_1554981980404_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P7YN8fLGUgo
아쿠아마린 (AquaMarine),공부할때 듣는 음악 (Study Music),집중력 높이는 음악,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/393/218/81393218_1584891307571_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=l24QJmwrxOE
해피트리오 (Happy Trio),집중,공부할 때 듣는 음악 3 - 집중,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/365/273/81365273_1582245963856_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hW1zaYayLek
공부 ASMR,암기할때 좋은 백색소음 (백색소음),"공부가 잘되는 피아노 연주곡 베스트 (공부, 시험, 집중, 암기, ASMR, 편안한, 뉴에이지) 6","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/120/919/81120919_1541052712731_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kXqTIq0Cuqc
공부 ASMR,방해되지 않는 피아노 연주곡 (백색소음),"공부가 잘되는 피아노 연주곡 베스트 (공부, 시험, 집중, 암기, ASMR, 편안한, 뉴에이지) 5","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/119/481/81119481_1540952639787_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kygIFx4PMMY
피아노 연주곡 모음,누군가의 밤,위로가 되어주는 피아노 연주곡 모음 2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/168/828/81168828_1552007536988_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zrlOgCyZL74
요가와 명상,명상 (Meditation),"요가와 명상을 위한 완벽한 마음안정 음악테라피 소품집 3 (숙면,힐링,태교,공부,불면증,호텔,카페,뉴에이지)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/161/120/81161120_1550539350991_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=e2tzvM1Gcj0
집중력음악,집중 (편안함),공부,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/164/222/81164222_1550813322117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Q-iEfzaikBI
클래식 재즈 피아노 (Classic jazz piano),머리를 맑게,"공부할 때 듣는 클래식 재즈 피아노 #1 (피아노, 공부, 집중력, 수능, 편안함, 힐링, 명상)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/999/646/80999646_1509613097970_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BMYkBErEazM
집중할 시간 (Time to concentrate),도서관 (Library),"공부하기 전, 집중을 위한 연주곡 음악 #2","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/218/234/81218234_1559629106912_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hGrIgIfCxP0
공부 ASMR,집중력 향상 연주곡 (백색소음),"공부가 잘되는 피아노 연주곡 베스트 (공부, 시험, 집중, 암기, ASMR, 편안한, 뉴에이지) 2","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/116/757/81116757_1540347237436_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6exkD3MM-x0
일상의 휴식,스터디를 위한 명상음악,"뇌활동 집중음악, 공부 중 정신과 마음을 편안하게 하는 힐링 심리안정 피아노 멜로디 휴식음악 모음집 1","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/150/527/81150527_1548383889816_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P8_8C2kA1WY
스터디에이드 (Studyaide),기억력 향상을 위한 레시피,공부에 도움이 되는 음악 Vol.4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/562/916/80562916_1429166061177_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AaSMOJD1VnU
Vitamin String Quartet,Memories (Bonus Track),"VSQ Performs the Hits of 2020, Vol. 2 (Deluxe Ver.)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/926/874/81926874_1614658858123_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LDpOXE_b3eI
Vitamin String Quartet,"thank u, next",Bridgerton (Covers from the Netflix Original Series),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/809/287/81809287_1608834126228_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tmljfYBkGVg
