아티스트,곡명,앨범명,앨범이미지,유튜브링크
Alesso & Ty Dolla $ign,Caught A Body,Caught A Body,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/706/812/83706812_1680691546227_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uPC0Jm-MEJc
Ka2,AfriKa2,AfriKa2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/457/83727457_1681278031053_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=10A9krc6zvY
KarmaVioletta,Dream,Dream,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/726/690/83726690_1681370145811_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TeYft3yNC3Y
Mark Sixma & M6 & Rub!k,Beside Me,Beside Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/586/756/83586756_1678077991158_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZuQbfJEtIa8
Pablo Nouvelle,You Make My Days Better (Bondax Remix),You Make My Days Better (Bondax Remix),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/584/770/83584770_1678077468434_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UPZA51k9MSs
Saco & Sparkle,Know Ya (Feat. Isabel Prada),Know Ya,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/720/544/83720544_1681188864488_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ogfTbaqNB-w
Eugenio Tokarev & Bruno Oloviani,Manje,Manje,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/584/668/83584668_1678077094975_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4xbfWtDK1UU
Braaten,Rather Be Happy (Feat. hazel),Rather Be Happy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/725/410/83725410_1681269436902_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sqdWr3Gl1CY
Phonk Archive,SCOPIN (Feat. Lern1ks & Trunker),SCOPIN,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/606/995/83606995_1678154497699_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VXaq77GiyEo
lofi'chield,Escape from the Police,Escape from the Police,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/604/244/83604244_1678073734016_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EQq3tuJ7Q-g
Lewis OfMan & Coco & Clair Clair,Misbehave (PPJ Remix),Sonic Poems Remixes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/603/611/83603611_1678065672528_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=H8PZySWw0Fo
twfloors.,The Way You Moving,The Way You Moving,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/541/155/83541155_1676107277042_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fwsHmwp29x8
BUNT. & Elley Duhé,Lost My Mind (Wake Up),Lost My Mind (Wake Up),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/682/180/83682180_1680140546166_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yPXIS6oPO4w
aespa,Hold On Tight,Hold On Tight,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/669/267/83669267_1679944873408_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fvtzZFhrKLE
David Shane & Ashton Love & Dizillian,Love Me Like You Do,Love Me Like You Do,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/674/081/83674081_1680143623104_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=waGXg2sHsjY
Super Duper,Silver Lining (Feat. Daniella Mason),Silver Lining,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/663/215/83663215_1679850434109_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=eyMwPZt97l8
Leo,Lala Love,Lala Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/650/478/83650478_1680078358589_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fBGJ221t9C8
Enigmatic & Skarby,Garden of Eden (Original Mix),Garden of Eden,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/872/83665872_1680055561906_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=M6gtyy-U-FQ
MYYOTATO,BLUES,BLUES,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/666/912/83666912_1679896318299_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=q80bUCT0uQ0
Mark Knight & Todd Terry & James Hurr,Music Makes You Happy (Feat. Darryl James & David Anthony),Music Makes You Happy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/678/949/83678949_1680078163929_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=soGjhszuZUE
Tom Caruso,Looking At Me,Looking At Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/578/575/83578575_1677259882552_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=70LhUzJu5w8
Urbanski & Szatt,Phobos,Phobos,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/312/83684312_1680191447440_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PtSBaiIckq4
Digital Rey,SKY ADVENTURE,Sky Adventure,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/526/421/83526421_1675810843703_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nLc0zNyMcBM
juuku,No Turning Back (Feat. Namelle),No Turning Back,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/641/532/83641532_1679968404658_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qWRjFzHSQ-A
Martin Ikin,Oscill8,Oscill8,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/679/015/83679015_1680078258932_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8UdWDHtmrLE
Tostone,From Dusk Till Dawn,From Dusk Till Dawn,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/598/892/83598892_1677875802231_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Wa5nu05WeKE
The Jungle Giants,Trippin Up,Trippin Up,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/553/431/83553431_1676565361073_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9kv-omVMddA
Glen Check & Machinedrum,"Dive Baby, Dive (Machinedrum Remix)","Dive Baby, Dive (Machinedrum Remix)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/592/176/83592176_1679395541148_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1vQ6dYZIYQY
UnknownMask!,Elimination,Elimination,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/667/049/83667049_1679898042244_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hbLc82hnE8c
Brando,Sunday Monday,Sunday Monday,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/584/740/83584740_1678077478415_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Tt6LzbcNJP0
Zedd & Grey & Maren Morris,The Middle,Happy Now,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/025/759/81025759_1531963335766_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=M3mJkSqZbX4
Bala,barla,barla,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/534/846/83534846_1675986398671_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pZUHD7AOJww
ODO Grab,PINPIN,PINPIN,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/597/192/83597192_1678094469598_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hAc2SS1kDoo
BRKLYN,Closer,House Is Home,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/584/810/83584810_1678077695044_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mIIZGBe6ASQ
ODYSSAY,Unbroken,Unbroken,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/584/863/83584863_1678077805317_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GYrjkhuy0Qo
Stangen & Szaby,Die Anyway,Die Anyway,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/604/581/83604581_1678159674110_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Dlkxh_jlrmU
Lonely in the Rain & bailey,Anywhere,Anywhere,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/608/175/83608175_1678176656246_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=43Nka0OMn6o
Pangol,Calling 2 (Avellano Fashion Show Soundtrack),A year (Avellano Fashion Show Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/599/704/83599704_1677892855746_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IWUieE0Dv7E
ORACLE & Nina Carr,Golden,Golden,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/597/249/83597249_1678155548786_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XFG9HhFRuQ8
Aether One,Silence,Acceptance,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/597/280/83597280_1678157258832_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hfEcZ9UkHK8
SLANDER & Dylan Matthew,Love Is Gone,Thrive,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/001/551/83001551_1663917090117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hCrtcVDgCGw
Alan Walker,The Drum,"Walkerverse, Pt. I","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/202/82638202_1655369481808_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zbH5evnD7c0
Epiik & BEOM (KOR) & Arkins,봉덕레인저 (Bongduck Ragers),BONGDUCK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/759/594/82759594_1655445547116_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gr9_5y5JXTs
Sigala & MNEK,Radio,Every Cloud - Silver Linings,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/553/861/83553861_1676574743772_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=orLQZk-znEU
Polyphonix & Elementrix,Mistakes (Feat. Henry),Mistakes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/525/774/83525774_1675798242535_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Eb7x8dXLyRk
Dan Garcia & Emjay & FLVCKKA,Tirando Flow Sesh #8,Tirando Flow Sesh #8,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/595/209/83595209_1677735643393_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6wHnAfuE0bo
DJ Escape,Take Notes,Take Notes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/597/186/83597186_1678157524920_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DD6Mmt5aPeg
Sad China,ilyimy2 (Tough Sell Remix),i love you Remix you,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/551/83727551_1681282569286_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=viD9QSj2GO4
Alok & Solardo,Over Again,Over Again,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/879/83684879_1680198153299_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mPJxT5cMhYc
Crankdat & Rated R,Start Shit,Slaughter House,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/726/539/83726539_1681378059244_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xoi1n4pUL4c
Bok Nero,Motion,Motion,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/695/893/83695893_1680592687289_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-mkgdpVobh0
Marcelo Ignacio & Mark Beseliya,Treasure,Treasure (EP),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/729/161/83729161_1681317628118_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ltt7r9pLVTs
Ekoboy,Tunnel of Luv,Tunnel of Luv,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/729/103/83729103_1681316176345_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WKsaeG05zSQ
Felium & Illuzions & Bayla G,Back & Forth,Back & Forth,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/729/039/83729039_1681315306667_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7nD_EJ6_TCk
Hermanez,Rewire,Rewire,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/728/920/83728920_1681300867194_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=F-Jq-MrP55E
Flug & Marco Faraone,Gino Is Alive,Gino Is Alive (EP),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/728/919/83728919_1681300864094_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8WoJw9fGebg
Y U QT & Dusky,Rush,Rush,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/728/114/83728114_1681290928055_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dxfW0s_VlFs
BLACKPINK,Pink Venom,BORN PINK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/188/82912188_1663300532914_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gQlMMD8auMs
BLACKPINK,Lovesick Girls,THE ALBUM,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/607/481/81607481_1630575142564_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dyRsYk0LyA8
