아티스트,곡명,앨범명,앨범이미지,유튜브링크
Holy Hive,Broom,Float Back To You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/455/449/81455449_1590661999029_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6V6TuUCg9vU
Royce Wood Junior,What We Doing And Where Are We Going? (WWDAWAWG) (Feat. Jamie Woon & Ross Hutchison),What We Doing And Where Are We Going? (WWDAWAWG),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/828/758/82828758_1658482330816_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=T8LrrZJ6uj4
quickly & quickly,Wy,The Long and Short of It,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/185/391/82185391_1629283019686_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gRPhjfGIx6k
Kindness,Swingin' Party,"World, You Need a Change of Mind","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/809/121/82809121_1657249958310_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OD91fV47lA8
Toro Y Moi,The Loop,MAHAL,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/664/320/82664320_1651210909962_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CvcoxunP7KU
DRAM (Shelley FKA DRAM),Chocolate Covered Strawberries,Chocolate Covered Strawberries,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/713/593/82713593_1654249681012_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vypqvDjxgdA
Moses Sumney,Plastic,Live From Blackalachia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/433/787/82433787_1639359012504_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YpvBlhdrqz8
Homeshake,Mindless,Under The Weather,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/245/079/82245079_1631157001761_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PnZpZfvNcnA
Barrie,Canyons (FaltyDL & Shura Remix),Singles,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/111/547/81111547_1539340630646_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=O6zI7a5n0Bs
Cisco Swank & Luke Titus,Joint 3 (Explicit Ver.) (Feat. Malaya),Some Things Take Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/626/475/82626475_1649757801833_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=S4jNEaACTAI
yaeji,Passionfruit,EP2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/013/104/81013104_1513908732520_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xHzB8KAuEr8
Molly Lewis,Miracle Fruit,Miracle Fruit,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/822/355/82822355_1658223901601_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lTfu2_iGud4
Okay Kaya,Ascend and Try Again,Watch This Liquid Pour Itself,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/348/297/81348297_1579774776625_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bAhAG4jaZws
Wet,Tell Me Why,Pink Room,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/780/952/82780952_1656670387965_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7Yw9IxykmUI
Nightmares on Wax,Wonder (Feat. Haile Supreme & Shabaka Hutchings),Shout Out! To Freedom...,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/358/167/82358167_1635324627543_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vr6vuLnaVMI
Calvin Harris & Justin Timberlake & Halsey & Pharrell Williams,Stay With Me,Stay With Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/821/428/82821428_1657575670232_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=eMQuofsOOzo
Beyonce,CUFF IT,RENAISSANCE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/546/82858546_1658986842283_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yrtWLyp5gLI
Sam Feldt & 몬스타엑스,Late Night Feels,Late Night Feels,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/828/866/82828866_1657867241221_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LyM98CgoW6o
blackbear,hot girl bummer,everything means nothing,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/543/629/81543629_1632445373436_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yMlKJGKyoCo
ROSALIA,DESPECHÁ,MOTOMAMI ＋,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/195/82858195_1662625125798_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5g2hT4GmAGU
Sofi Tukker,Kakee,WET TENNIS,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/552/342/82552342_1645677637829_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RJKFvNg4jwo
24KGoldn,Mood (Feat. iann dior),El Dorado,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/967/221/81967221_1616718927887_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GrAchTdepsU
Marshmello & Khalid,Numb,Numb,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/723/417/82723417_1654134026768_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mRXKnG2eugU
Harry Styles,As It Was,Harry's House,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/619/043/82619043_1652954009555_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=H5v3kku4y6Q
Tai Verdes,sheluvme,HDTV,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/466/322/82466322_1663226473862_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1zx5EoV05v0
Alan Walker,The Drum,"Walkerverse, Pt. I","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/202/82638202_1655369481808_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zbH5evnD7c0
Sigala & Talia Mar,Stay the Night,Stay the Night,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/672/436/82672436_1651599626684_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DiP5eorRbzo
Beyonce,SUMMER RENAISSANCE,RENAISSANCE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/546/82858546_1658986842283_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QDXcMqgO7oQ
Calvin Harris & Normani & Tinashe & Offset,New To You,New To You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/853/328/82853328_1660106297133_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4w22l9mvIlY
Harry Styles,Late Night Talking,Harry's House,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/619/043/82619043_1652954009555_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4VaqA-5aQTM
Lewis Thompson & David Guetta,Take Me Back,Take Me Back,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/772/709/82772709_1658277927719_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pKX3ds5W7QU
Fivio Foreign & The Kid LAROI,Paris to Tokyo,Paris to Tokyo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/809/929/82809929_1657057229655_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uRfnVY28x1k
Lil Nas X & Youngboy Never Broke Again,Late To Da Party,Late To Da Party,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/777/847/82777847_1656089151486_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yyN_7Y-qRFM
AJR,3 O'Clock Things,OK ORCHESTRA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/360/261/81360261_1616725471861_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MBa274DohCg
Tom Grennan,All These Nights,All These Nights,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/795/308/82795308_1657860353585_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QwEXXM84Xww
Camila Cabello,Bam Bam (Feat. Ed Sheeran),Familia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/553/768/82553768_1649383543127_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-8VfKZCOo_I
George Ezra,Green Green Grass,Gold Rush Kid,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/625/005/82625005_1649086828720_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VQeW62X8rEA
Margaret,Cry In My Gucci,Cry In My Gucci,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/650/750/82650750_1650562856385_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-su7QCKr7YI
AJ Mitchell,Lovers On The Moon,SKYVIEW (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/315/082/82315082_1639704036233_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=on0t9U4m2lg
홍진호,그때는 우리가,그때는 우리가,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/838/736/82838736_1658220327318_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=btuV_FvjuW0
홍진호,그때는 우리가 (Feat. 선우정아),Modern Cello,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/856/354/82856354_1658902535896_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=482IM1BEh2w
Chad Lawson & Peter Gregson & Esther Yoo & James Southall,Lawson : fields of forever,fields of forever,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/826/627/82826627_1657783531329_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=M1Ms1J-E-yE
Chad Lawson,Lawson : to hold the stars in the palm of your hand (solo piano),to hold the stars in the palm of your hand (solo piano),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/648/013/82648013_1650431726760_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xbN3P_0_P4Q
조성진,"Liszt : Consolations, S.172 - No. 3 Lento placido in D Flat Major","Liszt : Consolations, S. 172 : No. 3 Lento placido in D Flat Major (Musical Moments)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/018/297/82018297_1619587526232_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=a1E26wwblwA
Fritz Wunderlich,"Schumann : Dichterliebe, Op.48 - 1. Im Wunderschonen Monat Mai",Schumann: Dichterliebe / Beethoven & Schubert: Lieder,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/288/919/80288919_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5ofA_v43LvE
Sheku Kanneh-Mason,Cry Me a River (Arr. for Cello and Piano),Cry Me a River (Arr. for Cello and Piano),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/857/744/82857744_1658963436469_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=I7AWyNuAXec
