아티스트,곡명,앨범명,앨범이미지,유튜브링크
지민 & 하성운,With you,우리들의 블루스 OST Part 4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/650/152/82650152_1650604323991_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Z9b0Hj-BfaM
김종완 (NELL),용기,이상한 변호사 우영우 OST Part.1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/792/377/82792377_1656465712440_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=a8HyGir3Ot8
V,Christmas Tree,그 해 우리는 OST Part.5,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/453/579/82453579_1640326781250_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lj8TV9q59P4
멜로망스 (MeloMance),사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/540/759/82540759_1645152997958_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=McidaTgrQB0
리아 (ITZY),푸른꽃,환혼 : 빛과 그림자 OST Part 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/313/523/83313523_1671179861829_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fvTHBV0XIIk
tearliner,We Swim in Dreams (Feat. 방재민),아무것도 하고 싶지 않아 OST Part 6,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/265/918/83265918_1670229899760_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aYUIq3NKDPk
스텔라장 (Stella Jang),지금을 사랑해,치얼업 OST Part.4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/104/490/83104490_1666526137358_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jTboPN89Ofk
일레인,아이,슈룹 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/246/546/83246546_1670204036377_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IGgDXQ9N5ew
민서 (MINSEO),괜찮다고,얼어죽을 연애따위 OST Part.6,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/160/038/83160038_1668077236432_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JUAL1Gms2tc
태일 (TAEIL),Starlight,스물다섯 스물하나 OST Part 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/531/463/82531463_1644541249751_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RNj-GhxPM0g
