아티스트,곡명,앨범명,앨범이미지,유튜브링크
The Marias,Little by Little,CINEMA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/026/338/82026338_1624585826499_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dkqHTgdT8-w
Sade,Kiss of Life (Remastered),The Ultimate Collection,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/256/484/80256484_1646296795953_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=s_ENxxAV7Uc
Nothing But Thieves,If I Get High,Nothing But Thieves (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/743/083/80743083_1568725315689_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xWpEZguQE8E
Lianne La Havas,Lost & Found,Is Your Love Big Enough?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/300/884/80300884_1341907471794_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ou5uZjDNEko
The Velvet Underground & Nico,Femme Fatale,The Velvet Underground & Nico,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/049/046/15049046_1344179986308_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ggHPtzVSEeE
Gregory Porter,Hey Laura,Liquid Spirit (Expanded Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/475/974/80475974_1415619381996_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZWUAKq-reLQ
Joni Mitchell,Blue,Blue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/049/685/15049685_1409040820299_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MvR7Dkg4NQU
Mazzy Star,Fade Into You,So Tonight That I Might See,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/920/975/79920975_1345084323421_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ImKY6TZEyrI
Chet Baker,Blue Room,The Jazz Series,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/778/865/80778865_1463623753328_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bkhso0Re_y8
The Smiths,There Is A Light That Never Goes Out (2011 Remastered Ver.),The Queen Is Dead (2011 Remastered Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/054/396/15054396_1319089833969_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3r-qDvD3F3c
