아티스트,곡명,앨범명,앨범이미지,유튜브링크
Coldplay,⦵,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_HCCTVGlTOg
Coldplay,Higher Power,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3lfnR7OhZY8
Coldplay,Adventure Of A Lifetime,A Head Full Of Dreams,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/755/940/80755940_1449125453388_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QtXby3twMmI
Coldplay,Paradise,Mylo Xyloto,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/292/514/80292514_1335426565865_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1G4isv_Fylg
Coldplay,The Scientist,A Rush Of Blood To The Head,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/043/717/15043717_1301401760257_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RB-RcX5DS5A
Coldplay,Viva La Vida,Viva La Vida Or Death And All His Friends,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/060/293/453/60293453_1438154839807_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dvgZkm1xWPE
Coldplay,Hymn For The Weekend,A Head Full Of Dreams,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/755/940/80755940_1449125453388_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YykjpeuMNEk
Coldplay & Selena Gomez,Let Somebody Go,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CWCMGIG1Y54
Coldplay,Yellow,Parachutes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/040/515/15040515_1466488509766_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yKNxeF4KMsY
Coldplay & We Are KING & Jacob Collier,♡,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sKrsE2lBhu4
Coldplay,People of The Pride,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_MOmdDLQVn4
Coldplay,Clocks,A Rush Of Blood To The Head,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/043/717/15043717_1301401760257_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=d020hcWA_Wg
Coldplay,∞,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CNmL8icWWRg
Coldplay,Midnight,Ghost Stories,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/465/550/80465550_1411631847630_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BQeMxWjpr-Y
Coldplay & 방탄소년단,My Universe,My Universe,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/290/326/82290326_1632386644735_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3YqPKLZF_WU
Coldplay,A Sky Full Of Stars,Ghost Stories,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/465/550/80465550_1411631847630_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9RvZ1jyjwFA
Coldplay,Sparks,Parachutes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/040/515/15040515_1466488509766_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1aokooixKIo
Coldplay,Don't Panic,Parachutes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/040/515/15040515_1466488509766_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yWeuUwpEQfs
Coldplay,In My Place,A Rush Of Blood To The Head,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/043/717/15043717_1301401760257_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gnIZ7RMuLpU
Coldplay,Humankind,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=l6_nRqIz_9o
Coldplay,Fix You,XandY,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/020/370/777/20370777_1301401458920_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Z0IZ3MjGFEo
Coldplay,Biutyful,Music Of The Spheres,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/033/716/82033716_1634222291930_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=raHLFg6bkNI
Boys Like Girls,The Great Escape,Boys Like Girls,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/051/993/327/51993327_1445935655337_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JGPgxoIPY6Q
Simple Plan,You Suck At Love,Get Your Heart On! (2012 New Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/293/673/80293673_1336377326774_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=09tbmD563hU
Sum 41,The Hell Song,Does This Look Infected?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/039/033/045/39033045_1405661642699_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7pE8ReA5cn4
