아티스트,곡명,앨범명,앨범이미지,유튜브링크
노리플라이 (No Reply),랑데뷰 (Rendezvous),랑데뷰 (Rendezvous),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/311/83753311_1682042309129_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4P3I6_fyEG4
JVKE,golden hour,golden hour,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/342/090/83342090_1671741327759_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PEM0Vs8jf1w
Cigarettes After Sex,Sunsetz,Cigarettes After Sex,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/973/746/80973746_1558332778995_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w9lopeK-3sw
Feng Suave,Show Me,So Much for Gardening,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/216/256/82216256_1630300863137_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_lInUXR6ams
Asgeir,Going Home,In The Silence (Bonus Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/211/364/81211364_1605204930021_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=O3r7iq41qWo
김동률,귀향 (歸鄕),3집 귀향 (歸鄕),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/246/15025246_1390196936622_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-45DhwJi_RQ
노리플라이 (No Reply),Beautiful,Beautiful,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/933/907/80933907_1490694202123_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_Pl-Oa-ZpUI
Novo Amor & Ed Tullett,Alps,Alps,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/992/319/80992319_1507858431589_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w0VaGbkzQZ8
The Paper Kites,On The Train Ride Home,On The Train Ride Home,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/055/872/81055872_1524116050060_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gkQFP1rG7wg
Claude Debussy,Clair de Lune,Claude Debussy Plays His Own Works,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/847/586/81847586_1610749660143_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CvFH_6DNRCY
Novo Amor,Embody Me,Bathing Beach,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/993/643/80993643_1508201651100_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-tDxfk918P0
Joep Beving,Nocturnal,Nocturnal,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/501/507/82501507_1643163631155_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AKeXWx3hUDk
노리플라이 (No Reply),바람은 어둡고,Road,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/000/202/79000202_1405997697336_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mHcDwqxg56g
Norah Jones,Everybody Needs A Best Friend,Ted : Original Motion Picture Soundtrack,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/568/244/80568244_1433138748647_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=veHpPG-Wcy8
Paul Englishby,Miss Pettigrew Lives For A Day,미스페티그루의 어느 특별한 하루 (Miss Pettigrew Lives For A Day),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/068/681/301/68681301_1464076046742_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=65xHZR2-fh8
Renee Zellweger,For Once In My Life,영화 주디(Judy) OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/272/357/81272357_1569479403769_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=u2HpaDZYSWc
Ryan Gosling & Emma Stone,A Lovely Night,La La Land (영화 '라라랜드' OST),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/902/796/80902796_1570684838411_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=trrH4sVZ0dQ
Dave Grusin & Michelle Pfeiffer,Makin' Whoopee (Feat. Michelle Pfeiffer) (From 'Fabulous Baker Boys' Soundtrack),The Fabulous Baker Boys (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/640/454/80640454_1439959531238_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gAlQUJQPzvY
Sting,Angel Eyes,Leaving Las Vegas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/237/522/81237522_1565575141316_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0vVDF3B_7Es
Poncho Sanchez,Watermelon Man (Feat. Mongo Santamaria),Legend (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/727/097/80727097_1565686760051_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0vUlD6yqiEA
The Rosenberg Trio,Minor Swing (Bande Originale Du Film 'Django'),Django (Bande Originale Du Film),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/938/675/80938675_1496036790333_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-WKf3rUwayI
Dianne Reeves,Pretend,"Good Night, And Good Luck.","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/762/517/42762517_1413871170673_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yi8Uqa7sgCE
Billie Holiday & Teddy Wilson ＆ His Orchestra,Easy Living,영화 '캐롤' OST (Carol OST),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/755/938/80755938_1453865393271_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GeC8q5gJpMo
Dinah Washington,What A Difference A Day Made,중경삼림 (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/822/321/80822321_1590455706321_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OmBxVfQTuvI
Billy Strayhorn,Take The 'A' Train,L'Ecume Des Jours,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/530/043/80530043_1426571810901_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bc2YGfAX8MY
Sammy Davis Jr.,Too Close For Comfort And Encore,Mr. Wonderful (1956 Broadway Cast Recording),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/335/732/81335732_1576717528184_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_4koaqnakII
Frank Sinatra,You Make Me Feel So Young,Palm Beach (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/246/749/81246749_1566802473915_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TZNIKZdoehE
Elmer Bernstein,Goodbye Baby Blues,Sweet Smell Of Success (Music From The Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/345/347/82345347_1634720169639_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ddt7iqjbeV0
Diana Ross,Don't Explain,Lady Sings The Blues,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/761/662/42761662_1412151431594_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bLxZXacM2Ic
Jevetta Steele,Calling You (Bagdad Cafe - Soundtrack Ver.),영화 '바그다드 카페' OST (Bagdad Cafe?OST),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/828/095/80828095_1465290661140_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y8pvv5A8dgA
Cassandra Wilson,I've Got You Under My Skin,Junior (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/823/126/80823126_1464077499576_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8xrRwXH_DhA
Nat King Cole,"Quizas, Quizas, Quizas",화양연화 (Original Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/803/507/80803507_1591078693408_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_Fg95PhPg6s
Joao Gilberto,'S Wonderful,"Eat, Pray, Love","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/183/261/80183261_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MxfPqIF346M
Fenne Lily,In My Own Time,Big Picture,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/713/916/83713916_1681379579578_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qFM2yBy6GUA
Holy Hive,Float Back To You,Float Back To You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/455/449/81455449_1590661999029_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XUbErkVGmBQ
Sofia Mills,Baby Magic,Baby Magic,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/662/660/82662660_1651652265458_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mTuAh97IU04
Faye Webster,A Dream with a Baseball Player,I Know I'm Funny haha,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/096/331/82096331_1624437161510_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0VVjgdY-Fw8
Slow Pulp,Falling Apart,Moveys,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/610/874/81610874_1602150479163_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yuoFLLHB1Fc
The Lemon Twigs,Every Day Is The Worst Day Of My Life,Every Day Is The Worst Day Of My Life,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/711/894/83711894_1681265287428_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cdzDRhTTfnc
Claud,Falling With The Rain (Feat. Shelly),Super Monster,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/889/904/81889904_1612857693666_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=--ZXwJNQ_7I
Sen Morimoto,Woof,Sen Morimoto,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/663/701/81663701_1603362467354_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=V_ejET16maY
Mac Demarco,Another One,Another One,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/726/950/80726950_1445570561334_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gbg27oT8Z9M
Mitski,Glide (cover),Glide (cover),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/648/144/82648144_1650447984572_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P1IwT4GpovU
Phoebe Bridgers,Smoke Signals,Stranger In The Alps (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/110/635/81110635_1538985075979_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_Zx5eSNzC8U
Annie Blackman,Pickets,All of It,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/618/023/82618023_1649062879007_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=s04RKe2yZE8
Unknown Mortal Orchestra,The Beach,V,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/633/961/83633961_1679020186023_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ig0ETZgaAiE
Sadurn,icepick,Radiator,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/662/643/82662643_1651652201098_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=W_lLl7AbRVQ
Sufjan Stevens,Fourth of July (April Base Ver.),Fourth of July,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/798/625/82798625_1656653103647_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SIGZimaAV4M
Casey Conroy,As Deep As You Loved Me,It's Just Living,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/894/824/82894824_1660628436322_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hxDenl7By64
Nilufer Yanya,midnight sun,PAINLESS (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/634/724/83634724_1679481757519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ax_tCstL-H4
Whitney,Polly,Light Upon The Lake,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/911/426/80911426_1483682384095_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mtU5O-A0OMI
Emily King,False Start,False Start,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/696/982/83696982_1680661387042_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Zpht8oaLXn8
Emile Mosseri,Oklahoma Baby,Oklahoma Baby,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/189/83652189_1679909504013_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w1ZWqHl7RtI
Hatchie,Take My Hand,Giving The World Away (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/688/768/83688768_1680766547598_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vbPtxeCqJAE
Joey Dosik,Running Away,Game Winner (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/038/218/81038218_1519954338516_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wvpLjcXU3hY
Girl Ray,Hold Tight,Hold Tight,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/700/468/83700468_1681104519666_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HF7OndUB6ss
Fenne Lily,Berlin,BREACH,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/567/539/81567539_1600330720592_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BN7EW7CAT3o
Katelyn Tarver,All Our Friends Are Splitting Up,Subject To Change,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/362/142/82362142_1636621061542_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oVAEPisRSCI
Charlie Hickey,Time To Pretend,Time To Pretend,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/631/138/83631138_1679472496935_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZjtpNL2OhF4
The Weeknd,Double Fantasy (Feat. Future),Double Fantasy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/368/83753368_1681993527540_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dMoFcvfd5t4
imase,18,18,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/749/675/83749675_1681922433751_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JgRUv-GlRto
Armani White & A$AP Ferg,SILVER TOOTH.,SILVER TOOTH.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/117/83753117_1681969879399_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fmF9y36lPnM
AJR,The Dumb Song,The Dumb Song,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/752/928/83752928_1681967445110_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yoD0CxhVoPE
Daddy Yankee,Gasolina (Feat. Myke Towers) (Safari Riot Remix),Gasolina (Safari Riot Remix),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/741/836/83741836_1681692327787_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CCbBhhnDnNI
Zachary Knowles,kiss cam,kiss cam,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/752/967/83752967_1681967796816_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=m-xH9zIzaWI
Post Malone,Chemical,Chemical,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/731/871/83731871_1681359054882_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IzPQ_jA00bk
New Hope Club,Just Don't Know It Yet,Just Don't Know It Yet,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/732/83727732_1681283432179_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5iFxSr_luOg
Sam Smith,Heavenly Sent,Gloria (Special Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/720/025/83720025_1681094739959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ziQoQg9eo40
Drake,Search & Rescue,Search & Rescue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/713/917/83713917_1680840942832_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ntp9_iznQ-0
NF,HAPPY,HOPE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/704/379/83704379_1680655313458_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vhumOLNSSJY
d4vd,Sleep Well,Sleep Well,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/721/743/83721743_1681129535033_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iTWYa0t5COk
Ice Spice & Nicki Minaj,Princess Diana,Princess Diana,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/582/83732582_1681376727653_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gMq-I0dejjE
Jonas Blue & RANI,Finally,Finally,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/969/83727969_1681288583157_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=T7svgkDoXAM
Lewis Capaldi,Wish You The Best,Wish You The Best,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/892/83727892_1681287041898_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QZLxVvLyKTo
Lauren Spencer Smith & GAYLE & Em Beihold,Fantasy,Fantasy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/932/83727932_1681287950663_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UlvZlZSIQXA
Stacey Ryan,The Idea,I Don't Know What Love Is,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/706/696/83706696_1680688530188_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bbxAaLdaKWA
Mina Okabe,Talk To Me,Spinning Around,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/308/83652308_1679559927896_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=d1XzyS7RXXA
BoyWithUke,Out Of Reach,Out Of Reach,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/706/717/83706717_1680689129707_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ne5tDZ8ePmU
Kiana Lede,Jealous (Feat. Ella Mai),Jealous,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/693/076/83693076_1680366327540_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sMY65iQ4ZyI
Jonas Brothers,Waffle House,Waffle House,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/706/811/83706811_1680691545820_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jCD8RHFye80
Daniel Caesar,Always,NEVER ENOUGH,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/708/121/83708121_1680716147654_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pKFd12id5oQ
Yorushika,Left-Right Confusion,Magic Lantern,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/695/939/83695939_1680482727989_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zwY3q-eG21o
Lauv,Talking To Myself (demo),Talking To Myself (demo),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/621/952/83621952_1678671941100_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iwh8M6GrqKU
Flo,Fly Girl (Feat. Missy Elliott),Fly Girl,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/646/461/83646461_1679445335746_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3tQNiQHON3E
Lana Del Rey,The Grants,Did you know that there's a tunnel under Ocean Blvd,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/654/705/83654705_1679618744475_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZegtK54DC4c
salem ilese,PainHub,PainHub,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/846/83681846_1680137466694_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CnM_bBzir0A
Cian Ducrot,Part Of Me,Part Of Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/395/83681395_1680132051217_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oaXZJTuqLAg
charlieonnafriday & Lil Tjay,Same Friends,Same Friends,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/717/83681717_1680136026406_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qKa-xVQpTuM
Hailee Steinfeld,SunKissing,SunKissing,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/321/83652321_1679559931491_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=E7X77GGTGQg
Taylor Swift,All Of The Girls You Loved Before,All Of The Girls You Loved Before,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/634/464/83634464_1679027581642_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HO-31CVnLes
Lola Young,What Is It About Me,What Is It About Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/811/83681811_1680136917165_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yK6mx1AAExQ
Quavo,Honey Bun,Honey Bun,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/831/83684831_1680197763428_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Xvca8wQvfjc
Kamal.,white wine,white wine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/627/339/83627339_1678820783144_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gf6pyYWOZEI
Alexander 23,I Wanna Live Forever,I Wanna Live Forever,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/681/702/83681702_1680135984540_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TGUIU9lhSzs
Max Drazen,Five Three,Five Three,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/324/83652324_1679559932884_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=E8VXiaEZ7Rw
U2,Invisible (Songs Of Surrender),Songs Of Surrender,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/633/831/83633831_1679012778785_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JQOnzLdfM28
Ariana Grande & The Weeknd,Die For You (Remix),Die For You (Remix),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/577/885/83577885_1677216116760_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YQ-qToZUybM
6LACK,Since I Have A Lover,Since I Have A Lover,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/318/83652318_1679559930344_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pVgmYNA8J1k
Claire Rosinkranz,Never Goes Away,Never Goes Away,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/610/553/83610553_1678258233397_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iv7-fPMjb8U
Mae Muller,I Wrote A Song,I Wrote A Song,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/608/259/83608259_1678180527425_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tJ21grjN6wU
Sabrina Carpenter,Feather,emails i can't send fwd :,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/629/490/83629490_1678872643969_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=asew9BF1wdw
Valley,"Good, but not together","Good, but not together","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/588/345/83588345_1677544531539_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fWyLu63Pxi4
