아티스트,곡명,앨범명,앨범이미지,유튜브링크
Q,Stereo Driver,Stereo Driver,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/994/430/82994430_1663636643637_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Hqy3J1PUj90
Phlake,Kitchen Party,Phine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/067/914/83067914_1665655291999_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2Vb2mTIEjt8
Balu Brigada,Designer,Designer,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/704/599/83704599_1680657120688_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RyGXFRuHj1M
Ellie Goulding,Higher Than Heaven,Higher Than Heaven,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/682/267/83682267_1680141082785_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xeDmPR9z4o4
Nothing But Thieves,Welcome to the DCC,Welcome to the DCC,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/586/035/83586035_1678211134002_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y3FNUvJYGpE
SG Lewis,Holding On,AudioLust & HigherLove,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/476/337/83476337_1674633927329_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=g6-tfia4p6U
Miley Cyrus,River,Endless Summer Vacation,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/611/856/83611856_1678318834290_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=v_4fljfr2r4
Pharrell Williams & Travis Scott,Down In Atlanta,Down In Atlanta,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/130/049/83130049_1667272286945_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=t_Jhj-gBYCs
Nas,Hood2Hood,King's Disease III,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/133/734/83133734_1667438045685_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=V3-L70_fFDc
Emotional Oranges,Be Somebody (Feat. Tkay Maidza),Be Somebody,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/707/717/83707717_1680858953921_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uSZdmaozAKQ
SZA,Kill Bill (Feat. Doja Cat),Kill Bill,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/733/878/83733878_1681492532113_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZFjIMowsudA
Marrakech,Take you on a ride,Circulation,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/567/381/83567381_1677810914943_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oL8RPdgU3mg
oceanfromtheblue,잠자리 (Feat. 예은),잠자리,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/205/110/83205110_1669101724863_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=POc2DYifjv4
Sleek Jeezy,It's You (Feat. Jane B),City Of Nocturnes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/564/962/83564962_1677221847327_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-ddA_cbb3Hk
BADS,Running Out of Love (Feat. AleXa),Running Out of Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/666/968/83666968_1680052429759_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VRMr0qHN1pY
SUMIN (수민),Best Friend (Feat. 우원재),Best Friend,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/428/951/83428951_1673579154927_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yuD9IUmQNhM
코드 쿤스트 (CODE KUNST),BAD BAD (Feat. Tabber & 박재범),Remember Archive,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/628/984/83628984_1678935935997_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rBMsE5A4Y5c
Lianne La Havas,Gone,Is Your Love Big Enough?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/300/884/80300884_1341907471794_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bwHtaCTEitE
Billie Eilish,idontwannabeyouanymore,Dont Smile At Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/000/015/81000015_1509690359873_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-tn2S3kJlyU
Sade,Kiss of Life (Remastered),The Ultimate Collection,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/256/484/80256484_1646296795953_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=s_ENxxAV7Uc
Giveon,Stuck On You,When It's All Said And Done,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/606/806/81606806_1601886325970_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YLRlbHp_kOc
King Krule,Baby Blue,6 Feet Beneath The Moon,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/374/522/80374522_1381129483659_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TpOezZKw0ZI
Duffy,Stepping Stone,Rockferry,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/058/175/416/58175416_1407312217758_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KFjF64Mcaao
Lana Del Rey,Lust For Life (Feat. The Weeknd),Lust For Life,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/968/954/80968954_1500520790337_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=eP4eqhWc7sI
Alec Benjamin,Jesus In LA,Jesus In LA,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/245/508/81245508_1580200589050_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wscE4F767YM
Masego,Tadow (Feat. FKJ),Lady Lady,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/103/052/81103052_1536313549425_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hC8CH0Z3L54
Gallant,Sweet Insomnia (Feat. 6LACK),Sweet Insomnia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/288/815/81288815_1581406658631_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5ml2g-eEnug
유라 (youra),깜빡 (Feat. 카더가든),B side,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/167/992/81167992_1582101371897_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kmLmsXqL6BI
sogumm & 임금비,소금비,소금비 (Prod. By Alfie Hole),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/560/021/82560021_1646272090247_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VfCT5BMF3jw
이소라,사랑이 아니라 말하지 말아요,그녀풍의 9집,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/892/041/80892041_1478674234566_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wc8alvxOSew
백예린 (Yerin Baek),왜? 날,선물,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/250/468/82250468_1631245821163_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rDd1ZmMjwQs
다린,물결,물결,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/776/235/82776235_1655967769662_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PrIXXNC54TI
카더가든,꿈을 꿨어요,C,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/286/998/81286998_1571806328359_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JevnYFq3TaU
너드커넥션 (Nerd Connection),좋은 밤 좋은 꿈,좋은 밤 좋은 꿈,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/392/508/81392508_1584692219778_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5f2AFS6PgEs
Zion.T,눈 (Feat. 이문세),눈,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/006/914/81006914_1512370678250_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fiGSDywrX1Y
지소울 (GSoul),Love Me Again,Love Me Again,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/622/002/80622002_1435495487286_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5DCQ6BJu8Is
온유 (ONEW),O (Circle),Circle - The 1st Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/604/209/83604209_1678078914688_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=30VMl9ZkmgE
ROSALIA,DESPECHÁ,MOTOMAMI ＋,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/195/82858195_1662625125798_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5g2hT4GmAGU
