아티스트,곡명,앨범명,앨범이미지,유튜브링크
IVE (아이브),I AM,I've IVE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/559/83665559_1681116738103_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vMXGX4Dp3iM
지수 (JISOO),꽃,ME,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/687/323/83687323_1680228994484_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YudHcBIxlYw
볼빨간사춘기,Chase Love Hard (Feat. 황민현),사랑.zip,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/573/83732573_1681437757420_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IujPMo2ZvRk
NMIXX,Love Me Like This,expérgo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/613/607/83613607_1679300973213_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EDnwWcFpObo
0WAVE,oh yeah,insatiable ＜3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/699/299/83699299_1681442474259_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wS1ZHItcDYk
YELLA (옐라),urs! (Feat. kani),urs!,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/724/626/83724626_1681452320478_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qfYSZrwfDs4
그래쓰 (GRASS),airplane-mode,Safely arrived ✈,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/492/83732492_1681368927744_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FYaq55R1TDI
장한나,Shy (Feat. Gist),Hannah's Party,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/395/83732395_1681365629954_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=A6695t2iskY
혜원,모란이 피고 지는 내 마음을 어쩌겠어요,모란이 피고 지는 내 마음을 어쩌겠어요,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/723/386/83723386_1681278453237_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JsfTuDkzc6s
IVE (아이브),Kitsch,I've IVE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/559/83665559_1681116738103_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=r6p5Avk3GG8
SWRY (수리),SUGAR (Feat. Secret man),SUGAR,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/776/83727776_1681456303636_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6RUxN5DmUuQ
Billlie (빌리),EUNOIA,the Billage of perception : chapter three,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/642/301/83642301_1679967210481_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pd4rJcrh--s
뱀뱀 (BamBam),Sour & Sweet,Sour & Sweet,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/666/556/83666556_1679970675944_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=J4gy6IFQS5g
dori,My Light,Cinema Pt. 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/556/030/83556030_1680145059116_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=j0J9iImYlXk
POLO (폴로),넌 모를 거야 (Prod. by 이머핀),Emoji,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/673/926/83673926_1679992295654_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gAR1zXBVaBM
마마무＋,GGBB,"ACT 1, SCENE 1","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/642/553/83642553_1680077722626_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=I4HWnYSiRtE
카드 (KARD),Oh NaNa (ASTER Remix),KARD Remix Project,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/666/640/83666640_1679971827618_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QISkrTnZ-58
Padi (페디),LEMON (Feat. SOLE & MINO),LEMON,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/666/501/83666501_1680068707350_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OCTSzRyMu3U
장들레,무슨생각,장들레입니다,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/678/441/83678441_1680159465947_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HzL73YW6lio
첫사랑 (CSR),빛을 따라서 (Shining Bright),DELIGHT,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/670/880/83670880_1680070256148_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XF_23xq5Kv8
지민,Set Me Free Pt.2,FACE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/633/882/83633882_1679013658293_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UaywgAqcLxI
TRENDZ (트렌드지),NEW DAYZ,BLUE SET Chapter. ［NEW DAYZ］,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/552/879/83552879_1678774890681_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MFTWTOAK-ho
Aiboy (0WAVE),Unknown Number,Hype Boy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/606/617/83606617_1678846088290_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YEFmHggV4vE
Newaile (뉴엘르),Full Axel,Full Axel,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/623/133/83623133_1678843616077_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P1eYWxVmiuQ
j-hope & J. Cole,on the street,on the street,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/597/101/83597101_1677804051224_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=r6WbbU_lLCA
부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/519/066/83519066_1675749482269_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mBXBOLG06Wc
H1-KEY (하이키),건물 사이에 피어난 장미,H1-KEY 1st Mini Album (Rose Blossom),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/343/048/83343048_1671754828445_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KL_sDu1N_Ts
STAYC (스테이씨),Teddy Bear,Teddy Bear,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/506/719/83506719_1676363663803_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SxHmoifp0oQ
박우진 (AB6IX),Top Tier,oWn,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/584/715/83584715_1677485716262_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8JEaDnxMmE8
나상현씨밴드,Love Love Love,Love Love Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/544/650/83544650_1677139811660_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nzwA9UpGl1k
LUCY,아니 근데 진짜,INSERT COIN,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/570/883/83570883_1677116980657_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=c0oJkShFsOc
키 (KEY),Killer,Killer - The 2nd Album Repackage,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/530/951/83530951_1676271492245_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dUd_9R_qJSg
에릭남 (Eric Nam),What If (Reimagined),There And Back Again (Reimagined),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/594/292/83594292_1677720352426_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Z8SQKePt4aU
권진아,Raise Up The Flag,The Flag,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/585/654/83585654_1677736083285_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0qaYOIgN1ss
