아티스트,곡명,앨범명,앨범이미지,유튜브링크
Charlie Puth,I Don't Think That I Like Her,CHARLIE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9voN0gkdlS4
Anne-Marie,SAD B!TCH,SAD B!TCH,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/495/085/83495085_1675092046125_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=T_ZgLdK3fDw
Rita Ora,You Only Love Me,You Only Love Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/492/770/83492770_1675045626842_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6o1m7ofjCCY
Maisie Peters,Body Better,Body Better,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/402/519/83402519_1672949132901_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=g5G3H0Wn-GI
Fall Out Boy,Heartbreak Feels So Good,Heartbreak Feels So Good,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/477/344/83477344_1674668785708_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3dlYdzB3Tl0
Ava Max,Cold As Ice,Diamonds & Dancefloors,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/477/447/83477447_1674671750461_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hR8LcTP5Elo
CIL,One More Shot,One More Shot,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/474/033/83474033_1674588356585_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EqK8PHJfJuY
Noa Kirel,Gone,Gone,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/430/075/83430075_1673624441237_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zB4thJg6Fz0
MAY-A,Sweat You Out My System,Sweat You Out My System,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/424/632/83424632_1673487956692_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=A7SDKHV1bO0
ASTN,Be So Cruel,Be So Cruel,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/151/537/83151537_1667850328937_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZrV-vO2b0Eg
Charlie Puth,Loser,CHARLIE,https://image.genie.co.kr/imageg/web/common/blank_68.gif,https://www.youtube.com/watch?v=d9Ht6yYyjRM
chloe moriondo,Plastic Purse,SUCKERPUNCH,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/065/107/83065107_1665453034420_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vMYI4-KX7To
Maisie Peters,Not Another Rockstar,Not Another Rockstar,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/044/110/83044110_1664901341533_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VjGqTT0drP8
Sorana,Karaoke,Karaoke,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/676/176/82676176_1651776629708_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QNUSyYGATVk
