아티스트,곡명,앨범명,앨범이미지,유튜브링크
Pop Smoke,Welcome To The Party,Meet The Woo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/249/745/81249745_1564103904950_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=usu0XY4QNB0
Central Cee,Loading,Loading,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/693/423/81693423_1603779650162_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1Ok-i3uGXkM
NLE Choppa,In The UK,In The UK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/814/298/82814298_1657259151765_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uwllF3lvGLQ
Fivio Foreign & The Kid LAROI,Paris to Tokyo,Paris to Tokyo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/809/929/82809929_1657057229655_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uRfnVY28x1k
Central Cee,Doja,Doja,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/843/831/82843831_1658447146678_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_VuJA-VQRcY
JACKBOYS & Pop Smoke & Travis Scott,GATTI,JACKBOYS,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/339/472/81339472_1577432713009_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kx7P_ENnDPE
NLE Choppa,Shotta Flow 3,Shotta Flow 3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/251/347/81251347_1581322624778_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FvGgFzagfI4
Kay Flock & Cardi B & Dougie B,Shake It (Feat. Bory300),Shake It,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/636/550/82636550_1649868038017_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=L7P68k8jWbI
창모 (CHANGMO),Vivienne,UNDERGROUND ROCKSTAR,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/384/076/82384076_1636616218095_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-kcOrMCJ-vo
Fleeky Bang,My Ninjas,My Ninjas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/637/737/82637737_1649918456015_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ubb2yPSgzDg
Nemzzz,2MS,2MS,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/549/472/82549472_1645554955987_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KaM_M_SqzTw
Lil Tjay,In My Head,In My Head,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/613/301/82613301_1648507244937_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4LbJXPt-uww
OTP,All Eyes On Them,All Eyes On Them,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/591/010/82591010_1647466526918_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=86ecMIsAM_E
Kid Cudi & Skepta & Pop Smoke,Show Out,Man On The Moon III : The Chosen,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/781/472/81781472_1607663126073_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0OfSyl9gkWM
Fivio Foreign,Big Drip,800 BC,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/425/874/81425874_1587603349967_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xf3eAb4l38Y
NSW yoon,Tech Fleece Freestyle (Feat. KHAN & hangzoo),Beauty Of The Pain,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/695/290/82695290_1652836583427_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GbxEMW8Xh0k
The Strike,Overtime,The Lost Years,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/064/100/83064100_1665435343129_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nU6vpEquhRI
Anne-Marie & Aitch,PSYCHO,PSYCHO,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/943/574/82943574_1662146732611_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fTyfUUJJKgc
Sam Ryder,Tiny Riot,The Sun's Gonna Rise,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/971/699/81971699_1632705335393_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AX7BcBD8-BA
Britney Spears,Work Bitch,Britney Jean (Deluxe Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/390/841/80390841_1652035537102_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pt8VYOfr8To
Panic! At The Disco,High Hopes,Pray For The Wicked,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/048/358/81048358_1529654813759_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IPXIgEAGe4U
Fall Out Boy,I Don't Care (Album Ver.),Folie A Deux (Digital Album),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/072/147/722/72147722_1438765729264_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Alh6iIvVN9o
AJR,Burn The House Down,Burn The House Down,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/043/090/81043090_1521087612117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oLVgwsevkco
Imagine Dragons,Warriors,Smoke ＋ Mirrors (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/715/245/80715245_1444893905358_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fmI_Ndrxy14
Justus Bennetts,Bad Day,Bad Day,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/242/966/82242966_1630802160060_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_e-NatxmeMg
Rihanna,Work (Feat. Drake),Anti (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/784/695/80784695_1454034434175_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HL1UzIK-flA
Doja Cat,Boss Bitch,Birds of Prey : The Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/343/640/81343640_1581042561366_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RsW66teC0BQ
Taylor Swift,Look What You Made Me Do,Look What You Made Me Do,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/980/820/80980820_1503651108936_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3tmd-ClpJxA
비스트 (Beast),일하러 가야 돼,Ordinary,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/643/768/80643768_1437919922429_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mjP5mx30g8c
