아티스트,곡명,앨범명,앨범이미지,유튜브링크
SZA,Kill Bill,SOS,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/270/395/83270395_1670283995558_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MSRcC626prw
Mia Rodriguez,I LUV U,I LUV U,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/888/932/82888932_1660058436548_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wYjEiatVZsA
BLACKPINK,Crazy Over You,THE ALBUM,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/607/481/81607481_1630575142564_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zZShklPxPZw
Lady GaGa,Bad Romance,Bad Romance,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/988/693/79988693_1336965421662_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qrO4YZeyl0I
Ava Max,Sweet but Psycho,Sweet but Psycho,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/094/326/81094326_1634547326072_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WXBHCQYxwr0
WOODZ,Chaser,ONLY LOVERS LEFT,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/302/002/82302002_1633415663804_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YO51mppwHio
salem ilese,ExBox,(MORE) Unsponsored Content,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/047/495/83047495_1664990433456_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KFYDGQ8yQ38
Bella Poarch,Living Hell,Dolls (EP),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/887/962/82887962_1660016782913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iCPm55hqA3k
비비 (BIBI),불륜,Lowlife Princess : Noir,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/016/217/83016217_1668740831088_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wqGr9_zh0S0
TOOPOOR,Crazy Girls,Crazy Girls,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/863/842/81863842_1611543052117_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1xlijyn3j8E
