아티스트,곡명,앨범명,앨범이미지,유튜브링크
Kep1er (케플러),We Fresh,TROUBLESHOOTER,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/042/465/83042465_1665645143830_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zkvIzKwzYNc
H1-KEY (하이키),건물 사이에 피어난 장미,H1-KEY 1st Mini Album (Rose Blossom),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/343/048/83343048_1671754828445_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KL_sDu1N_Ts
BOYS PLANET,난 빛나 (Here I Am),BOYS PLANET - 난 빛나 (Here I Am),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/370/621/83370621_1672904640513_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Mjr47ikehQE
ITZY (있지),SNEAKERS,CHECKMATE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/826/382/82826382_1658480107476_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Hbb5GPxXF1w
DAY6 (데이식스),무적 (ONE),The Book of Us : Negentropy - Chaos swallowed up in love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/997/873/81997873_1618809360079_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aoTdW4GLtIQ
Stray Kids (스트레이 키즈),잘 하고 있어,SKZ2020,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/391/717/81391717_1584434974265_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=a4jiotDjHe4
키 (KEY),Eighteen (End Of My World),BAD LOVE - The 1st Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/299/306/82299306_1632725934418_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QGVVBI9zGgs
청하,Bicycle,Querencia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/838/891/81838891_1613369276686_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Cagpf33BJl4
EVERGLOW (에버글로우),DUN DUN,reminiscence,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/352/871/81352871_1580715770485_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NoYKBAajoyo
온앤오프 (ONF),Beautiful Beautiful,ONF: MY NAME,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/914/335/81914335_1614153361697_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0pwBFTUJBzQ
EXO,Power,The Power of Music - The 4th Album Repackage,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/983/539/80983539_1504597029632_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QxYzQzqrKOQ
ENHYPEN,Future Perfect (Pass the MIC),MANIFESTO : DAY 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/806/096/82806096_1656917584003_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QMlNLo74mOw
NMIXX,DICE,ENTWURF,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/983/486/82983486_1663555622920_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=p1bjnyDqI9k
GOT the beat,Stamp On It,Stamp On It - The 1st Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/397/213/83397213_1673851863778_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=likYKQXBLbw
Bebe Rexha & ITZY (있지),Break My Heart Myself (Feat. YEJI & RYUJIN of ITZY),Break My Heart Myself,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/851/461/82851461_1658774779951_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UdiaQcAjzT0
WOODZ,파랗게,EQUAL,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/487/610/81487610_1593412141381_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HaqhQs5lBWE
YENA (최예나),SMILEY (Feat. BIBI),ˣ‿ˣ (SMiLEY),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/478/677/82478677_1642395806532_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=y9kkXTucnLU
TWICE (트와이스),SET ME FREE,READY TO BE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/453/109/83453109_1678415853812_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w4cTYnOPdNk
NCT DREAM,We Go Up,We Go Up - The 2nd Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/099/721/81099721_1535962549614_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LV1Es22E0RI
IZ*ONE (아이즈원),FIESTA,BLOOM*IZ,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/362/583/81362583_1581925882701_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=eDEFolvLn0A
TNX,비켜,WAY UP,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/683/700/82683700_1652766495191_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Cv2b1FvtqaU
DKZ,호랑이가 쫓아온다 (Uh-Heung),DKZ 7th Single Album 'CHASE EPISODE 3. BEUM',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/980/982/82980982_1664966870235_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=J36NIMctBYY
청하,Be Yourself,Be Yourself.newwav,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/466/097/81466097_1591614448357_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Us0NMjrq4l4
Kep1er (케플러),Up!,DOUBLAST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/740/136/82740136_1655701147368_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hr-325mclek
부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/519/066/83519066_1675749482269_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mBXBOLG06Wc
KURO & 이한울,love on loop (LOL),love on loop (LOL),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/239/841/83239841_1669783040538_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FnYEd1kT2s8
Brick (브릭),PIT A PAT,PIT A PAT,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/621/864/83621864_1678675959291_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=d_f7wBId9T4
SOLE (쏠),곁에 있어줘 (Feat. 원슈타인),곁에 있어줘,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/152/353/82152353_1627454641715_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XBwzbWXcSVg
구원찬,슬퍼하지마,슬퍼하지마,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/101/324/81101324_1536224928136_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BWRVkHg8Rjs
죠지 (george) & 쿠기 (Coogie),아무 말,좀 예민해도 괜찮아 2 OST Part.2 (웹드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/160/332/81160332_1550215088804_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RyaC1BmJdi8
Colde (콜드),와르르 ♥,Love part 1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/217/550/81217550_1559286050640_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=H52OZEXtEnQ
원슈타인,캥거루,캥거루,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/071/881/82071881_1622785786850_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RbU8Dp6Cqzk
Hoody (후디),D-day (Feat. 기리보이),D-day,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/342/505/82342505_1635139794813_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=71u22kLUtic
리플리 (RIPLEY),루틴 (Feat. Mabinc),Bloom,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/629/581/82629581_1649314528625_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KUJzs-_eXUk
Aden (에이든),Magnolia,Magnolia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/576/535/82576535_1646980695972_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=giXKxVwD6yY
Crush,나빠(NAPPA),나빠(NAPPA),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/262/498/81262498_1566969311318_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OoMIAo0a2TA
윌콕스,우린 자정을 넘어,우린 자정을 넘어,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/716/442/81716442_1604645104026_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HRpyw240Th0
김뮤지엄 (KIMMUSEUM),281.31km ( To. ),281.31km (EP),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/528/431/81528431_1596612079636_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lBdPqkMAVDM
ELO,Cupcake (Feat. punchnello),Reality Check,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/637/933/82637933_1650272494813_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hjiO09Iug6I
네이비쿼카 (NavyQuokka),솔직하게 말할까,솔직하게 말할까,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/006/454/82006454_1618901955698_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IY6jtk3Kv4A
주영,그대와 같아,그대와 같아 (Same As You),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/217/404/80217404_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mhTlckZOx8I
정바스,Dearest (Feat. 슬로 (Sllo)),Dearest (30.119),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/340/758/81340758_1578041487965_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VUDHxgx0OOg
뎁트,Timing (타이밍) (Feat. 김뮤지엄 (KIMMUSEUM) & amin (에이민)),Timing (타이밍),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/355/862/81355862_1581061636979_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=H3eR_sB7hUw
