아티스트,곡명,앨범명,앨범이미지,유튜브링크
Peder Elias,Paper Plane,Paper Plane,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/604/651/83604651_1678085446739_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YbqZsvWC2lU
Tai Verdes,how deep?,HDTV,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/466/322/82466322_1663226473862_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=A8nfDs3a5-E
SZA,Snooze,SOS,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/270/395/83270395_1670283995558_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Sv5yCzPCkv8
Labrinth,Never Felt So Alone,Never Felt So Alone,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/705/204/83705204_1680662466771_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pqCVMRcj_bc
Thomas Day,not my job anymore,not my job anymore,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/813/273/82813273_1657218328342_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=omcGu_mc-sU
Giveon,Heartbreak Anniversary,When It's All Said And Done... Take Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/367/209/81367209_1615515184349_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ikNjnv_5rvQ
dhruv,double take,rapunzel,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/353/340/82353340_1642727499006_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BkgSM8Bqo2U
Tom Grennan,Here,Here,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/423/275/83423275_1673465430937_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JHOqVwEU1A0
Henry Moodie,drunk text,drunk text,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/423/325/83423325_1673466052842_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Flee2PYOl1s
James Arthur,A Thousand Years,A Thousand Years,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/627/211/83627211_1678818359924_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bjjC1-G6Fxo
Tate McRae,wish i loved you in the 90s,TOO YOUNG TO BE SAD,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/421/286/81421286_1616725704716_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uidLm_K3E0c
Joey Bada＄＄,Fallin',Fallin',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/699/175/83699175_1680574676257_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yGvrSfsAeqM
Mimi Webb,Roles Reversed,Amelia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/588/331/83588331_1677543336674_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UPlYgXFczpA
Sasha Alex Sloan,Is It Just Me? (Feat. Charlie Puth),Is It Just Me?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/742/727/81742727_1605750331611_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nOa3hrRD9mk
Jade LeMac,Car Accident,Constellations,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/467/974/83467974_1674458140415_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=V3TVpxKxWR0
Alexa Cappelli,Someone Better,Someone Better,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/627/684/83627684_1679337954161_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1rl8n97pGGM
Miley Cyrus,Jaded,Endless Summer Vacation,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/611/856/83611856_1678318834290_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UdM9hLGZ1-M
P!nk,Long Way to Go (Feat. The Lumineers),TRUSTFALL,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/546/264/83546264_1676316116379_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vcJ4iSBGez0
Sam Fischer,This City,Homework,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/330/910/81330910_1598582728493_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jPPlahjqNIU
Sasha Alex Sloan,Dancing With Your Ghost,Self Portrait,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/234/266/81234266_1571365955906_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MqLUNd1WMOM
Bibio,Curls,Ribbons,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/263/244/81263244_1567163211545_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-OTU25i5QWc
Destroyer,Kaputt,Kaputt,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/992/596/80992596_1507772792433_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=puu3IvKnSb4
Phosphorescent,Song For Zula,Muchacho De Lujo (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/992/907/80992907_1507858684871_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FcdOLKx2XG8
Fenne Lily,In My Own Time,In My Own Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/613/460/83613460_1678957143749_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qFM2yBy6GUA
Blaq Tuxedo,TROUBLE,TROUBLE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/673/340/83673340_1680170535871_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=d9W5gF27YsA
Khruangbin & Leon Bridges,Mariella,Texas Moon,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/541/616/82541616_1645151124423_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FDkUApLcTYY
Speakers Corner Quartet,Can We Do This? (Feat. Sampha),fix,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/656/433/83656433_1679656428266_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DHP-i15c-oQ
Beach Fossils,Dare Me (Explicit Ver.),Dare Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/698/989/83698989_1680573724385_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=llyh2ccHlr4
Brijean,Feelings,Feelings,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/915/827/81915827_1614230599211_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lV8FGtgy5wE
Whitney,LOST CONTROL,SPARK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/952/182/82952182_1663065115438_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-k5zbKUFMuM
Sage.,"busy, busy","busy, busy","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/673/244/83673244_1680057526465_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3COlffkMmb0
Jana Horn,Days Go By,Days Go By,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/104/83684104_1680503493499_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=adS17LPqzHA
