아티스트,곡명,앨범명,앨범이미지,유튜브링크
노리플라이 (No Reply),랑데뷰 (Rendezvous),랑데뷰 (Rendezvous),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/311/83753311_1682042309129_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4P3I6_fyEG4
JVKE,golden hour,golden hour,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/342/090/83342090_1671741327759_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PEM0Vs8jf1w
Cigarettes After Sex,Sunsetz,Cigarettes After Sex,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/973/746/80973746_1558332778995_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w9lopeK-3sw
Feng Suave,Show Me,So Much for Gardening,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/216/256/82216256_1630300863137_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_lInUXR6ams
Asgeir,Going Home,In The Silence (Bonus Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/211/364/81211364_1605204930021_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=O3r7iq41qWo
김동률,귀향 (歸鄕),3집 귀향 (歸鄕),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/246/15025246_1390196936622_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-45DhwJi_RQ
노리플라이 (No Reply),Beautiful,Beautiful,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/933/907/80933907_1490694202123_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_Pl-Oa-ZpUI
Novo Amor & Ed Tullett,Alps,Alps,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/992/319/80992319_1507858431589_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w0VaGbkzQZ8
The Paper Kites,On The Train Ride Home,On The Train Ride Home,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/055/872/81055872_1524116050060_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gkQFP1rG7wg
Claude Debussy,Clair de Lune,Claude Debussy Plays His Own Works,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/847/586/81847586_1610749660143_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CvFH_6DNRCY
Novo Amor,Embody Me,Bathing Beach,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/993/643/80993643_1508201651100_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-tDxfk918P0
Joep Beving,Nocturnal,Nocturnal,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/501/507/82501507_1643163631155_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AKeXWx3hUDk
노리플라이 (No Reply),바람은 어둡고,Road,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/000/202/79000202_1405997697336_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mHcDwqxg56g
Hans Zimmer,First Step,Interstellar (Original Motion Picture Soundtrack) (Expanded Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/481/210/80481210_1605677999071_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HV1CMDhemt0
Olafur Arnalds & Nils Frahm,a2,Stare,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/205/532/81205532_1558315360401_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=A2wCh3RKd40
Harry Gregson-Williams,Crossing Mars,The Martian: Original Motion Picture Score (마션 OST : 오리지널 스코어),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/704/076/80704076_1444202811633_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=c7IlxIxMyMQ
Ryuichi Sakamoto,andata,async,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/941/554/80941554_1493303161020_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pygwK0sBUdM
Aphex Twin,#3,Selected Ambient Works Vol. II,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/753/250/81753250_1606296803006_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fkvZOvOeON0
Loscil,Aura,Clara,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/983/381/81983381_1617648711856_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=beKm0n5gNx0
Steven Price,The Void,Gravity (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/582/090/80582090_1576577431680_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JH8p64u9JW0
Biosphere,Microgravity,Microgravity,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/716/363/82716363_1653764426929_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ArPxzrZ-rYQ
Radiohead,Treefingers,Kid A,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/040/330/15040330_1459849067506_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=L7p47zYKJoM
Brian Eno,First Light,Ambient 2: The Plateaux of Mirror,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/052/517/15052517_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cOWJq88uAiQ
Hans Zimmer,Sanctuary,Dune (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/290/586/82290586_1632392184431_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oYPbtPwB618
Max Richter,To The Stars (From 'Ad Astra' Soundtrack),To The Stars (From 'Ad Astra' Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/270/525/81270525_1568964634856_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PjzZ_0KSYVg
MOON YIRANG & 김오키 (KIMOKI),불안은 자유의 현기증,불안은 자유의 현기증,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/305/637/82305637_1633068254687_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fY8W6gsQ-8g
Sigur Rós,Lightseed ll,Liminal 3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/137/251/81137251_1545032371428_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w8lYEoVjQ-s
Brian Eno,Under Stars (2005 Digital Remaster),Apollo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/755/228/80755228_1452661112449_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dcWwtQmAt7E
Max Richter,Laika's Journey,Memoryhouse,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/019/979/81019979_1597801456691_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vD2LbcV_PBw
Hans Zimmer,A Place Among the Stars,Interstellar (Original Motion Picture Soundtrack) (Expanded Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/481/210/80481210_1605677999071_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HIbsrBncCtY
Aphex Twin,Flim,Come To Daddy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/062/602/15062602_1606356878392_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=meW3Y_yLlWI
Tim Hecker,Ice Row,The North Water (Original Score),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/236/873/82236873_1630975948505_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_p8d5DYtLEc
Ryuichi Sakamoto,garden,async,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/941/554/80941554_1493303161020_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=I6TSqdHGb9k
Hammock,I Can Almost See You,Raising Your Voice... Trying to Stop an Echo (Deluxe Editon),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/216/070/82216070_1630577052211_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=niCMpOkMcWU
Tangerine Dream,Rubycon (Pt. 1 / Remastered 2018),Rubycon (Deluxe Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/228/872/81228872_1563328156244_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qRkiCb64Xp0
William Basinski,Watermusic II,Watermusic II,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/450/668/82450668_1640256419628_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pX_jySkFIK4
Harry Gregson-Williams,Leaving Mars,The Martian: Original Motion Picture Score (마션 OST : 오리지널 스코어),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/704/076/80704076_1444202811633_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=c7IlxIxMyMQ
Steven Price,Above Earth,Gravity (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/582/090/80582090_1576577431680_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=K8qPSpOYTTM
초승 (CHOSNG),바다,당신의 바다가 될게요,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/606/539/82606539_1648517564919_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AX7ja_4UT0o
권나무,사랑은 높은 곳에서 흐르지,사랑은 높은 곳에서 흐르지,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/806/042/80806042_1459304055254_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3K1PX989rdE
다린,물결,물결,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/776/235/82776235_1655967769662_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PrIXXNC54TI
wave to earth,seasons,summer flows 0.02,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/524/833/81524833_1596443047145_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nZqwQCLYgjk
어반자카파,River,(02),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/321/766/80321766_1351564661409_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1XQGoi5zWIM
크르르,나의 안부,나의 안부,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/235/087/82235087_1630646230510_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6-yRkGnkgIk
데이먼스 이어 (Damons year),Pattern,Pattern,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/110/675/82110675_1624602266228_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2QE5ViT2nHw
초승 (CHOSNG),호수,꽃들에게,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/730/903/81730903_1605490129494_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=s3koB-41t2A
비비 (BIBI),PADO,PADO,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/253/151/82253151_1631244175033_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gjyEcSim4js
홍찬미 (Chan-Mee Hong),너와,바람,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/919/314/81919314_1614619264267_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UW9YALNGBhU
프롬 (Fromm),WATER,"Mood, Sunday","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/251/702/83251702_1669964727503_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wspJ3hlyCQA
선우정아,터트려 (Burst it all),터트려 (Burst it all),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/617/637/82617637_1648789498189_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RZ7Tg39Jdn4
최유리,바다,유영,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/923/028/82923028_1661306447379_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NYR3GjM73nM
세이수미,Photo of You,The Last Thing Left,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/586/484/82586484_1652407252342_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=i563qNuNAXw
결 (KYUL),거울,거울,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/046/184/81046184_1522048992779_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DYMBcb2QSGE
The Trammps,Disco Inferno,Disco Inferno,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/051/447/15051447_1355374707258_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=u5lSeYd_riw
Sister Sledge,He's the Greatest Dancer (Remaster),We Are Family (Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/541/435/80541435_1651722327821_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NDN5PD00CpQ
Cheryl Lynn,Got To Be Real ,Cheryl Lynn,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/021/200/021/21200021_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fI569nw0YUQ
Incognito,Positivity,Positivity,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/398/624/42398624_1379063186276_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=b7HCWj2cJ4U
The Brand New Heavies,Universe,Forward (Special Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/401/740/80401740_1392293656141_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0Om_l8SP9VE
Joe Sample,Viva De Funk,Best Of Joe Sample,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/023/339/15023339_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0BM0lQCI3Ag
Joshua Redman,Greasy G ,Momentum,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/020/057/858/20057858_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1NHq4hqtUGA
George Duke,It's On,After Hours,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/023/338/15023338_1355297497478_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uHFJ9qhR0VM
Brian Bromberg,Cold Duck Time,Downright Upright (다운라이트 업라이트),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/800/226/80800226_1459761603886_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VDLRi9h1ziI
Jeff Lorber,Tune 88,Flipside,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/055/644/677/55644677_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=emAVEf7MMkE
George Duke,Ain't It Funky Now,Face The Music,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/394/034/81394034_1584582918040_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1mbmrtuj5Tc
Billy Kilson,4 To 1 Odds,BK Groove While Ur Sleeping,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/019/368/15019368_1324621635862_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=C7Y8XriY2cA
David Benoit,Watermelon Man,Best Of/20th Century,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/079/968/379/79968379_1406255357627_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DIsLZeJ0ZMI
Fourplay,Sonnymoon,Esprit De Four,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/316/228/80316228_1578275400409_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dURfMrTrZlM
B.W.B.,Brown Sugar,Groovin',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/019/883/15019883_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y1nSnBealNI
SHINee (샤이니),방백 (Aside),SHINee The 3rd Album Chapter 1. 'Dream Girl - The Misconceptions Of You',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/343/653/80343653_1361238933063_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=edhlwtzKoqw
정승환,"친구, 그 오랜시간",다섯 마디,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/062/090/82062090_1622005853767_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CPKYzhkurC8
헤일,어떨 것 같아,어떨 것 같아,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/136/136/81136136_1544503844762_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yvfQMGb4mBs
아이유 (IU),(Bonus Track) Voice Mail (Korean Ver.),Modern Times - Epilogue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/388/410/80388410_1387504181560_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PBgv9Ey-Hb8
BIG Naughty (서동현),친구로 지내다 보면 (Feat. 김민석 of 멜로망스),친구로 지내다 보면,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/480/635/83480635_1674804368592_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=j7PZv7Ni7pk
규현 (KYUHYUN),사랑이 숨긴 말들 (One confession),The 1st Mini Album '광화문에서 (At Gwanghwamun)',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/476/538/80476538_1415780235463_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6tmaCp7Bw_8
토이 (Toy),좋은 사람 (Feat. 김형중),Fermata,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/539/15025539_1466564684206_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2VQc6OLy_EY
성시경,좋을텐데,Melodie D’ Amour,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/026/753/15026753_1608539029913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=80AiXsxVHak
더 넛츠 (The Nuts),사랑의 바보,The NuTs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/028/718/15028718_1405478682629_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bJxcFpSVZQY
SUPER JUNIOR (슈퍼주니어),앤젤라 (Angela),"The 3rd Album '쏘리 쏘리(SORRY, SORRY)'","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/075/594/966/75594966_1323227790522_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IDVW_8AIgsU
러블리즈,"절대, 비밀",러블리즈 7th Mini Album ［Unforgettable］,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/556/768/81556768_1598945650444_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xdVCxKWsMJw
결 (KYUL),가끔 연락하던 애,가끔 연락하던 애,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/597/113/81597113_1600733657952_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ali6HQtxIbg
박원,내 차례,또한번 엔딩 OST Part.1 (웹드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/361/542/81361542_1581669242364_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NHGFOyOOQ0M
멜로망스 (MeloMance),욕심,욕심,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/058/680/81058680_1524729006042_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2N1Y9RxAsxg
심규선 (Lucia),담담하게,꽃그늘,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/350/344/80350344_1366179449908_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zcyC8e0r_Sg
초승 (CHOSNG),마음 앞에서,마음 앞에서,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/720/317/82720317_1654145913971_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=S__YQPxw2Qk
온유 (ONEW),어떤 사이 (Sign),VOICE - The 1st Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/134/018/81134018_1543993885700_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tMDdbZ5Hl-Q
김민석 (멜로망스),취중고백,취중고백,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/443/459/82443459_1639718817315_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VMQl78z1DiY
iKON,BEST FRIEND,Return,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/019/709/81019709_1516862241098_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uSYofBvlhf4
DAY6 (데이식스),오늘은 내게,SUNRISE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/953/173/80953173_1496800598972_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=v13D8TCmvBQ
